date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
1998-11-02,53,6.8,2.4,4.3,1.9,-3.5,-0.8,1998-11-02T06:31,1998-11-02T16:16,35081.05,17553.32,2.3,2.3,0.0,8.0,33.2,73.8,267,4.85,0.77
1998-11-03,51,10.9,-0.3,6.0,7.7,-3.8,2.1,1998-11-03T06:33,1998-11-03T16:14,34882.64,14323.93,0.1,0.1,0.0,1.0,27.2,46.8,218,5.03,1.09
1998-11-04,55,10.5,6.0,7.9,8.8,2.8,5.2,1998-11-04T06:34,1998-11-04T16:12,34687.05,21985.75,4.1,4.1,0.0,6.0,20.2,36.4,239,5.16,0.95
1998-11-05,53,6.5,3.1,5.2,2.8,-2.2,0.7,1998-11-05T06:36,1998-11-05T16:11,34494.23,17727.9,2.0,2.0,0.0,4.0,23.4,48.2,260,4.55,0.88
1998-11-06,51,8.4,2.3,5.5,2.2,-3.4,-0.4,1998-11-06T06:37,1998-11-06T16:09,34302.34,32400.0,0.1,0.1,0.0,1.0,30.8,59.4,245,6.53,1.67
1998-11-07,3,6.3,1.1,4.0,1.2,-2.1,-0.7,1998-11-07T06:39,1998-11-07T16:08,34111.18,32007.48,0.0,0.0,0.0,0.0,24.3,50.8,284,5.39,1.03
1998-11-08,3,7.4,1.3,3.7,3.2,-1.9,0.2,1998-11-08T06:41,1998-11-08T16:06,33920.95,27747.01,0.0,0.0,0.0,0.0,16.1,32.4,252,5.2,0.73
1998-11-09,3,4.6,0.0,2.3,2.3,-2.7,-0.7,1998-11-09T06:42,1998-11-09T16:05,33731.86,9693.85,0.0,0.0,0.0,0.0,13.0,23.4,94,3.16,0.4
1998-11-10,55,7.4,1.2,4.7,5.1,-2.3,2.2,1998-11-10T06:44,1998-11-10T16:03,33544.11,0.0,7.4,7.4,0.0,18.0,10.8,23.8,190,0.83,0.23
1998-11-11,55,7.5,3.2,5.7,5.1,-0.7,3.2,1998-11-11T06:46,1998-11-11T16:02,33357.94,301.43,9.6,9.6,0.0,23.0,21.7,40.7,301,1.5,0.27
1998-11-12,51,5.3,-1.8,2.6,2.1,-5.3,-0.8,1998-11-12T06:47,1998-11-12T16:00,33173.56,24527.34,0.1,0.1,0.0,1.0,13.7,29.2,259,4.64,0.55
1998-11-13,1,5.2,-3.8,-0.2,2.3,-7.5,-3.7,1998-11-13T06:49,1998-11-13T15:59,32991.19,32000.47,0.0,0.0,0.0,0.0,9.8,19.1,207,6.73,0.63
1998-11-14,3,3.4,-3.1,-0.6,-0.0,-6.1,-3.7,1998-11-14T06:51,1998-11-14T15:58,32811.07,28063.75,0.0,0.0,0.0,0.0,9.4,17.6,122,5.58,0.49
1998-11-15,51,5.7,-2.0,1.9,3.1,-5.5,-0.9,1998-11-15T06:52,1998-11-15T15:56,32633.45,9485.09,2.2,2.2,0.0,8.0,8.2,18.0,72,3.48,0.42
1998-11-16,73,2.0,0.5,1.1,-1.2,-4.2,-3.4,1998-11-16T06:54,1998-11-16T15:55,32458.57,0.0,4.6,1.0,2.87,15.0,18.9,36.7,303,1.66,0.29
1998-11-17,73,1.9,-1.8,0.1,-3.3,-7.5,-5.0,1998-11-17T06:56,1998-11-17T15:54,32286.68,19225.24,4.1,0.5,2.59,23.0,21.6,42.8,300,3.9,0.51
1998-11-18,73,-0.1,-3.5,-1.3,-5.5,-8.7,-6.7,1998-11-18T06:57,1998-11-18T15:53,32118.03,14531.38,3.4,0.0,2.52,12.0,24.2,46.8,287,3.99,0.46
1998-11-19,71,-2.3,-6.8,-4.0,-7.5,-11.5,-9.2,1998-11-19T06:59,1998-11-19T15:51,31952.89,10840.87,0.2,0.0,0.56,2.0,23.1,43.2,257,4.08,0.41
1998-11-20,71,-3.9,-12.0,-6.6,-8.3,-16.4,-11.3,1998-11-20T07:00,1998-11-20T15:50,31791.53,10822.63,1.0,0.0,1.26,6.0,14.7,24.5,297,4.12,0.29
1998-11-21,71,-8.0,-10.7,-8.9,-13.4,-16.0,-14.3,1998-11-21T07:02,1998-11-21T15:49,31634.22,767.97,0.0,0.0,0.7,0.0,15.4,29.5,57,3.65,0.24
1998-11-22,3,-7.6,-12.6,-9.9,-12.7,-18.3,-15.2,1998-11-22T07:03,1998-11-22T15:48,31481.25,22490.47,0.0,0.0,0.0,0.0,14.8,29.2,83,4.44,0.24
1998-11-23,3,-3.6,-10.2,-7.5,-8.1,-15.4,-12.4,1998-11-23T07:05,1998-11-23T15:47,31332.89,26016.98,0.0,0.0,0.0,0.0,14.6,24.8,76,5.16,0.32
1998-11-24,3,-2.6,-8.1,-5.2,-6.3,-12.7,-9.3,1998-11-24T07:06,1998-11-24T15:46,31189.44,24800.64,0.0,0.0,0.0,0.0,10.5,19.8,70,4.24,0.28
1998-11-25,3,-3.7,-6.7,-5.2,-7.4,-10.7,-9.1,1998-11-25T07:08,1998-11-25T15:45,31050.93,23129.02,0.0,0.0,0.0,0.0,8.9,18.4,70,3.51,0.24
1998-11-26,71,-1.0,-5.0,-3.0,-3.8,-8.3,-6.0,1998-11-26T07:09,1998-11-26T15:45,30915.82,1672.61,0.0,0.0,0.21,0.0,4.2,11.9,111,2.04,0.2
1998-11-27,3,1.9,-3.1,-0.6,-0.8,-6.7,-3.6,1998-11-27T07:11,1998-11-27T15:44,30783.95,17008.77,0.0,0.0,0.0,0.0,7.0,11.9,126,3.58,0.33
1998-11-28,3,1.0,-2.5,-1.0,-2.1,-6.3,-4.3,1998-11-28T07:12,1998-11-28T15:43,30655.48,856.18,0.0,0.0,0.0,0.0,10.7,20.2,82,2.3,0.23
1998-11-29,3,-0.6,-2.6,-1.8,-4.4,-7.0,-5.8,1998-11-29T07:13,1998-11-29T15:42,30530.62,11530.68,0.0,0.0,0.0,0.0,14.3,28.4,81,2.2,0.2
1998-11-30,3,-2.8,-7.4,-4.9,-7.7,-12.4,-10.1,1998-11-30T07:15,1998-11-30T15:42,30409.54,1757.02,0.0,0.0,0.0,0.0,16.3,33.1,79,2.42,0.28
1998-12-01,3,-6.7,-9.0,-7.8,-12.0,-14.2,-13.2,1998-12-01T07:16,1998-12-01T15:41,30292.43,365.38,0.0,0.0,0.0,0.0,17.3,33.8,80,2.52,0.35
1998-12-02,3,-6.5,-9.6,-8.3,-11.7,-15.4,-13.7,1998-12-02T07:18,1998-12-02T15:41,30179.48,19481.88,0.0,0.0,0.0,0.0,17.3,34.6,84,3.34,0.29
1998-12-03,1,-2.6,-13.7,-7.9,-6.2,-18.1,-11.9,1998-12-03T07:19,1998-12-03T15:40,30070.89,26766.86,0.0,0.0,0.0,0.0,7.7,19.1,100,4.9,0.3
1998-12-04,73,-0.6,-5.5,-3.3,-3.6,-9.0,-6.7,1998-12-04T07:20,1998-12-04T15:40,29966.84,21645.01,3.0,0.0,2.1,6.0,6.4,13.0,322,3.74,0.29
1998-12-05,73,-1.2,-3.8,-2.3,-5.4,-9.3,-7.0,1998-12-05T07:21,1998-12-05T15:39,29867.53,7191.11,1.1,0.0,1.12,7.0,19.1,36.4,250,2.75,0.32
1998-12-06,71,-1.6,-4.0,-3.1,-6.8,-9.4,-8.4,1998-12-06T07:23,1998-12-06T15:39,29773.16,13800.64,0.5,0.0,0.63,4.0,20.0,38.2,240,3.53,0.41
1998-12-07,71,-3.1,-4.7,-4.0,-8.8,-10.5,-9.7,1998-12-07T07:24,1998-12-07T15:39,29683.92,2093.72,1.5,0.0,1.75,12.0,21.3,40.7,262,3.27,0.29
1998-12-08,73,-3.4,-4.6,-4.0,-8.6,-10.4,-9.5,1998-12-08T07:25,1998-12-08T15:38,29600.01,0.0,3.7,0.0,3.01,18.0,21.7,39.2,273,2.78,0.2
1998-12-09,73,-3.8,-6.0,-4.5,-8.8,-11.8,-10.3,1998-12-09T07:26,1998-12-09T15:38,29521.62,0.0,3.9,0.0,3.15,18.0,24.5,43.6,280,1.77,0.19
1998-12-10,71,-6.4,-13.9,-10.2,-10.6,-18.4,-14.7,1998-12-10T07:27,1998-12-10T15:38,29448.95,18195.94,0.0,0.0,0.14,0.0,10.2,19.4,343,3.63,0.18
1998-12-11,3,-11.0,-16.9,-13.7,-15.3,-22.2,-18.3,1998-12-11T07:28,1998-12-11T15:38,29382.18,21012.75,0.0,0.0,0.0,0.0,10.8,19.8,257,3.7,0.15
1998-12-12,3,-1.7,-16.6,-9.0,-6.9,-22.2,-14.8,1998-12-12T07:29,1998-12-12T15:38,29321.51,23203.54,0.0,0.0,0.0,0.0,20.5,37.8,245,4.04,0.32
1998-12-13,61,3.9,-1.8,1.6,-2.3,-6.9,-4.0,1998-12-13T07:30,1998-12-13T15:38,29267.13,2997.97,4.3,4.3,0.0,7.0,33.3,63.4,239,1.97,0.46
1998-12-14,53,3.6,1.4,2.6,-2.0,-5.0,-3.3,1998-12-14T07:31,1998-12-14T15:38,29219.23,551.92,4.2,4.2,0.0,16.0,38.3,73.8,281,1.51,0.35
1998-12-15,51,5.6,-0.1,2.7,2.9,-3.1,-0.2,1998-12-15T07:32,1998-12-15T15:38,29177.89,0.0,2.6,2.6,0.0,12.0,12.8,23.8,246,0.41,0.14
