"zmienna","importance","model","target"
"wind_gusts_10m",44394881.5466761,"Bagging","wind_gusts_10m_next"
"wind_speed_10m",688274.26135483,"Bagging","wind_gusts_10m_next"
"shortwave_radiation",164828.443520712,"Bagging","wind_gusts_10m_next"
"sin_godzina",157609.132365719,"Bagging","wind_gusts_10m_next"
"wind_speed_100m",137183.769883365,"Bagging","wind_gusts_10m_next"
"pressure_msl",97773.1778792349,"Bagging","wind_gusts_10m_next"
"wind_dir_sin",88318.2601008064,"Bagging","wind_gusts_10m_next"
"wind_dir_cos",82798.6365739405,"Bagging","wind_gusts_10m_next"
"cos_dzien",76730.6010256084,"Bagging","wind_gusts_10m_next"
"relative_humidity_2m",73085.6008059924,"Bagging","wind_gusts_10m_next"
"sin_dzien",71306.0426354044,"Bagging","wind_gusts_10m_next"
"precipitation",65561.7880115596,"Bagging","wind_gusts_10m_next"
"cloud_cover",58451.243438181,"Bagging","wind_gusts_10m_next"
"dew_point_2m",55084.6804648836,"Bagging","wind_gusts_10m_next"
"cos_godzina",50869.1329465794,"Bagging","wind_gusts_10m_next"
"temperature_2m",40900.1738843398,"Bagging","wind_gusts_10m_next"
"apparent_temperature",37224.4349025864,"Bagging","wind_gusts_10m_next"
"is_day",7266.28922234605,"Bagging","wind_gusts_10m_next"
"polrocze_cieple",1166.70858810041,"Bagging","wind_gusts_10m_next"
