"zmienna","importance","model","target"
"wind_gusts_10m",49286.9452030397,"Bagging","wind_gusts_10m_next_event"
"wind_speed_10m",2554.39143025235,"Bagging","wind_gusts_10m_next_event"
"wind_speed_100m",688.951793033121,"Bagging","wind_gusts_10m_next_event"
"shortwave_radiation",667.08527525842,"Bagging","wind_gusts_10m_next_event"
"pressure_msl",578.507531610912,"Bagging","wind_gusts_10m_next_event"
"wind_dir_cos",514.96963765365,"Bagging","wind_gusts_10m_next_event"
"wind_dir_sin",504.565526463045,"Bagging","wind_gusts_10m_next_event"
"sin_godzina",489.903060102032,"Bagging","wind_gusts_10m_next_event"
"sin_dzien",480.591231241125,"Bagging","wind_gusts_10m_next_event"
"cos_dzien",425.968937136693,"Bagging","wind_gusts_10m_next_event"
"relative_humidity_2m",420.730784702095,"Bagging","wind_gusts_10m_next_event"
"dew_point_2m",344.965925135375,"Bagging","wind_gusts_10m_next_event"
"cloud_cover",331.652026527962,"Bagging","wind_gusts_10m_next_event"
"cos_godzina",285.535687786761,"Bagging","wind_gusts_10m_next_event"
"temperature_2m",252.258653117445,"Bagging","wind_gusts_10m_next_event"
"apparent_temperature",233.19948602779,"Bagging","wind_gusts_10m_next_event"
"precipitation",227.6880945774,"Bagging","wind_gusts_10m_next_event"
"is_day",19.7786437234037,"Bagging","wind_gusts_10m_next_event"
"polrocze_cieple",6.04494157240838,"Bagging","wind_gusts_10m_next_event"
