"zmienna","importance","model","target"
"wind_speed_10m",16587204.6296954,"Bagging","wind_speed_10m_next"
"wind_gusts_10m",72664.4135079672,"Bagging","wind_speed_10m_next"
"pressure_msl",58196.8002896291,"Bagging","wind_speed_10m_next"
"wind_speed_100m",56461.9298625532,"Bagging","wind_speed_10m_next"
"wind_dir_cos",46884.161803338,"Bagging","wind_speed_10m_next"
"wind_dir_sin",45286.8677661747,"Bagging","wind_speed_10m_next"
"relative_humidity_2m",43032.2647822817,"Bagging","wind_speed_10m_next"
"sin_dzien",40124.384191202,"Bagging","wind_speed_10m_next"
"cos_dzien",39376.0436245665,"Bagging","wind_speed_10m_next"
"sin_godzina",39309.2887945979,"Bagging","wind_speed_10m_next"
"shortwave_radiation",36466.0293156955,"Bagging","wind_speed_10m_next"
"dew_point_2m",34118.3510261458,"Bagging","wind_speed_10m_next"
"precipitation",29135.9747305171,"Bagging","wind_speed_10m_next"
"cloud_cover",28618.9559723069,"Bagging","wind_speed_10m_next"
"temperature_2m",24556.4128973409,"Bagging","wind_speed_10m_next"
"cos_godzina",23010.7286056007,"Bagging","wind_speed_10m_next"
"apparent_temperature",22374.6565157988,"Bagging","wind_speed_10m_next"
"is_day",1620.40841587726,"Bagging","wind_speed_10m_next"
"polrocze_cieple",603.978842804795,"Bagging","wind_speed_10m_next"
