"zmienna","importance","model","target"
"wind_speed_10m",47324.1829787245,"Bagging","wind_speed_10m_next_event"
"pressure_msl",726.259292377525,"Bagging","wind_speed_10m_next_event"
"wind_gusts_10m",663.624792283525,"Bagging","wind_speed_10m_next_event"
"wind_speed_100m",635.235581891515,"Bagging","wind_speed_10m_next_event"
"wind_dir_cos",613.120835841648,"Bagging","wind_speed_10m_next_event"
"sin_dzien",567.458197480489,"Bagging","wind_speed_10m_next_event"
"wind_dir_sin",549.353894672928,"Bagging","wind_speed_10m_next_event"
"cos_dzien",514.682306758427,"Bagging","wind_speed_10m_next_event"
"relative_humidity_2m",490.300086432301,"Bagging","wind_speed_10m_next_event"
"sin_godzina",425.815247154989,"Bagging","wind_speed_10m_next_event"
"dew_point_2m",421.556455309008,"Bagging","wind_speed_10m_next_event"
"shortwave_radiation",404.412527868691,"Bagging","wind_speed_10m_next_event"
"cloud_cover",373.199836968004,"Bagging","wind_speed_10m_next_event"
"temperature_2m",294.121594900647,"Bagging","wind_speed_10m_next_event"
"cos_godzina",287.798148338472,"Bagging","wind_speed_10m_next_event"
"apparent_temperature",281.141783289185,"Bagging","wind_speed_10m_next_event"
"precipitation",230.027963363513,"Bagging","wind_speed_10m_next_event"
"is_day",19.0284978205641,"Bagging","wind_speed_10m_next_event"
"polrocze_cieple",8.00295219250621,"Bagging","wind_speed_10m_next_event"
