"zmienna","importance","model","target"
"wind_gusts_10m",20448476.4166107,"Las losowy","wind_gusts_10m_next"
"wind_speed_10m",14276842.9344735,"Las losowy","wind_gusts_10m_next"
"wind_speed_100m",8666028.9609824,"Las losowy","wind_gusts_10m_next"
"pressure_msl",639809.473508894,"Las losowy","wind_gusts_10m_next"
"wind_dir_sin",385108.895080577,"Las losowy","wind_gusts_10m_next"
"cos_godzina",289014.862948673,"Las losowy","wind_gusts_10m_next"
"shortwave_radiation",259126.900769395,"Las losowy","wind_gusts_10m_next"
"precipitation",210388.620449765,"Las losowy","wind_gusts_10m_next"
"cos_dzien",165527.885426473,"Las losowy","wind_gusts_10m_next"
"relative_humidity_2m",150845.675265602,"Las losowy","wind_gusts_10m_next"
"sin_godzina",137760.080939296,"Las losowy","wind_gusts_10m_next"
"apparent_temperature",127345.388058315,"Las losowy","wind_gusts_10m_next"
"wind_dir_cos",100194.172241068,"Las losowy","wind_gusts_10m_next"
"is_day",89424.374233665,"Las losowy","wind_gusts_10m_next"
"temperature_2m",84196.209565258,"Las losowy","wind_gusts_10m_next"
"sin_dzien",73569.2507821899,"Las losowy","wind_gusts_10m_next"
"dew_point_2m",71645.000168374,"Las losowy","wind_gusts_10m_next"
"cloud_cover",64008.8987640428,"Las losowy","wind_gusts_10m_next"
"polrocze_cieple",47053.5246649648,"Las losowy","wind_gusts_10m_next"
