"zmienna","importance","model","target"
"wind_gusts_10m",21683.6176293594,"Las losowy","wind_gusts_10m_next_event"
"wind_speed_10m",16263.6991974929,"Las losowy","wind_gusts_10m_next_event"
"wind_speed_100m",12284.2350117516,"Las losowy","wind_gusts_10m_next_event"
"pressure_msl",954.25688105659,"Las losowy","wind_gusts_10m_next_event"
"wind_dir_sin",829.111690654537,"Las losowy","wind_gusts_10m_next_event"
"apparent_temperature",573.981113460326,"Las losowy","wind_gusts_10m_next_event"
"shortwave_radiation",544.5231994728,"Las losowy","wind_gusts_10m_next_event"
"cos_dzien",528.292867135204,"Las losowy","wind_gusts_10m_next_event"
"wind_dir_cos",481.244910867045,"Las losowy","wind_gusts_10m_next_event"
"temperature_2m",451.999816460431,"Las losowy","wind_gusts_10m_next_event"
"relative_humidity_2m",440.880600135972,"Las losowy","wind_gusts_10m_next_event"
"sin_godzina",437.392301425458,"Las losowy","wind_gusts_10m_next_event"
"precipitation",423.322934518313,"Las losowy","wind_gusts_10m_next_event"
"dew_point_2m",417.461578816245,"Las losowy","wind_gusts_10m_next_event"
"cos_godzina",410.040409765543,"Las losowy","wind_gusts_10m_next_event"
"sin_dzien",407.721360668995,"Las losowy","wind_gusts_10m_next_event"
"cloud_cover",318.368289195659,"Las losowy","wind_gusts_10m_next_event"
"polrocze_cieple",116.781126704595,"Las losowy","wind_gusts_10m_next_event"
"is_day",101.821223485703,"Las losowy","wind_gusts_10m_next_event"
