"zmienna","importance","model","target"
"wind_speed_10m",7590625.76654514,"Las losowy","wind_speed_10m_next"
"wind_speed_100m",5066667.30951078,"Las losowy","wind_speed_10m_next"
"wind_gusts_10m",3442541.54244587,"Las losowy","wind_speed_10m_next"
"pressure_msl",249849.654980014,"Las losowy","wind_speed_10m_next"
"apparent_temperature",140220.290534642,"Las losowy","wind_speed_10m_next"
"cos_dzien",108167.372182292,"Las losowy","wind_speed_10m_next"
"wind_dir_sin",96254.3643336737,"Las losowy","wind_speed_10m_next"
"relative_humidity_2m",59804.8995240567,"Las losowy","wind_speed_10m_next"
"wind_dir_cos",54024.9142600805,"Las losowy","wind_speed_10m_next"
"shortwave_radiation",47877.0260963409,"Las losowy","wind_speed_10m_next"
"dew_point_2m",47280.28070189,"Las losowy","wind_speed_10m_next"
"temperature_2m",46536.9432777603,"Las losowy","wind_speed_10m_next"
"cos_godzina",46362.5777190376,"Las losowy","wind_speed_10m_next"
"sin_godzina",43760.728147819,"Las losowy","wind_speed_10m_next"
"polrocze_cieple",43631.0941912569,"Las losowy","wind_speed_10m_next"
"sin_dzien",39545.6794320783,"Las losowy","wind_speed_10m_next"
"precipitation",34232.9891292708,"Las losowy","wind_speed_10m_next"
"cloud_cover",30498.0832478307,"Las losowy","wind_speed_10m_next"
"is_day",9406.12424309344,"Las losowy","wind_speed_10m_next"
