"zmienna","importance","model","target"
"wind_speed_10m",20740.8399918388,"Las losowy","wind_speed_10m_next_event"
"wind_speed_100m",14792.6174307804,"Las losowy","wind_speed_10m_next_event"
"wind_gusts_10m",10798.2226765341,"Las losowy","wind_speed_10m_next_event"
"pressure_msl",1011.76415197249,"Las losowy","wind_speed_10m_next_event"
"apparent_temperature",771.600139187373,"Las losowy","wind_speed_10m_next_event"
"wind_dir_sin",743.773977807666,"Las losowy","wind_speed_10m_next_event"
"cos_dzien",644.176059462679,"Las losowy","wind_speed_10m_next_event"
"wind_dir_cos",567.406688473274,"Las losowy","wind_speed_10m_next_event"
"temperature_2m",531.143148172358,"Las losowy","wind_speed_10m_next_event"
"dew_point_2m",495.731746824608,"Las losowy","wind_speed_10m_next_event"
"sin_dzien",481.017779688994,"Las losowy","wind_speed_10m_next_event"
"relative_humidity_2m",480.284083094543,"Las losowy","wind_speed_10m_next_event"
"shortwave_radiation",401.216251568576,"Las losowy","wind_speed_10m_next_event"
"sin_godzina",397.485476824919,"Las losowy","wind_speed_10m_next_event"
"cloud_cover",353.763809861357,"Las losowy","wind_speed_10m_next_event"
"cos_godzina",345.326985321277,"Las losowy","wind_speed_10m_next_event"
"precipitation",318.787114500631,"Las losowy","wind_speed_10m_next_event"
"polrocze_cieple",170.098129279828,"Las losowy","wind_speed_10m_next_event"
"is_day",54.4166548019582,"Las losowy","wind_speed_10m_next_event"
