"grupa","srednie_p","czestosc_klasy_1","n"
"[0,0.1]",0.0024610364100712,0.0066023894361769,9542
"(0.1,0.2]",0.144126027470805,0.23021582733813,139
"(0.2,0.3]",0.245033362042191,0.352941176470588,85
"(0.3,0.4]",0.344721574437179,0.512820512820513,78
"(0.4,0.5]",0.451558383548837,0.649122807017544,57
"(0.5,0.6]",0.552865108491013,0.837837837837838,74
"(0.6,0.7]",0.648626677747768,0.794117647058823,68
"(0.7,0.8]",0.750361453457328,0.841463414634146,82
"(0.8,0.9]",0.858405094025871,0.947368421052632,95
"(0.9,1]",0.984765852603092,0.987364620938628,554
