"grupa","srednie_p","czestosc_klasy_1","n"
"[0,0.1]",0.0024507795735412,0.00301083902047371,9964
"(0.1,0.2]",0.149379246975694,0.145161290322581,124
"(0.2,0.3]",0.24735725486446,0.224489795918367,98
"(0.3,0.4]",0.351877342145728,0.307692307692308,78
"(0.4,0.5]",0.4475429904059,0.415094339622642,53
"(0.5,0.6]",0.541917178015341,0.6,35
"(0.6,0.7]",0.641806341812648,0.472222222222222,36
"(0.7,0.8]",0.751641627481124,0.720930232558139,43
"(0.8,0.9]",0.853481977951327,0.796610169491525,59
"(0.9,1]",0.981103305030679,0.954225352112676,284
