"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.190501558596221,-0.134295291952622,-0.545739825642035,-0.00227098341589376,0.0303176486203037,0.00655880078458927,-0.0161816348111437,0.0275177292328075,-0.0276577122855632,-0.0937634861206548,-0.0926651168835629,0.00758375669914526,-0.156185694821745,-0.00240962092957223,0.0292627863274979,0.0185072475774471,-0.206341624830838,0.0536726737956733,0.00826592957968751
"wind_speed_10m_z",-0.190501558596221,1,-0.676477743888204,-0.161450310407976,-0.144889515611029,-0.188960506765413,-0.3358284398259,-0.0239025097986112,-0.0768776959656405,0.47873006347714,0.0491747612774457,-0.123443501358502,-0.0286719072209113,-0.349943412332185,-0.00397582696842898,0.440082798916179,0.298789550559549,0.021479802762192,0.0274621022182179,0.00746663972636657
"wind_speed_100m_z",-0.134295291952622,-0.676477743888204,1,-0.0652310571340961,0.0673139240024705,0.294601111439534,0.0155316541174853,0.0814624385613309,-0.0847952353258112,-0.000923936228560912,-0.000391784580073099,0.213231234915924,-0.00580459768013293,0.474797578416909,0.0825400840955795,-0.528453518365617,-0.327958519446529,-0.0151396843260303,-0.0669241556708427,-0.0195961470706928
"wind_gusts_10m_z",-0.545739825642035,-0.161450310407976,-0.0652310571340961,1,0.0515954743955945,-0.130529764256534,-0.0498549971832683,0.0243604803931819,-0.010351837624098,0.06503599481591,-0.0702226336181414,-0.0456679828169309,0.0817829594376108,-0.102792685747514,-0.0343629833333903,0.0265796882016876,-0.0149674326026737,0.186220715181348,-0.0132631951854228,0.00940539642461316
"wind_dir_sin_z",-0.00227098341589376,-0.144889515611029,0.0673139240024705,0.0515954743955945,1,0.120968548285102,0.151488155779731,0.0284658906981728,0.0447737038408548,-0.19128235470635,-0.118285578230934,-0.0713325443323062,-0.112570124693117,0.052894660489745,-0.00627093764426919,0.0330610291870034,0.0412493802489805,0.0134273677727567,-0.00302537666355241,0.0182561672550168
"wind_dir_cos_z",0.0303176486203037,-0.188960506765413,0.294601111439534,-0.130529764256534,0.120968548285102,1,0.0398754290294169,0.0450225420167814,-0.0582738264888096,0.00252986619049879,-0.0685451000780485,0.136787502892994,-0.220027674022793,0.0923236574321381,0.0174291438176486,-0.133244361529803,0.036802222384543,0.0390879652365594,-0.0284118880055118,-0.034359710419123
"temperature_2m_z",0.00655880078458927,-0.3358284398259,0.0155316541174853,-0.0498549971832683,0.151488155779731,0.0398754290294169,1,0.645276510219931,-0.497055964310267,-0.721723391063214,-0.0216683925198983,-0.0343798563645658,0.0284167457773171,0.102389049991717,-0.0469242924564985,-0.161260501655877,-0.188399021887377,-0.0059989118223119,-0.0375232792343516,-0.0213521404389816
"relative_humidity_2m_z",-0.0161816348111437,-0.0239025097986112,0.0814624385613309,0.0243604803931819,0.0284658906981728,0.0450225420167814,0.645276510219931,1,-0.96468111368882,0.0405883697238413,-0.140609592198933,-0.10029866777604,0.0255767585361453,-0.031404124036736,0.0248160208546005,-0.213858332582839,-0.226962601571637,-0.0563274494446464,-0.05897628001067,-0.0333829885045086
"dew_point_2m_z",0.0275177292328075,-0.0768776959656406,-0.0847952353258112,-0.010351837624098,0.0447737038408548,-0.0582738264888096,-0.497055964310267,-0.96468111368882,1,-0.235741601954037,0.111014613510458,0.0590021773557477,0.000314485482912368,0.111737697598518,-0.0402588619415506,0.186572031496579,0.193017736136158,0.031343342534744,0.0666475666962412,0.0382867112954921
"apparent_temperature_z",-0.0276577122855632,0.47873006347714,-0.000923936228560912,0.06503599481591,-0.19128235470635,0.00252986619049879,-0.721723391063214,0.0405883697238413,-0.235741601954037,1,-0.0632445337562078,-0.0185670572077097,-0.0236151225661932,-0.242562626913579,0.0812758606875753,0.103319039267491,0.115066554411166,-0.00577372593456122,-0.00829284403417396,-0.00688861872439203
