"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.464608163139158,-0.0941268554786081,0.157716883344029,-0.00488554790265289,0.0563757880695711,-0.0126217694767456,-0.0209179308111385,0.0200165807164012,0.00158168682968104,-0.0243971683352517,-0.0574851645253899,-0.00554982729190269,-0.055500925671317,-0.00110354473734158,0.0397252784925504,0.0184370039385607,-0.112742027782012,0.0354763566487023,0.00707320327999071
"wind_speed_10m_z",-0.464608163139158,1,-0.568966858895688,-0.319995125849537,-0.130257017006433,-0.189588185926389,-0.297723139120018,0.0355960121703976,-0.128569538070815,0.468752754979756,0.0306329605705478,-0.120254886681201,-0.0290365893457386,-0.313048833701994,0.000207355427413484,0.356359806878646,0.248624813268812,0.0495826032043228,0.0130897185720777,-0.00356293964413897
"wind_speed_100m_z",-0.0941268554786081,-0.568966858895688,1,-0.221562170399284,0.0812497714281127,0.316258245055313,0.00797191828017331,0.0538945620752119,-0.0452344463218835,-0.0229795419018572,-0.0246119830269837,0.21753065432559,-0.00872578148228415,0.487237737551082,0.0757662909016159,-0.49400488216557,-0.294736382330898,-0.0476549250397804,-0.055626669627303,-0.00893855515491803
"wind_gusts_10m_z",0.157716883344029,-0.319995125849537,-0.221562170399284,1,0.0478718573679956,-0.151377720327279,-0.0788534770997574,-0.0180766656347061,0.0310127481543473,0.0692726088480253,-0.12506078569391,-0.103526946610984,0.106950850222992,-0.252483115174832,-0.0521154635340893,0.0920231401300749,0.0276026677852295,0.0757064508286635,0.0187251407255877,0.0170309255226746
"wind_dir_sin_z",-0.00488554790265289,-0.130257017006433,0.0812497714281127,0.0478718573679956,1,0.112212978152567,0.133045860460328,0.0163233271014384,0.0542302625591885,-0.178200683291242,-0.11303052517645,-0.0857203772368817,-0.103147512311213,0.0745148238005591,-0.00656244443701595,0.0226607941701928,0.0381559526332569,0.0124054568339792,0.00472197899584045,0.0177143077896407
"wind_dir_cos_z",0.0563757880695711,-0.189588185926389,0.316258245055313,-0.151377720327279,0.112212978152567,1,0.0301266757793213,0.038118375880899,-0.0463718316497986,0.000657723471341643,-0.0671192021255757,0.135825174425455,-0.207536057256032,0.119450088664737,0.0143039361624746,-0.143137618167706,0.0130020247138726,0.0276887829394659,-0.0235530017297028,-0.0263673974472282
"temperature_2m_z",-0.0126217694767456,-0.297723139120018,0.00797191828017331,-0.0788534770997574,0.133045860460328,0.0301266757793213,1,0.637567792345542,-0.495980633528574,-0.704535307283032,-0.00322045964663289,-0.0261166173843044,0.0318852964405905,0.0599735358381018,-0.0307450029023,-0.161693385491206,-0.184843985027497,-0.00475079984112802,-0.0333408870364859,-0.0202463941040645
"relative_humidity_2m_z",-0.0209179308111385,0.0355960121703976,0.0538945620752119,-0.0180766656347061,0.0163233271014384,0.0381183758808989,0.637567792345542,1,-0.968911436847356,0.0773867232195673,-0.125383965041052,-0.101345302306992,0.0180880490403912,-0.0733240770905228,0.0244083314902182,-0.156692608423057,-0.16433870657096,-0.0428479832639283,-0.05529426862715,-0.0263246813614518
"dew_point_2m_z",0.0200165807164012,-0.128569538070815,-0.0452344463218835,0.0310127481543473,0.0542302625591885,-0.0463718316497986,-0.495980633528574,-0.968911436847356,1,-0.261541601131153,0.103615381719073,0.0664958309655218,0.00865570620088721,0.149373263731379,-0.0367802772698501,0.120498475508507,0.126341888203883,0.0201669297845448,0.0617480750684405,0.0328355743546538
"apparent_temperature_z",0.00158168682968104,0.468752754979756,-0.0229795419018572,0.0692726088480253,-0.178200683291242,0.000657723471341643,-0.704535307283032,0.0773867232195672,-0.261541601131153,1,-0.0794432671008578,-0.035861688165975,-0.0342564422373097,-0.22478897849727,0.0611786504830491,0.141534042633108,0.149673886203047,0.00112416435387371,-0.0102683667392557,-0.00544858898510413
"precipitation_z",-0.0243971683352517,0.0306329605705478,-0.0246119830269837,-0.12506078569391,-0.11303052517645,-0.0671192021255757,-0.00322045964663289,-0.125383965041052,0.103615381719073,-0.0794432671008578,1,-0.0777508067035852,0.128687878580879,0.0822277432006089,0.0107802829474068,0.0350115617168717,0.077817902409212,0.0455835036532106,0.0571521018759778,0.00405478080192161
"cloud_cover_z",-0.0574851645253899,-0.120254886681201,0.21753065432559,-0.103526946610984,-0.0857203772368818,0.135825174425455,-0.0261166173843044,-0.101345302306992,0.0664958309655217,-0.035861688165975,-0.0777508067035852,1,0.0609505501842856,0.217838879868262,0.0409257087058333,-0.112641481625395,-0.0655575318365174,0.00162350890252236,0.0943518642675099,-0.00981671300936614
"pressure_msl_z",-0.00554982729190269,-0.0290365893457386,-0.00872578148228415,0.106950850222992,-0.103147512311213,-0.207536057256032,0.0318852964405905,0.0180880490403912,0.00865570620088721,-0.0342564422373097,0.128687878580879,0.0609505501842856,1,-0.0425939370661145,-0.00283564507411691,0.0661760073516357,0.0235115843359786,0.036835502628991,0.00820677914084256,0.0215233047821914
"shortwave_radiation_z",-0.055500925671317,-0.313048833701994,0.487237737551082,-0.252483115174832,0.0745148238005591,0.119450088664737,0.0599735358381018,-0.0733240770905228,0.149373263731379,-0.22478897849727,0.0822277432006089,0.217838879868262,-0.0425939370661145,1,0.0910121385226383,-0.387538539703695,-0.0468653562399451,-0.0260777514234296,0.378086453652811,0.00210769543977147
"is_day_z",-0.00110354473734158,0.000207355427413484,0.0757662909016159,-0.0521154635340893,-0.00656244443701595,0.0143039361624746,-0.0307450029023,0.0244083314902182,-0.0367802772698501,0.0611786504830491,0.0107802829474068,0.0409257087058333,-0.00283564507411691,0.0910121385226383,1,-0.0763286744154894,0.155307706712412,-0.0914344717156505,0.761083400495776,0.0111143458623739
"sin_dzien_z",0.0397252784925504,0.356359806878646,-0.49400488216557,0.0920231401300749,0.0226607941701928,-0.143137618167706,-0.161693385491206,-0.156692608423057,0.120498475508507,0.141534042633108,0.0350115617168717,-0.112641481625395,0.0661760073516357,-0.387538539703695,-0.0763286744154894,1,0.334183163613879,0.0782161889868581,-0.042365282457201,-0.00999982642995582
"cos_dzien_z",0.0184370039385607,0.248624813268812,-0.294736382330898,0.0276026677852295,0.0381559526332569,0.0130020247138726,-0.184843985027497,-0.16433870657096,0.126341888203883,0.149673886203047,0.077817902409212,-0.0655575318365174,0.0235115843359786,-0.0468653562399451,0.155307706712412,0.334183163613879,1,0.0755054645282631,0.227768988576027,0.69281236783824
"sin_godzina_z",-0.112742027782012,0.0495826032043228,-0.0476549250397804,0.0757064508286635,0.0124054568339792,0.0276887829394659,-0.00475079984112803,-0.0428479832639283,0.0201669297845447,0.00112416435387371,0.0455835036532106,0.00162350890252236,0.036835502628991,-0.0260777514234296,-0.0914344717156505,0.0782161889868581,0.0755054645282631,1,-0.0261092220447079,-0.00752619390498077
"cos_godzina_z",0.0354763566487023,0.0130897185720777,-0.055626669627303,0.0187251407255877,0.00472197899584045,-0.0235530017297028,-0.0333408870364859,-0.05529426862715,0.0617480750684405,-0.0102683667392557,0.0571521018759778,0.0943518642675099,0.00820677914084256,0.378086453652811,0.761083400495775,-0.042365282457201,0.227768988576027,-0.0261092220447079,1,0.00675060790992143
"polrocze_cieple_z",0.00707320327999071,-0.00356293964413897,-0.00893855515491803,0.0170309255226746,0.0177143077896407,-0.0263673974472282,-0.0202463941040645,-0.0263246813614518,0.0328355743546538,-0.00544858898510412,0.00405478080192161,-0.00981671300936614,0.0215233047821914,0.00210769543977147,0.0111143458623739,-0.00999982642995582,0.69281236783824,-0.00752619390498077,0.00675060790992143,1
