"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.18585767716245,-0.132630786591264,-0.53618838269929,-0.00159798085509164,0.0311830524108749,0.00647685559717111,-0.0161972246481708,0.0275616081730812,-0.0270956836048989,-0.0940787528740843,-0.0917420107745506,0.00855813222631491,-0.152773624747846,-0.00395329245754187,0.0247250894791523,0.0173363949943561,-0.20586170845458,0.0519378591264267,0.00647292054168732
"wind_speed_10m_z",-0.18585767716245,1,-0.678450286366841,-0.159650621909694,-0.157087010736005,-0.18851909495895,-0.351589192403974,-0.0156136131398756,-0.0904203075816336,0.497787054293348,0.0486728341262716,-0.123590882376212,-0.0294375165457375,-0.360902554414424,-0.00397653280351816,0.420184659439579,0.279575365234513,0.0182212811799362,0.0262529628282351,0.0106297282576455
"wind_speed_100m_z",-0.132630786591264,-0.678450286366841,1,-0.0657477067143455,0.0738410205660851,0.293701672099043,0.0224969809197364,0.0771003043387838,-0.0771557254727109,-0.0148211183628304,-0.000444689265822288,0.212946459839306,-0.00476280693612756,0.480696212438518,0.0831280835962524,-0.493820572689983,-0.297558861573695,-0.0138860466104888,-0.066425305783262,-0.0158287914500238
"wind_gusts_10m_z",-0.53618838269929,-0.159650621909694,-0.0657477067143455,1,0.0503309003587732,-0.131498360554122,-0.0478024711480037,0.0260785771711821,-0.011882324655459,0.0627297881149399,-0.0712768761223366,-0.0450425257787269,0.0813713968006083,-0.104909885820463,-0.0344547731960239,0.0256445332172524,-0.0155784627084569,0.187656205547449,-0.0133133892680921,0.00747218143868803
"wind_dir_sin_z",-0.00159798085509164,-0.157087010736005,0.0738410205660851,0.0503309003587732,1,0.125605918598202,0.159744742037701,0.021346555156294,0.054069773011936,-0.20443750110961,-0.115835981252456,-0.0676668607089743,-0.110540149313282,0.0581984151047607,-0.00588812238889757,0.0201106548915219,0.0279423272976782,0.012252542897111,-0.00288394910151693,0.00852406761453874
"wind_dir_cos_z",0.0311830524108749,-0.18851909495895,0.293701672099043,-0.131498360554122,0.125605918598202,1,0.0396415896438605,0.043148674468976,-0.0557090101332435,0.00022613613457061,-0.0694566554435489,0.136968762250434,-0.21899952023307,0.0934713263648979,0.017120110067705,-0.126698264293919,0.0323038192738414,0.0404962560452524,-0.0288348742897304,-0.0296550703855675
"temperature_2m_z",0.00647685559717111,-0.351589192403974,0.0224969809197364,-0.0478024711480037,0.159744742037701,0.0396415896438605,1,0.629878398294015,-0.476282583326141,-0.728502940156011,-0.0200567054222662,-0.0325119081454901,0.0294715493243309,0.112611008103046,-0.0480092967573729,-0.162119429454957,-0.180673724022998,-0.00380328233934414,-0.0349704144115536,-0.0227258287004733
"relative_humidity_2m_z",-0.0161972246481708,-0.0156136131398756,0.0771003043387838,0.0260785771711821,0.021346555156294,0.043148674468976,0.629878398294015,1,-0.963994646955375,0.0511459472821944,-0.138479750793208,-0.0983263883318359,0.0246950395812247,-0.0308620896740352,0.0229762646609156,-0.192370103156367,-0.19897056571081,-0.0577154035320117,-0.0587361995195772,-0.0261884579237219
"dew_point_2m_z",0.0275616081730812,-0.0904203075816336,-0.0771557254727109,-0.011882324655459,0.054069773011936,-0.0557090101332435,-0.476282583326141,-0.963994646955375,1,-0.249331946094472,0.10910547547418,0.0573914212362937,0.00175087658725727,0.114390549853817,-0.0386357650615865,0.161847536716048,0.163764490005735,0.0327752374062601,0.0667926040578784,0.0285050753122083
"apparent_temperature_z",-0.0270956836048989,0.497787054293348,-0.0148211183628304,0.0627297881149399,-0.20443750110961,0.00022613613457061,-0.728502940156011,0.0511459472821944,-0.249331946094472,1,-0.0617577280260747,-0.0185109323921323,-0.025307763369573,-0.251215158041203,0.079481075209292,0.117714984082921,0.123138732677586,-0.00902421047729364,-0.0107402994213955,0.00267824170837241
"precipitation_z",-0.0940787528740843,0.0486728341262716,-0.000444689265822288,-0.0712768761223366,-0.115835981252456,-0.0694566554435489,-0.0200567054222662,-0.138479750793208,0.10910547547418,-0.0617577280260747,1,-0.0743779009388813,0.147037865184151,0.100415801816526,0.0227629759586053,0.0406824765259491,0.0894340128918472,0.0704516867123783,0.0624249157164027,0.00336242803072224
"cloud_cover_z",-0.0917420107745506,-0.123590882376212,0.212946459839306,-0.0450425257787269,-0.0676668607089743,0.136968762250434,-0.0325119081454901,-0.0983263883318359,0.0573914212362937,-0.0185109323921323,-0.0743779009388813,1,0.052493874212418,0.245686463646841,0.0506350453729883,-0.101679598432214,-0.0411394338142598,0.0134110373450832,0.108617288770844,-0.00314875038464434
"pressure_msl_z",0.00855813222631491,-0.0294375165457375,-0.00476280693612756,0.0813713968006083,-0.110540149313282,-0.21899952023307,0.0294715493243309,0.0246950395812247,0.00175087658725727,-0.025307763369573,0.147037865184151,0.052493874212418,1,-0.0463675326010933,-0.0155658064969699,0.0710314288971589,0.0222583521951868,0.0301550792968705,-0.000999723356185879,0.0180048236861545
"shortwave_radiation_z",-0.152773624747846,-0.360902554414424,0.480696212438518,-0.104909885820463,0.0581984151047607,0.0934713263648979,0.112611008103046,-0.0308620896740352,0.114390549853817,-0.251215158041203,0.100415801816526,0.245686463646841,-0.0463675326010933,1,0.12582235442172,-0.411112477999307,-0.0449557757391252,-0.000924093103184356,0.386475609566649,-0.00893187438877371
"is_day_z",-0.00395329245754187,-0.00397653280351816,0.0831280835962524,-0.0344547731960239,-0.00588812238889757,0.017120110067705,-0.0480092967573729,0.0229762646609156,-0.0386357650615865,0.079481075209292,0.0227629759586053,0.0506350453729883,-0.0155658064969699,0.12582235442172,1,-0.0924752891478264,0.164969508436423,-0.0592083742616992,0.767090905062679,0.0110056625600271
"sin_dzien_z",0.0247250894791523,0.420184659439579,-0.493820572689983,0.0256445332172524,0.0201106548915219,-0.126698264293919,-0.162119429454957,-0.192370103156367,0.161847536716048,0.117714984082921,0.0406824765259491,-0.101679598432214,0.0710314288971589,-0.411112477999307,-0.0924752891478264,1,0.361598961025687,0.078727562545107,-0.0532087601693019,0.00752494202218866
"cos_dzien_z",0.0173363949943561,0.279575365234513,-0.297558861573695,-0.0155784627084569,0.0279423272976782,0.0323038192738414,-0.180673724022998,-0.19897056571081,0.163764490005735,0.123138732677586,0.0894340128918472,-0.0411394338142598,0.0222583521951868,-0.0449557757391252,0.164969508436423,0.361598961025687,1,0.0783341112468315,0.238839243801919,0.68324173847914
"sin_godzina_z",-0.20586170845458,0.0182212811799362,-0.0138860466104888,0.187656205547449,0.012252542897111,0.0404962560452524,-0.00380328233934414,-0.0577154035320117,0.0327752374062601,-0.00902421047729364,0.0704516867123783,0.0134110373450832,0.0301550792968705,-0.000924093103184356,-0.0592083742616992,0.078727562545107,0.0783341112468315,1,-0.0147613952858434,-0.00201473975032572
"cos_godzina_z",0.0519378591264267,0.0262529628282351,-0.066425305783262,-0.0133133892680921,-0.00288394910151693,-0.0288348742897304,-0.0349704144115536,-0.0587361995195772,0.0667926040578784,-0.0107402994213955,0.0624249157164027,0.108617288770844,-0.000999723356185879,0.386475609566649,0.767090905062679,-0.0532087601693019,0.238839243801919,-0.0147613952858434,1,0.0061454461508323
"polrocze_cieple_z",0.00647292054168732,0.0106297282576455,-0.0158287914500238,0.00747218143868803,0.00852406761453874,-0.0296550703855675,-0.0227258287004733,-0.0261884579237219,0.0285050753122083,0.0026782417083724,0.00336242803072224,-0.00314875038464434,0.0180048236861545,-0.00893187438877371,0.0110056625600271,0.00752494202218866,0.68324173847914,-0.00201473975032572,0.0061454461508323,1
