"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.472234342783655,-0.094874862867058,0.157611812466828,-0.00416229416810479,0.0565080714983727,-0.0140344396966077,-0.0214771395279364,0.0204055160708294,0.00290114554199347,-0.0243101339346627,-0.0579197982431721,-0.00508114498959627,-0.0562738477764955,-0.00109560621574726,0.0442199402018235,0.0307032448701262,-0.112686994092699,0.0355192737121125,-0.00158290413373971
"wind_speed_10m_z",-0.472234342783655,1,-0.567339220212106,-0.329574559615488,-0.11537097083215,-0.190708396961436,-0.276383411897748,0.0292717904591453,-0.116510687894323,0.446029209258054,0.0319641668244246,-0.119248671762494,-0.02788644713359,-0.303887094580847,-0.00108948933252855,0.384048891220152,0.264578343200542,0.0496615732740242,0.014436626194155,-0.00435643197161283
"wind_speed_100m_z",-0.094874862867058,-0.567339220212106,1,-0.221686437157426,0.0745815717731215,0.316730758280283,-0.00828374591198273,0.0547830447399567,-0.0505950372775744,-0.000118772040659823,-0.0249702687368178,0.215559569216039,-0.0103463940998212,0.481053518948412,0.0778235963865886,-0.550766331486223,-0.333497063120844,-0.0466959245082457,-0.0566898639005775,-0.0114917627830861
"wind_gusts_10m_z",0.157611812466828,-0.329574559615488,-0.221686437157426,1,0.049152021961555,-0.15154268500218,-0.0774620575949897,-0.0178996325569491,0.0316234623793276,0.0685776446277376,-0.125023220420858,-0.103273886403821,0.107011679631159,-0.253222141401755,-0.0524041952353859,0.101897726070659,0.0284056523770964,0.0758215443822168,0.0187969491038786,0.0182362974499372
"wind_dir_sin_z",-0.00416229416810479,-0.11537097083215,0.0745815717731215,0.049152021961555,1,0.111521981461658,0.118077216913635,0.0232690364043462,0.0435589390750798,-0.155994455188363,-0.114183789901347,-0.0874104289107859,-0.104684191176928,0.0693965917792028,-0.00673442477634282,0.0403890558623841,0.0613511471361642,0.0120731897809149,0.00443763932248908,0.0355257560466508
"wind_dir_cos_z",0.0565080714983727,-0.190708396961436,0.316730758280283,-0.15154268500218,0.111521981461658,1,0.0267839346111258,0.0384303805382747,-0.0474764685714147,0.00581127455266223,-0.0674464582175018,0.135049566482606,-0.206593346269711,0.119612788673243,0.0142342703898971,-0.162548128140544,0.0169275556284175,0.0281502472724681,-0.0235561813397424,-0.0331592847558954
"temperature_2m_z",-0.0140344396966077,-0.276383411897748,-0.00828374591198273,-0.0774620575949897,0.118077216913635,0.0267839346111258,1,0.656267846153555,-0.521193254404834,-0.695097371144696,-0.00382385590027677,-0.0287999241594009,0.03128860839913,0.0456015686001169,-0.0307173483333609,-0.151620598824304,-0.194708661066978,-0.00416934310789794,-0.0343761688642164,-0.0259486257928577
"relative_humidity_2m_z",-0.0214771395279364,0.0292717904591453,0.0547830447399567,-0.0178996325569491,0.0232690364043462,0.0384303805382747,0.656267846153555,1,-0.969689995576939,0.0655147989015357,-0.125162346856531,-0.10150486364925,0.0186499573943598,-0.0743526576864759,0.024866050359394,-0.180951233385095,-0.2063712451204,-0.0420489617431102,-0.055128567194735,-0.0522494618104587
"dew_point_2m_z",0.0204055160708294,-0.116510687894323,-0.0505950372775744,0.0316234623793276,0.0435589390750798,-0.0474764685714147,-0.521193254404834,-0.969689995576939,1,-0.245851547267831,0.10351803493323,0.0659247419394245,0.00780983811491184,0.146832443494838,-0.0371699875342644,0.148671742124396,0.168005690591983,0.0195692234398609,0.0614258045677242,0.0612758882482912
"apparent_temperature_z",0.00290114554199348,0.446029209258054,-0.000118772040659823,0.0685776446277376,-0.155994455188363,0.00581127455266223,-0.695097371144696,0.0655147989015357,-0.245851547267831,1,-0.081300212183926,-0.0335879638865148,-0.0334887475122496,-0.212294544372652,0.0630037254580926,0.117508882156797,0.136334409901505,0.000970392053218608,-0.00941510404337711,-0.0231127458665146
