"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.455244966115169,-0.0927015198353416,0.154983425792339,-0.0044959473382092,0.0556659101500556,-0.0139080154951335,-0.0207632637494434,0.0195668573267094,0.00339035496374659,-0.0240082043108885,-0.0566619243652118,-0.00523541894358859,-0.0549533547773103,-0.000989564778042572,0.0373699090502153,0.0264488954429621,-0.110758182028079,0.0349981000203943,-0.000833782470748263
"wind_speed_10m_z",-0.455244966115169,1,-0.572693849762871,-0.321307196021712,-0.131814124722577,-0.190433342539389,-0.299736107164372,0.0366716540505817,-0.130485984060897,0.472025958177803,0.0308278150802821,-0.120922661474744,-0.0298409654742095,-0.315736562363074,-0.000293917442291427,0.358665663847196,0.242736211152678,0.0491094000922039,0.0126891931861589,0.00048358981849054
"wind_speed_100m_z",-0.0927015198353416,-0.572693849762871,1,-0.221402414238498,0.0819512894908653,0.316162548686803,0.00779258373603974,0.0530827047501192,-0.0442170509675266,-0.0234859317386708,-0.0245241572800361,0.217281354827626,-0.00823135208609084,0.487865352260483,0.0762156813441481,-0.493346754156566,-0.292716609881247,-0.0473998904074799,-0.0556185303113884,-0.00826865619992678
"wind_gusts_10m_z",0.154983425792339,-0.321307196021712,-0.221402414238498,1,0.0475833129897607,-0.1515556010676,-0.0780755601899507,-0.0176398915339944,0.0306359538224805,0.0685883887287287,-0.125065228062843,-0.103225408686858,0.106776162973935,-0.252573745549211,-0.0522374564199687,0.0892261081490753,0.0275250451050032,0.0757659035785486,0.0186084806016556,0.0166245923503121
"wind_dir_sin_z",-0.0044959473382092,-0.131814124722577,0.0819512894908653,0.0475833129897607,1,0.112972724283665,0.133206323817129,0.0159476171897591,0.0546629524260582,-0.17850256711056,-0.113134144189519,-0.0851536871090732,-0.102890495152662,0.0753737783557102,-0.00634138142216212,0.0221985496405215,0.0391802600516263,0.0124534794691743,0.00511529146716077,0.0210762550474761
"wind_dir_cos_z",0.0556659101500556,-0.190433342539389,0.316162548686803,-0.1515556010676,0.112972724283665,1,0.0292557755181401,0.0373585427201708,-0.0456062775867762,0.00101173100652217,-0.0671280078815193,0.135652546304061,-0.206866684945876,0.119787731316856,0.0143715440370582,-0.143386453072543,0.0130083119998923,0.0279601999937801,-0.0234932478556656,-0.0253353556356524
"temperature_2m_z",-0.0139080154951335,-0.299736107164372,0.00779258373603974,-0.0780755601899507,0.133206323817129,0.0292557755181401,1,0.636555888506964,-0.494516980313018,-0.704922187937777,-0.00328438725492838,-0.0258558980252475,0.0326477368075587,0.0605007642556423,-0.0305917890850067,-0.157852699589151,-0.181451438415497,-0.00410994194549406,-0.0325384194402552,-0.0220786587676606
"relative_humidity_2m_z",-0.0207632637494434,0.0366716540505817,0.0530827047501192,-0.0176398915339944,0.0159476171897591,0.0373585427201708,0.636555888506963,1,-0.968858597145937,0.0781823145788601,-0.125091068425775,-0.100933767014355,0.0183514606221865,-0.0735892591957922,0.0243514539455726,-0.154993527578994,-0.163203303681438,-0.0429022591136128,-0.0552445949455161,-0.0283884956190289
"dew_point_2m_z",0.0195668573267094,-0.130485984060897,-0.0442170509675266,0.0306359538224805,0.0546629524260582,-0.0456062775867762,-0.494516980313018,-0.968858597145937,1,-0.262651604916327,0.103266428721337,0.066122685161184,0.00847649718523555,0.149819236485582,-0.0366909417730887,0.119074337919926,0.125736955657812,0.0203321346391066,0.061786153421589,0.0348014478540788
"apparent_temperature_z",0.00339035496374659,0.472025958177803,-0.0234859317386708,0.0685883887287287,-0.17850256711056,0.00101173100652217,-0.704922187937777,0.0781823145788601,-0.262651604916327,1,-0.0789607747419948,-0.0357687580043214,-0.0349103554028807,-0.225393375578035,0.0608088138453414,0.138268234770306,0.14585438920781,0.000285416274189117,-0.0111850989481818,-0.00501576136326389
