"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.456529998831946,-0.0925762702080997,0.155067803898275,-0.00476412420636068,0.0556270850403091,-0.0138226305750952,-0.0205737829552049,0.0193922964323085,0.00342225760129477,-0.023881753176462,-0.0564422505061546,-0.00535872301148454,-0.0548697506281689,-0.000864895708414601,0.0373920902794728,0.0265621708178417,-0.11069846666095,0.0351745980543175,-0.000659949478303114
"wind_speed_10m_z",-0.456529998831946,1,-0.571942241590022,-0.321522668599372,-0.131696248116903,-0.190361902315187,-0.299163422052987,0.0363760681281321,-0.129992268398725,0.471254912465271,0.0309212012613726,-0.120754263523559,-0.029630355942376,-0.315084282483805,-0.000100259416777552,0.358281933762718,0.242985123318272,0.0495685344087888,0.0124456833474993,2.50371574227657e-05
"wind_speed_100m_z",-0.0925762702080997,-0.571942241590021,1,-0.221698337772461,0.0818407260854505,0.316297886441539,0.00793699219730121,0.0535334169302315,-0.0447425754923876,-0.0232475809256591,-0.0246385575135926,0.217451089410665,-0.00858028276538995,0.487471720810842,0.075796739078105,-0.493868094436057,-0.294197654197826,-0.0476721677266575,-0.0555078884134025,-0.00833545247427238
"wind_gusts_10m_z",0.155067803898275,-0.321522668599372,-0.221698337772461,1,0.0476416334517246,-0.151484808074369,-0.0787075291507204,-0.0179787394618038,0.0308821643967656,0.0691449133704685,-0.125102114917632,-0.103521106961556,0.106977999948836,-0.252428148224662,-0.0521309697808209,0.0894264440837894,0.0284250723598071,0.0756610949278,0.0187390699102906,0.0170598343976294
"wind_dir_sin_z",-0.00476412420636068,-0.131696248116903,0.0818407260854506,0.0476416334517246,1,0.112291493983986,0.133485550088113,0.0162094878911539,0.0544898552358599,-0.178780021693796,-0.113268591472176,-0.085670806471774,-0.103113296785146,0.0753277032233571,-0.00643651372485055,0.0226624486202795,0.0398488670025887,0.0124397385718142,0.00506550548518537,0.0218246359631932
"wind_dir_cos_z",0.0556270850403091,-0.190361902315187,0.316297886441539,-0.151484808074369,0.112291493983986,1,0.0295899195294479,0.0379775769575696,-0.0462365799465849,0.00116156742313602,-0.0671740989918337,0.135682366611776,-0.207367645803313,0.119620243177378,0.0143890614660919,-0.143243854574987,0.012957059048155,0.0275249208143,-0.0234284945280672,-0.0253334448497424
"temperature_2m_z",-0.0138226305750952,-0.299163422052987,0.00793699219730121,-0.0787075291507204,0.133485550088113,0.0295899195294479,1,0.63703170417394,-0.495169590948421,-0.70459967640228,-0.00350499502409198,-0.0263608246393416,0.0321881832101056,0.0602151482648444,-0.0304283448807848,-0.15798078375015,-0.181523807855447,-0.00448684631268321,-0.0326857645453318,-0.0215411308606897
"relative_humidity_2m_z",-0.0205737829552049,0.0363760681281321,0.0535334169302315,-0.0179787394618038,0.0162094878911539,0.0379775769575696,0.63703170417394,1,-0.96890262339442,0.0780310442601894,-0.125347652301215,-0.101425570406724,0.0179582790244434,-0.0737561324705724,0.0243689838741673,-0.155869442173608,-0.163647047854549,-0.0428924197512144,-0.0554724088746055,-0.0279359844052053
"dew_point_2m_z",0.0193922964323085,-0.129992268398725,-0.0447425754923876,0.0308821643967656,0.0544898552358599,-0.0462365799465849,-0.495169590948421,-0.96890262339442,1,-0.262370553955894,0.103519612807722,0.0665693740287125,0.00878126092916959,0.149875479300643,-0.0366639594852422,0.120079872110202,0.126309510484156,0.0203034974775468,0.0620272509506986,0.0345688369297174
"apparent_temperature_z",0.00342225760129477,0.471254912465271,-0.0232475809256591,0.0691449133704685,-0.178780021693796,0.00116156742313602,-0.70459967640228,0.0780310442601894,-0.262370553955894,1,-0.0789983477698749,-0.0356212840274223,-0.0346947917509618,-0.225277688805364,0.0606885740788393,0.137646318133992,0.145627113150153,0.000705554004622527,-0.0112404204416377,-0.00547922465786486
"precipitation_z",-0.023881753176462,0.0309212012613726,-0.0246385575135926,-0.125102114917632,-0.113268591472176,-0.0671740989918337,-0.00350499502409198,-0.125347652301215,0.103519612807722,-0.0789983477698749,1,-0.0777410017496664,0.128903099614632,0.0820130129262433,0.0106788028175461,0.0372934895629397,0.076616912004702,0.045578397085041,0.0569859838331574,0.00307826805972737
