"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.190872456356478,-0.134464055463259,-0.546344326454624,-0.00225539857800707,0.0302482475485536,0.00641138483474305,-0.0162774507285357,0.0275930857238771,-0.0276501021744163,-0.0937048729997923,-0.0927321069618013,0.00767773930471244,-0.156474956738131,-0.00238654194910315,0.0298653823676138,0.0192936397206683,-0.20630438116103,0.0536906422742135,0.00788612443660976
"wind_speed_10m_z",-0.190872456356478,1,-0.676100269776959,-0.162588536656828,-0.142858651563429,-0.189025573113174,-0.332918194171683,-0.0248525221734484,-0.0750235625549043,0.475509533923663,0.0494379970189621,-0.12361720066019,-0.0286063615660396,-0.34817875230994,-0.00417082986586455,0.442752820910114,0.301067822235024,0.0214548966873886,0.0276695551712677,0.00705828807714695
"wind_speed_100m_z",-0.134464055463259,-0.676100269776959,1,-0.0653303545250569,0.0665558227180497,0.294801524248376,0.0135166685519325,0.0814647979927881,-0.0854436898958559,0.00196366448513829,-0.000404601197371646,0.21318496174632,-0.00601390156540183,0.473714111625882,0.0828208228615176,-0.533735022219763,-0.332555400509144,-0.0149999919561988,-0.0670550112167333,-0.0204475223585561
"wind_gusts_10m_z",-0.546344326454624,-0.162588536656828,-0.0653303545250569,1,0.0519741208367381,-0.130685754169499,-0.0495595966593421,0.0242664148860823,-0.0101182421675666,0.0647278851942603,-0.0703527696875152,-0.0457627520165603,0.0818978170784062,-0.10298043245691,-0.0344341057666917,0.0265538513629578,-0.0161842280161804,0.186469986044847,-0.0132812085699801,0.00957817824532807
"wind_dir_sin_z",-0.00225539857800707,-0.142858651563429,0.0665558227180497,0.0519741208367381,1,0.120782041458092,0.14953174876924,0.0295776248108962,0.0431435593209933,-0.188317410689896,-0.118522754614573,-0.0714340617277961,-0.112793638738234,0.052143214424432,-0.00627734868990776,0.035339005945627,0.0441924227324459,0.0133291203617232,-0.003062218355718,0.0206662077374649
"wind_dir_cos_z",0.0302482475485536,-0.189025573113174,0.294801524248376,-0.130685754169499,0.120782041458092,1,0.0395674528417213,0.0452631214012759,-0.0586338414391495,0.00322863374835382,-0.0685904099211899,0.136705391014157,-0.219974854489048,0.0923698288348545,0.0174352097224318,-0.135052350291414,0.0377170040107711,0.0390941447923777,-0.0284086986694307,-0.0350759366308955
"temperature_2m_z",0.00641138483474305,-0.332918194171683,0.0135166685519325,-0.0495595966593421,0.14953174876924,0.0395674528417213,1,0.647908486815097,-0.500597695616397,-0.720645299350295,-0.0218580884678288,-0.0344336217107153,0.028403056055176,0.100410557246668,-0.0468981435863772,-0.159748035716599,-0.188636083515236,-0.00603024727688458,-0.0377174853705802,-0.0211993838315732
"relative_humidity_2m_z",-0.0162774507285357,-0.0248525221734484,0.0814647979927881,0.0242664148860823,0.0295776248108962,0.0452631214012759,0.647908486815097,1,-0.964785357194977,0.0386095969984519,-0.140576487233181,-0.100540815175889,0.025649281194353,-0.0318349762321619,0.0249478570847278,-0.217038796527497,-0.232501200049804,-0.0561405378565631,-0.0590367088052292,-0.0364730126132691
"dew_point_2m_z",0.0275930857238771,-0.0750235625549043,-0.0854436898958559,-0.0101182421675666,0.0431435593209933,-0.0586338414391495,-0.500597695616397,-0.964785357194977,1,-0.233262492773711,0.110976812617731,0.0592297480814469,0.000236539720489621,0.111640106815489,-0.0403850777868983,0.190596122288897,0.198867537059578,0.0311689191842098,0.0666859836066185,0.0417845679208704
"apparent_temperature_z",-0.0276501021744163,0.475509533923663,0.00196366448513829,0.0647278851942603,-0.188317410689896,0.00322863374835382,-0.720645299350295,0.0386095969984519,-0.233262492773711,1,-0.063300555009483,-0.0188088474261894,-0.0235996767692054,-0.241049530564143,0.0816267180299485,0.0995024247222757,0.111822936150294,-0.00563697826073906,-0.00816882377314929,-0.00985282095595879
