"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.476068090587696,-0.0949908534759802,0.157959582869676,-0.00437995674566887,0.0565064491982277,-0.0138487768421328,-0.021434073684091,0.0204108206215719,0.00267414580539267,-0.0241621241676361,-0.0578116965251871,-0.00518147989187053,-0.056410858012289,-0.00093021034849439,0.0450251797558874,0.0310575995225355,-0.112746264555082,0.0357876083225137,-0.00168625327699141
"wind_speed_10m_z",-0.476068090587696,1,-0.565510965539457,-0.33106291538202,-0.112884089763581,-0.190698250993594,-0.272188543072107,0.0279125904482829,-0.11394761021147,0.441162223768231,0.0322289963127946,-0.118704497503218,-0.0273440555093185,-0.301235640032707,-0.000986996419196216,0.385107164093301,0.266535221460536,0.050374376769363,0.014339154843278,-0.0055680888109936
"wind_speed_100m_z",-0.0949908534759802,-0.565510965539457,1,-0.22212989155844,0.0734829033484946,0.317008549233692,-0.0103689546573335,0.0554968294305797,-0.0520596167573278,0.00354204279312483,-0.0251623170863162,0.215493650359655,-0.0111635633653944,0.479514314950151,0.0775689043484193,-0.557457502900432,-0.339942919907277,-0.046937374898815,-0.0566664114767059,-0.012366739939871
"wind_gusts_10m_z",0.157959582869676,-0.33106291538202,-0.22212989155844,1,0.0494561856041449,-0.151473784969235,-0.0782120757483675,-0.0183697836376302,0.0320825436777376,0.0693529647519606,-0.125086278466192,-0.103676920886672,0.107308903089014,-0.25312449344977,-0.0522946553785569,0.103588999211805,0.0295453176299389,0.0756883352769394,0.0189935312762778,0.01890134824598
"wind_dir_sin_z",-0.00437995674566887,-0.112884089763581,0.0734829033484946,0.0494561856041449,1,0.110470638111373,0.116213358035661,0.0246986554082578,0.0417120273046137,-0.152955537547377,-0.114514619395641,-0.0884340602903037,-0.105178663393717,0.0685921375885507,-0.00693519630831271,0.0437448700715821,0.0655776604418182,0.0119693577377207,0.00428103419901101,0.0390612448260599
"wind_dir_cos_z",0.0565064491982277,-0.190698250993594,0.317008549233692,-0.151473784969235,0.110470638111373,1,0.0269684543981056,0.0393813711419238,-0.0485271354449551,0.00658230778272832,-0.0675735544107385,0.13497024982518,-0.207193454083309,0.119432720089818,0.0142374729891062,-0.16460197304958,0.017257786305679,0.0276172027296868,-0.0234660672848334,-0.0343493655548337
"temperature_2m_z",-0.0138487768421328,-0.272188543072107,-0.0103689546573335,-0.0782120757483675,0.116213358035661,0.0269684543981056,1,0.659833134007126,-0.52599506476453,-0.693194732058256,-0.00415186815248245,-0.0298760483572409,0.0305301204584391,0.0430930618084187,-0.030521211382339,-0.149791691372435,-0.195317682660372,-0.00470773230301832,-0.0348357933818165,-0.025571326729892
"relative_humidity_2m_z",-0.021434073684091,0.0279125904482829,0.0554968294305797,-0.0183697836376302,0.0246986554082578,0.0393813711419238,0.659833134007126,1,-0.969864048088832,0.0633491647342961,-0.125482112772263,-0.102219118561157,0.0181434345529856,-0.0748416812796135,0.0249874157540896,-0.18530887927834,-0.21266287570959,-0.0418768149109108,-0.0554060316028765,-0.0554875203514528
"dew_point_2m_z",0.0204108206215719,-0.11394761021147,-0.0520596167573278,0.0320825436777376,0.0417120273046138,-0.0485271354449551,-0.52599506476453,-0.969864048088832,1,-0.242933054111066,0.103871181155671,0.0664742832758716,0.00816514651690925,0.146643563899168,-0.0372251850885597,0.154053806895366,0.17467284601774,0.0193810530656206,0.0616852649902465,0.0652297937439246
"apparent_temperature_z",0.00267414580539267,0.441162223768231,0.00354204279312483,0.0693529647519606,-0.152955537547377,0.00658230778272832,-0.693194732058256,0.0633491647342961,-0.242933054111066,1,-0.0817608138048562,-0.0330823999253354,-0.0330832690504395,-0.210373341095089,0.0631978371000956,0.112174440956622,0.132879953761276,0.00171525463431911,-0.00922565191763164,-0.0270798790992755
"precipitation_z",-0.0241621241676361,0.0322289963127946,-0.0251623170863162,-0.125086278466192,-0.114514619395641,-0.0675735544107385,-0.00415186815248246,-0.125482112772263,0.103871181155671,-0.0817608138048562,1,-0.0779997788177606,0.128825898104786,0.0829468852449056,0.0108693430276026,0.0438808089749875,0.093732912419151,0.0454680117257654,0.0572636401622846,0.00793277928832412
"cloud_cover_z",-0.0578116965251871,-0.118704497503218,0.215493650359655,-0.103676920886672,-0.0884340602903037,0.13497024982518,-0.0298760483572409,-0.102219118561157,0.0664742832758716,-0.0330823999253354,-0.0779997788177605,1,0.0608351060775127,0.215948980705044,0.0412846657852866,-0.126436536647058,-0.0752299924050267,0.00213923906490509,0.0942325487848725,-0.0127026151938283
"pressure_msl_z",-0.00518147989187053,-0.0273440555093185,-0.0111635633653944,0.107308903089014,-0.105178663393717,-0.207193454083309,0.0305301204584391,0.0181434345529856,0.00816514651690925,-0.0330832690504395,0.128825898104786,0.0608351060775127,1,-0.0447021870894879,-0.00251363240544357,0.0808684871998775,0.0292202985243032,0.0370132157647068,0.00839606954438689,0.0287380742328153
"shortwave_radiation_z",-0.056410858012289,-0.301235640032707,0.479514314950151,-0.25312449344977,0.0685921375885507,0.119432720089818,0.0430930618084187,-0.0748416812796135,0.146643563899168,-0.210373341095089,0.0829468852449056,0.215948980705044,-0.0447021870894879,1,0.0932720892899526,-0.429300040792366,-0.0455320361247677,-0.0246562875714983,0.380520484326787,-0.00144444963565651
"is_day_z",-0.00093021034849439,-0.000986996419196216,0.0775689043484193,-0.0522946553785569,-0.00693519630831271,0.0142374729891062,-0.030521211382339,0.0249874157540896,-0.0372251850885597,0.0631978371000956,0.0108693430276026,0.0412846657852866,-0.00251363240544357,0.0932720892899526,1,-0.0935970983579316,0.180935382310568,-0.0918281142701665,0.761264517486039,0.0125773848505695
"sin_dzien_z",0.0450251797558874,0.385107164093301,-0.557457502900432,0.103588999211805,0.0437448700715821,-0.16460197304958,-0.149791691372435,-0.18530887927834,0.154053806895366,0.112174440956622,0.0438808089749875,-0.126436536647058,0.0808684871998775,-0.429300040792366,-0.0935970983579316,1,0.444601678038038,0.0914318865542889,-0.0488800555352881,-0.00865657231912152
"cos_dzien_z",0.0310575995225355,0.266535221460536,-0.339942919907277,0.0295453176299389,0.0655776604418182,0.017257786305679,-0.195317682660372,-0.21266287570959,0.17467284601774,0.132879953761276,0.093732912419151,-0.0752299924050268,0.0292202985243032,-0.0455320361247677,0.180935382310568,0.444601678038038,1,0.0887059779914615,0.26694456810631,0.612456965145479
"sin_godzina_z",-0.112746264555082,0.050374376769363,-0.046937374898815,0.0756883352769394,0.0119693577377207,0.0276172027296868,-0.00470773230301832,-0.0418768149109108,0.0193810530656206,0.00171525463431911,0.0454680117257654,0.00213923906490509,0.0370132157647068,-0.0246562875714983,-0.0918281142701665,0.0914318865542889,0.0887059779914615,1,-0.0260959020944907,-0.0104257223230677
"cos_godzina_z",0.0357876083225137,0.014339154843278,-0.0566664114767059,0.0189935312762778,0.00428103419901101,-0.0234660672848334,-0.0348357933818165,-0.0554060316028765,0.0616852649902465,-0.00922565191763164,0.0572636401622846,0.0942325487848725,0.00839606954438689,0.380520484326787,0.761264517486039,-0.0488800555352881,0.26694456810631,-0.0260959020944907,1,0.00581140840935544
