"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.456671268483771,-0.0926071200706859,0.155123975429628,-0.00475861250185071,0.0556408109852681,-0.0137824608550463,-0.0205811396473546,0.0194071071164032,0.00336628840244675,-0.0239033473618482,-0.0564654586468557,-0.00535747366649067,-0.0548802211210633,-0.000869342001224309,0.0374151822472015,0.0262893891337995,-0.110750887761939,0.0351819696621142,-0.000444718795992465
"wind_speed_10m_z",-0.456671268483771,1,-0.571855527673869,-0.321420265067752,-0.131784048408357,-0.190339338924359,-0.299295881659967,0.0364200287618073,-0.130067062048555,0.471374399551297,0.0309104269772208,-0.120739556085255,-0.0296290333150218,-0.315095818623141,-8.50559963661655e-05,0.357880996763852,0.242887613159622,0.0495855981552646,0.0124428084735142,-6.6795078584504e-05
"wind_speed_100m_z",-0.0926071200706859,-0.571855527673869,1,-0.221700224938924,0.0818903505967613,0.316295061982705,0.00806295216155179,0.0535268143502107,-0.0447012973944952,-0.0234211442272609,-0.0246340871840118,0.217464321923332,-0.00857262265455492,0.48751938527497,0.0757841407472271,-0.493274324095785,-0.293829078582028,-0.0476772532935974,-0.0555028518035501,-0.00832173513407622
"wind_gusts_10m_z",0.155123975429628,-0.321420265067752,-0.221700224938924,1,0.0476333805189958,-0.151481984312236,-0.0787148159775881,-0.0179830800596129,0.0308814979012463,0.0691442840744798,-0.125104228197109,-0.103521111249633,0.106976401945252,-0.252424941243347,-0.052129738776551,0.0893740701423929,0.0283967942771296,0.0756587222797286,0.0187393159345213,0.0170503506121418
"wind_dir_sin_z",-0.00475861250185071,-0.131784048408357,0.0818903505967613,0.0476333805189958,1,0.112302572730407,0.133585186182836,0.0161537402127473,0.0545699362885098,-0.178928723671716,-0.11325583219792,-0.0856534728913708,-0.103101061577997,0.0753595558934531,-0.00643756973382729,0.0225222111478989,0.0396456557928316,0.0124354049015695,0.00506342137535457,0.0216213813341907
"wind_dir_cos_z",0.0556408109852681,-0.190339338924359,0.316295061982705,-0.151481984312236,0.112302572730407,1,0.0296235380864344,0.0379719671272193,-0.0462229817982409,0.00110937390010135,-0.0671716380493343,0.135691218663329,-0.207372489328586,0.119623209297831,0.0143855134086098,-0.143056030716584,0.012931459799709,0.0275236353725895,-0.02343159745714,-0.0252933512595612
"temperature_2m_z",-0.0137824608550463,-0.299295881659967,0.00806295216155179,-0.0787148159775881,0.133585186182836,0.0296235380864344,1,0.636891262412894,-0.494982705805166,-0.704673661405769,-0.00349268103279804,-0.0263261581942007,0.0321910135140596,0.0603190587183645,-0.0304363195086346,-0.15807577353167,-0.181445730740567,-0.00449150165437909,-0.0326905261183702,-0.0214475665368122
"relative_humidity_2m_z",-0.0205811396473546,0.0364200287618073,0.0535268143502107,-0.0179830800596129,0.0161537402127473,0.0379719671272193,0.636891262412894,1,-0.968896810507129,0.0781126607844951,-0.125349636595319,-0.10141952383213,0.0179564708543673,-0.0737450853140335,0.0243677835673221,-0.155649855306341,-0.163298546036187,-0.0428921360479249,-0.0554685487171396,-0.0277205113206172
"dew_point_2m_z",0.0194071071164032,-0.130067062048555,-0.0447012973944952,0.0308814979012463,0.0545699362885098,-0.0462229817982409,-0.494982705805166,-0.968896810507129,1,-0.262478323538049,0.103521584660411,0.0665714664329895,0.008785668580176,0.149890932036397,-0.0366652594847616,0.119836427166626,0.125965256071573,0.0203007915627421,0.0620223754697854,0.0343361660893702
"apparent_temperature_z",0.00336628840244675,0.471374399551297,-0.0234211442272609,0.0691442840744798,-0.178928723671716,0.00110937390010135,-0.704673661405769,0.0781126607844951,-0.262478323538049,1,-0.0789944012135508,-0.0356521820929151,-0.0346961601752689,-0.225362340991646,0.0606873170802954,0.137849830682029,0.145738517212577,0.00071291734032272,-0.0112257129710482,-0.00539075399739911
"precipitation_z",-0.0239033473618482,0.0309104269772208,-0.0246340871840118,-0.125104228197109,-0.113255832197919,-0.0671716380493343,-0.00349268103279804,-0.125349636595319,0.103521584660411,-0.0789944012135508,1,-0.0777391614948402,0.128898154532263,0.0820161574397052,0.0106799358687117,0.0371735613327797,0.0765166690128158,0.0455827695761721,0.0569884872437698,0.00307255350252572
