"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.731946090521541,-0.0417667355925382,0.0744747197557322,-0.00571730680171039,0.0238050734239128,0.00134989952248389,-0.00636261368635052,0.0072400074040048,-0.0062044863946133,-0.0123133360258807,-0.0266781802597941,-0.0011868068129294,-0.0232873606514143,-0.00148017612166832,0.0120072299909045,0.011713762500311,-0.0536493826230723,0.0147752525338767,-0.0105261452484328
"wind_speed_10m_z",-0.731946090521541,1,-0.441898785337704,-0.246623665014846,-0.0954888072670416,-0.142105959306106,-0.236679833426552,0.0219514687312092,-0.0953102463589407,0.366518932959131,0.0255366091029329,-0.0916181511113812,-0.0224364232693096,-0.246334117565602,0.000675303822339711,0.283095175319255,0.18747847293452,0.0391329081410469,0.0120161019343125,0.0068180590908583
"wind_speed_100m_z",-0.0417667355925382,-0.441898785337704,1,-0.220464827339803,0.0760052987086037,0.314228211754642,0.00888432880999354,0.0551483862040373,-0.0467087475744299,-0.023386847263133,-0.0256657076476991,0.216755084550161,-0.0108360605287289,0.489049372534818,0.0754526375601446,-0.507047656557433,-0.303477464172962,-0.0481722914631509,-0.0581414522227975,-0.00703362561327169
"wind_gusts_10m_z",0.0744747197557322,-0.246623665014846,-0.220464827339803,1,0.0504792232017299,-0.152907563246009,-0.0787219538187285,-0.0179645360458318,0.0312724361509352,0.0690082804050122,-0.125720622205611,-0.103447256854647,0.1075593321271,-0.251353916000941,-0.0506874402621804,0.0863594758730222,0.0299540175952958,0.0764528963386348,0.0205897988881023,0.0170641003612069
"wind_dir_sin_z",-0.00571730680171039,-0.0954888072670416,0.0760052987086037,0.0504792232017299,1,0.107362592932804,0.133460972278884,0.0173638021317234,0.0539263413257824,-0.178012910992326,-0.113237700956645,-0.0869575777253075,-0.104336974681283,0.0743647719982005,-0.00665000925882523,0.0282755980455349,0.0475144589575145,0.0131079514214314,0.00661525255693582,0.0336469391584562
"wind_dir_cos_z",0.0238050734239128,-0.142105959306106,0.314228211754642,-0.152907563246009,0.107362592932804,1,0.0267522893576354,0.0349287742992681,-0.0445664210506957,0.00329380169414721,-0.0651620538058477,0.134620408469346,-0.209879641396402,0.117567780299689,0.0143422124307304,-0.143414678106739,0.0166024027217491,0.030248293880426,-0.0231434067532275,-0.0245517315645564
"temperature_2m_z",0.00134989952248389,-0.236679833426552,0.00888432880999354,-0.0787219538187285,0.133460972278884,0.0267522893576354,1,0.637860316362837,-0.494401464399257,-0.708175104948696,-0.00348093191530044,-0.0277971793528146,0.0330657198676685,0.0665897029280002,-0.032512206569144,-0.151362808891149,-0.176915733325574,-0.00542378659301861,-0.0330547771809447,-0.0229353316159441
"relative_humidity_2m_z",-0.00636261368635052,0.0219514687312092,0.0551483862040373,-0.0179645360458318,0.0173638021317234,0.0349287742992681,0.637860316362837,1,-0.968556121660997,0.0719089137693664,-0.125320849730559,-0.101443344662054,0.0195816001367793,-0.0681599624185661,0.0226714200840518,-0.163915230173215,-0.174497809576219,-0.0446705307081843,-0.0567361244711378,-0.0349739006251525
"dew_point_2m_z",0.0072400074040048,-0.0953102463589406,-0.0467087475744299,0.0312724361509352,0.0539263413257824,-0.0445664210506957,-0.494401464399257,-0.968556121660997,1,-0.258231483978813,0.10372962817693,0.066477065980321,0.00762807183050315,0.145185413240102,-0.03502104583506,0.130084336220882,0.138966445147196,0.021749340323805,0.0637395490748511,0.0425751009758046
"apparent_temperature_z",-0.0062044863946133,0.366518932959131,-0.023386847263133,0.0690082804050122,-0.178012910992326,0.00329380169414721,-0.708175104948696,0.0719089137693664,-0.258231483978813,1,-0.0786255536417665,-0.0336179787510638,-0.0345775848120051,-0.228414756155626,0.0615657789428489,0.125419037700564,0.132816071107914,0.00108121264152419,-0.0116245438679324,-0.0102274754926001
