"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.476109369316758,-0.0949953863168864,0.15796906630929,-0.00437632798546996,0.0565065632708874,-0.0138425006077099,-0.021435189115971,0.0204137014424223,0.00266464227334937,-0.0241659324009544,-0.0578147222839704,-0.00517806226910698,-0.0564076832108264,-0.000931634379953819,0.0450185004785665,0.0310647587557622,-0.112755765689644,0.0357910283364148,-0.001680439011467
"wind_speed_10m_z",-0.476109369316758,1,-0.56548893601878,-0.331065337452889,-0.112882321058144,-0.19069732336592,-0.272185198059532,0.0279131051058078,-0.113947309920267,0.441156298974503,0.0322316024284195,-0.118696099206383,-0.0273431440998286,-0.301227820085579,-0.00098573235403717,0.385099747631643,0.266524102462921,0.0503838343042945,0.0143350064463607,-0.00557105016482889
"wind_speed_100m_z",-0.0949953863168864,-0.56548893601878,1,-0.222132437889521,0.0734817057196119,0.317008622581315,-0.0103685661680161,0.0554987134929033,-0.0520612431650928,0.00354274120041799,-0.0251619635408978,0.215491882454531,-0.0111653414733162,0.479514556497828,0.0775685974721046,-0.557458399762453,-0.339945257781973,-0.0469364172414749,-0.0566667209745908,-0.0123671600880019
"wind_gusts_10m_z",0.15796906630929,-0.331065337452889,-0.222132437889521,1,0.0494563121743439,-0.151473005724079,-0.0782125861698018,-0.0183715677330468,0.0320843378608762,0.0693520546059133,-0.125087124659398,-0.103677150589818,0.107309265494596,-0.253124017802377,-0.0522948323791457,0.103588469061893,0.0295475624235283,0.0756859439744707,0.0189946816954972,0.0189019940480793
"wind_dir_sin_z",-0.00437632798546996,-0.112882321058144,0.0734817057196119,0.0494563121743439,1,0.110469759029994,0.116213259523668,0.0246977789635598,0.0417131574795972,-0.152956002354984,-0.114514974322098,-0.08843364750664,-0.105179039782402,0.0685931348777205,-0.00693572606693252,0.043745460466728,0.0655789609426806,0.0119673550647813,0.0042817838926085,0.0390626916809292
"wind_dir_cos_z",0.0565065632708874,-0.19069732336592,0.317008622581315,-0.151473005724079,0.110469759029994,1,0.026969406990924,0.0393815031705058,-0.0485269959827809,0.00658108911767664,-0.0675737299398353,0.134970111578337,-0.207193537616252,0.119433673353067,0.0142363518689133,-0.164601514110007,0.0172584402804368,0.0276164085040645,-0.0234663796231664,-0.0343483436606714
"temperature_2m_z",-0.0138425006077099,-0.272185198059532,-0.0103685661680161,-0.0782125861698018,0.116213259523668,0.026969406990924,1,0.659831782764684,-0.525993069896045,-0.693195788864441,-0.00415332385863832,-0.0298755989827856,0.0305289143151914,0.0430933893726984,-0.030521568834043,-0.149792211993104,-0.195317728212611,-0.00470760048259602,-0.0348359096563738,-0.0255715385887432
"relative_humidity_2m_z",-0.021435189115971,0.0279131051058078,0.0554987134929033,-0.0183715677330468,0.0246977789635599,0.0393815031705058,0.659831782764684,1,-0.969863965057111,0.0633495328593811,-0.125483755761369,-0.102218807355016,0.0181426448398529,-0.0748420958782191,0.0249874238977184,-0.185309632184887,-0.212664133211676,-0.0418752949223343,-0.055406692041921,-0.0554889193694485
"dew_point_2m_z",0.0204137014424223,-0.113947309920267,-0.0520612431650928,0.0320843378608762,0.0417131574795972,-0.0485269959827809,-0.525993069896045,-0.969863965057111,1,-0.242933900511745,0.10387240109346,0.0664740114098125,0.00816560961786515,0.146644289506721,-0.0372252993836784,0.154054295170254,0.174674119989066,0.0193795657210123,0.0616861320660978,0.0652313259211257
"apparent_temperature_z",0.00266464227334937,0.441156298974503,0.00354274120041799,0.0693520546059133,-0.152956002354984,0.00658108911767664,-0.693195788864441,0.0633495328593811,-0.242933900511745,1,-0.0817599295101104,-0.0330824298464895,-0.0330821269728495,-0.210373864825357,0.0631982477510664,0.112174668396457,0.132879002866594,0.00171623567061079,-0.00922609516972994,-0.0270807878785147
"precipitation_z",-0.0241659324009544,0.0322316024284195,-0.0251619635408978,-0.125087124659398,-0.114514974322098,-0.0675737299398353,-0.00415332385863832,-0.125483755761369,0.10387240109346,-0.0817599295101104,1,-0.0780000020883149,0.128826091670977,0.0829477257571076,0.0108705219248191,0.0438813331684355,0.0937342530394666,0.0454697220522599,0.0572646736534088,0.00793306656053059
"cloud_cover_z",-0.0578147222839704,-0.118696099206383,0.215491882454531,-0.103677150589819,-0.08843364750664,0.134970111578337,-0.0298755989827856,-0.102218807355016,0.0664740114098125,-0.0330824298464895,-0.0780000020883149,1,0.0608339001418264,0.215947570971401,0.041284935353968,-0.126435514060249,-0.0752291484365162,0.00213909874232485,0.0942326922144684,-0.0127020637293496
"pressure_msl_z",-0.00517806226910698,-0.0273431440998286,-0.0111653414733162,0.107309265494596,-0.105179039782402,-0.207193537616252,0.0305289143151914,0.0181426448398529,0.00816560961786515,-0.0330821269728495,0.128826091670977,0.0608339001418264,1,-0.0447032265613879,-0.00251284325849212,0.0808688138484307,0.0292219189678081,0.0370149452578618,0.00839778385879197,0.0287385545254579
"shortwave_radiation_z",-0.0564076832108264,-0.301227820085579,0.479514556497828,-0.253124017802377,0.0685931348777205,0.119433673353067,0.0430933893726984,-0.0748420958782191,0.146644289506721,-0.210373864825357,0.0829477257571076,0.215947570971401,-0.0447032265613879,1,0.0932725758056082,-0.429300370916144,-0.0455320587880057,-0.0246566928761171,0.380520921507309,-0.00144396302601546
"is_day_z",-0.000931634379953819,-0.00098573235403717,0.0775685974721046,-0.0522948323791457,-0.00693572606693251,0.0142363518689133,-0.030521568834043,0.0249874238977184,-0.0372252993836784,0.0631982477510664,0.0108705219248191,0.041284935353968,-0.00251284325849212,0.0932725758056082,1,-0.0935968527650706,0.180935595627292,-0.0918276545279416,0.761264646489908,0.012577465389951
"sin_dzien_z",0.0450185004785665,0.385099747631643,-0.557458399762453,0.103588469061893,0.043745460466728,-0.164601514110007,-0.149792211993104,-0.185309632184887,0.154054295170254,0.112174668396457,0.0438813331684355,-0.126435514060249,0.0808688138484307,-0.429300370916144,-0.0935968527650706,1,0.444602553951154,0.091431086022162,-0.0488801151578454,-0.00865640050427539
"cos_dzien_z",0.0310647587557622,0.266524102462921,-0.339945257781973,0.0295475624235283,0.0655789609426806,0.0172584402804368,-0.195317728212611,-0.212664133211676,0.174674119989066,0.132879002866594,0.0937342530394666,-0.0752291484365162,0.0292219189678081,-0.0455320587880057,0.180935595627292,0.444602553951154,1,0.0887038512089404,0.266945208708144,0.612456493745375
"sin_godzina_z",-0.112755765689644,0.0503838343042945,-0.0469364172414749,0.0756859439744707,0.0119673550647813,0.0276164085040645,-0.00470760048259602,-0.0418752949223343,0.0193795657210123,0.00171623567061079,0.0454697220522599,0.00213909874232485,0.0370149452578618,-0.0246566928761171,-0.0918276545279416,0.0914310860221619,0.0887038512089404,1,-0.0260968139164667,-0.0104267788914803
"cos_godzina_z",0.0357910283364148,0.0143350064463607,-0.0566667209745908,0.0189946816954972,0.0042817838926085,-0.0234663796231664,-0.0348359096563738,-0.055406692041921,0.0616861320660978,-0.00922609516972994,0.0572646736534088,0.0942326922144684,0.00839778385879196,0.380520921507309,0.761264646489908,-0.0488801151578454,0.266945208708144,-0.0260968139164667,1,0.00581156755025516
"polrocze_cieple_z",-0.001680439011467,-0.00557105016482889,-0.0123671600880019,0.0189019940480793,0.0390626916809292,-0.0343483436606714,-0.0255715385887432,-0.0554889193694485,0.0652313259211257,-0.0270807878785147,0.00793306656053059,-0.0127020637293496,0.0287385545254579,-0.00144396302601546,0.012577465389951,-0.00865640050427539,0.612456493745375,-0.0104267788914803,0.00581156755025516,1
