"target","model","parametr","estimate","std_error","statistic","p_value"
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","(Intercept)",-9.41660927469255,0.0736674896728704,-127.825847147883,0
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","wind_speed_10m_z",8.86088255739945,0.143778427580487,61.6287346197269,0
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","wind_speed_100m_z",1.06452084045659,0.108958667371813,9.76995099273745,1.51525349351067e-22
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","wind_gusts_10m_z",-1.02533785645318,0.0686085930453879,-14.9447439590383,1.68537704890574e-50
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","wind_dir_sin_z",-0.00992059676533475,0.0167934371158079,-0.590742484514761,0.554692977347687
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","wind_dir_cos_z",-0.0675806989159039,0.018156942434296,-3.72203079678509,0.000197626911917288
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","temperature_2m_z",-0.654362515707505,0.503049468850289,-1.30079158457923,0.1933298032768
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","relative_humidity_2m_z",0.3329387198704,0.115200141586512,2.89008950236724,0.00385132157674458
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","dew_point_2m_z",-1.13596803913039,0.370294436703811,-3.06774265701167,0.00215682269548271
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","apparent_temperature_z",1.66384038075386,0.469676649312633,3.54252310219992,0.000396318706949716
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","precipitation_z",0.0552491332810788,0.0137022767193457,4.03211337887189,5.5277505976308e-05
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","cloud_cover_z",0.0977445566161376,0.0185197488482799,5.27785540813186,1.30704531789877e-07
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","pressure_msl_z",-0.0474254131429824,0.0153539729665374,-3.08880400182688,0.00200963971366963
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","shortwave_radiation_z",0.138471176312656,0.0335759005966021,4.12412396546914,3.72148433747617e-05
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","is_day_z",0.0363230691392274,0.0292733010051112,1.24082586835305,0.214670082846381
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","sin_dzien_z",-0.119187361385969,0.024770088436414,-4.8117454926303,1.49617806666732e-06
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","cos_dzien_z",-0.139580281537906,0.0480945518294052,-2.90220568086395,0.00370545165126885
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","sin_godzina_z",0.194269613095822,0.0151267895810103,12.8427523933896,9.44555576505565e-38
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","cos_godzina_z",-0.110525749032289,0.0317445641330494,-3.48172205386244,0.00049820052178383
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","polrocze_cieple_z",0.0337955638303085,0.0343870727353697,0.982798509497646,0.325706615585689
