"target","model","parametr","estimate","std_error","statistic","p_value"
"wind_gusts_10m_next_event","GLM full","(Intercept)",-10.3429764558356,0.0856564546884732,-120.749527790431,0
"wind_gusts_10m_next_event","GLM full","wind_speed_10m_z",3.03143278156428,0.133342682239921,22.7341518157696,2.05913505933058e-114
"wind_gusts_10m_next_event","GLM full","wind_speed_100m_z",1.77194375759923,0.113398493194223,15.6258139564901,4.8567967263416e-55
"wind_gusts_10m_next_event","GLM full","wind_gusts_10m_z",5.71582856494829,0.0830413734442499,68.8310938015208,0
"wind_gusts_10m_next_event","GLM full","wind_dir_sin_z",-0.00946415615651584,0.0173285222361526,-0.546160603168498,0.584955544583912
"wind_gusts_10m_next_event","GLM full","wind_dir_cos_z",-0.0190199937432104,0.0189713971735711,-1.00256157041016,0.316072445490574
"wind_gusts_10m_next_event","GLM full","temperature_2m_z",-0.469870790091735,0.486429997829558,-0.965957675694941,0.334065360087629
"wind_gusts_10m_next_event","GLM full","relative_humidity_2m_z",0.409021048349195,0.110597621535878,3.69828069237914,0.000217064777947868
"wind_gusts_10m_next_event","GLM full","dew_point_2m_z",-1.75562358089307,0.347186180153098,-5.05672080645288,4.26526961273576e-07
"wind_gusts_10m_next_event","GLM full","apparent_temperature_z",2.2105075443296,0.457348388160602,4.83331220039933,1.34279951217295e-06
"wind_gusts_10m_next_event","GLM full","precipitation_z",0.174927471472697,0.0156602549011169,11.170154801262,5.70813134026296e-29
"wind_gusts_10m_next_event","GLM full","cloud_cover_z",0.19600290005758,0.0195459144524532,10.0278193959342,1.15028875739059e-23
"wind_gusts_10m_next_event","GLM full","pressure_msl_z",-0.0583367979872294,0.0163875201420381,-3.55983074202795,0.000371093895624982
"wind_gusts_10m_next_event","GLM full","shortwave_radiation_z",0.531627773521192,0.0339224231309558,15.6718690604404,2.35549432490794e-55
"wind_gusts_10m_next_event","GLM full","is_day_z",0.0246280378923988,0.031821813456059,0.773935713198947,0.438968808881741
"wind_gusts_10m_next_event","GLM full","sin_dzien_z",-0.0888896546399618,0.0250871163099773,-3.54323922852025,0.000395243984980652
"wind_gusts_10m_next_event","GLM full","cos_dzien_z",-0.18357158039585,0.0498003532531644,-3.68615016569557,0.000227672042821843
"wind_gusts_10m_next_event","GLM full","sin_godzina_z",0.391751692746628,0.0164404409239259,23.8285393049593,1.69056886199751e-125
"wind_gusts_10m_next_event","GLM full","cos_godzina_z",-0.217056214935662,0.0344929996710428,-6.29276134304672,3.11867640042938e-10
"wind_gusts_10m_next_event","GLM full","polrocze_cieple_z",-0.0318869802889322,0.0348993205911656,-0.913684843968109,0.360882470090854
