"target","model","typ_modelu","efekty_losowe","liczba_predyktorow_stalych","AIC","BIC","logLik","singular","prog_decyzyjny","AUC_train","Brier_train","LogLoss_train","Accuracy_train","Sensitivity_train","Specificity_train","Precision_train","F1_train","AUC_test","Brier_test","LogLoss_test","Accuracy_test","Sensitivity_test","Specificity_test","Precision_test","F1_test","TP_test","TN_test","FP_test","FN_test"
"wind_speed_10m_next_event","GLMM RSI miesiac","RSI","(1 + wind_speed_10m_z | miesiac)",19,"32118.0669103526","32355.9408660712","-16036.0334551763","nie",0.2,NA,0.02019599304943,0.0698841046343156,0.96147452650317,0.961824671788977,0.961415512310022,0.807743115537039,0.878075722846649,0.990831178831015,0.0129531428004462,0.0464379825824077,0.974104325227399,0.904572564612326,0.977509492746568,0.663265306122449,0.765349032800673,455,10040,231,48
"wind_speed_10m_next_event","GLMM RIFS dzien_roku","RIFS","(1 | dzien_roku)",19,"32142.94232979","32360.131593707","-16050.471164895","nie",0.19,NA,0.0201867970892835,0.0699072709756648,0.960375045266341,0.963337164982758,0.959875803631061,0.801843085909961,0.875202682276637,0.990633552399942,0.0129583081270626,0.0466626630009758,0.973268980879896,0.908548707753479,0.97643851621069,0.65379113018598,0.760399334442596,457,10029,242,46
"wind_speed_10m_next_event","GLMM RIFS sezon","RIFS","(1 | sezon)",19,"32144.2038377065","32361.3931016235","-16051.1019188532","tak",0.2,NA,0.0202264383771672,0.0700312912309969,0.961321820775832,0.961854921652853,0.961231970878093,0.807009974366133,0.87765494969569,0.990632971715032,0.0129468263669796,0.0466627366797129,0.974197141266011,0.902584493041749,0.977704215753091,0.664714494875549,0.765598650927487,454,10042,229,49
"wind_speed_10m_next_event","GLM full","GLM","brak",19,"32142.2038377064","32349.0507557227","-16051.1019188532","nie dotyczy",0.2,NA,0.0202264383638977,0.0700312912309967,0.961321820775832,0.961854921652853,0.961231970878093,0.807009974366133,0.87765494969569,0.990632971715032,0.0129468263704853,0.0466627368007639,0.974197141266011,0.902584493041749,0.977704215753091,0.664714494875549,0.765598650927487,454,10042,229,49
"wind_speed_10m_next_event","GLMM RIFS miesiac plus dzien_roku","RIFS","(1 | miesiac) + (1 | dzien_roku)",19,"32142.976538985","32370.5081488028","-16049.4882694925","nie",0.19,NA,0.0201846559621431,0.0699009238663184,0.960348867141654,0.963246415391131,0.959860508511734,0.801767549602175,0.875120235248853,0.9906254228112,0.0129774107503623,0.0467002882011677,0.973733061072953,0.910536779324056,0.976827962223737,0.658045977011494,0.763969974979149,458,10033,238,45
"wind_speed_10m_next_event","GLMM FIRS miesiac","FIRS","(0 + wind_speed_10m_z | miesiac)",19,"32142.3628658623","32359.5521297794","-16050.1814329312","nie",0.16,NA,0.0202151013221086,0.0699952395667866,0.956631573436184,0.968328392522234,0.95466016794041,0.78258849990221,0.865606662880939,0.990621358016829,0.0129616990047367,0.0466753629216999,0.97159829218489,0.918489065606362,0.974199201635673,0.635488308115543,0.751219512195122,462,10006,265,41
"wind_speed_10m_next_event","GLMM RSI-i miesiac","RSI-i","(1 + wind_speed_10m_z || miesiac)",19,"32143.7579261022","32371.2895359201","-16049.8789630511","nie",0.19,NA,0.0202148962945656,0.0699954458666082,0.960305236933844,0.963276665255006,0.959804426407533,0.801550543697141,0.875003434726458,0.990619809523736,0.012970545784371,0.0467032023634403,0.973640245034342,0.912524850894632,0.976633239217214,0.656652360515021,0.763727121464226,459,10031,240,44
"wind_speed_10m_next_event","GLMM RIFS miesiac","RIFS","(1 | miesiac)",19,"32141.7597106256","32358.9489745427","-16049.8798553128","nie",0.19,NA,0.0202149678258526,0.0699957397323617,0.960305236933844,0.963276665255006,0.959804426407533,0.801550543697141,0.875003434726458,0.990619228838826,0.0129706620243704,0.0467039312745811,0.973640245034342,0.912524850894632,0.976633239217214,0.656652360515021,0.763727121464226,459,10031,240,44
"wind_speed_10m_next_event","GLMM RI dzien_roku bez predyktorow","RI","(1 | dzien_roku)",0,"175905.132622028","175925.81731383","-87950.566311014","nie",0.14,NA,0.115695295099188,0.379868592562854,0.594217252256772,0.727478976344606,0.571757052324603,0.222583182933037,0.340871561908677,0.612871306868167,0.0617779768970303,0.253398909396667,0.475960645999629,0.68389662027833,0.465777431603544,0.0589950265820614,0.108620145247869,344,4784,5487,159
"wind_speed_10m_next_event","GLMM RI miesiac bez predyktorow","RI","(1 | miesiac)",0,"179394.555251794","179415.239943595","-89695.2776258968","nie",0.11,NA,0.118240443722241,0.391141232636916,0.564461450529889,0.729626716679775,0.536624163229513,0.209726364482162,0.325802856853409,0.603846398776071,0.0601810133695103,0.251709036245976,0.426118433265268,0.697813121272366,0.412812773829228,0.0549984330930743,0.101960784313725,351,4240,6031,152
