"poziom","wind_gusts_10m_z","target","model","grupa"
"1",0.183760716878612,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"2",0.159944942829024,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"3",0.0731582636532299,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"4",0.0510299484196498,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"5",-0.144082969447064,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"6",-0.244164446121715,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"7",-0.200346456275571,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"8",-0.208599562612761,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"9",-0.0167065720694155,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"10",0.140372804384159,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"11",0.110103002497139,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
"12",0.0955303279350343,"wind_gusts_10m_next","LMM FIRS miesiac","miesiac_f"
