"poziom","wind_speed_10m_z","target","model","grupa"
"1",0.114181578185059,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"2",0.0874437137495519,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"3",0.0467559936931099,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"4",-0.0115523675076712,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"5",-0.135933028350812,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"6",-0.124026720754298,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"7",-0.148840055009388,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"8",-0.0975224611152587,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"9",0.00914953817347632,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"10",0.081250908158991,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"11",0.084026868000922,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
"12",0.0950660329171546,"wind_speed_10m_next","LMM FIRS miesiac","miesiac_f"
