"poziom","X.Intercept.","target","model","grupa"
"1",-0.0982679170483806,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"2",0.136864179032973,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"3",0.0733194073387221,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"4",0.0642812581070806,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"5",-0.0274295233782556,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"6",-0.0125340919836341,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"7",-0.0954231561400506,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"8",-0.0550755043548945,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"9",0.0296540873148446,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"10",0.0455371285850954,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"11",0.0960978992343936,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"12",-0.0336679169503278,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"13",-0.157523835658275,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"14",0.171159584526606,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"15",0.0925890378538055,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"16",-0.0504651440327563,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"17",-0.0224559813271258,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"18",0.0130879773700816,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"19",0.0176205900453305,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"20",0.00653128498271036,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"21",-0.00799578430912102,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"22",-0.114997319388187,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"23",-0.0472753253394218,"wind_gusts_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
