"poziom","X.Intercept.","target","model","grupa"
"1",-0.015055556574983,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"2",0.0722105632866741,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"3",0.0139443258496417,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"4",0.0223040056477745,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"5",-0.0416253673223181,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"6",-0.00127307496606829,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"7",-0.0364850681515273,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"8",-0.0221825294192328,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"9",-0.000731134880531383,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"10",0.0202405053909328,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"11",0.0404915746868557,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"12",0.0114543910498133,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"13",-0.0499718440857481,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"14",0.0469819844182602,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"15",0.00412897413823978,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"16",-0.01546871991895,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"17",-0.0157003988548905,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"18",0.0118128268938987,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"19",0.00779750033404973,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"20",-0.00181311263602233,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"21",0.00497724130766095,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"22",-0.0397702207449394,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"23",-0.0512349841031273,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"24",0.0195134711842464,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"25",-0.0517924070259338,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"26",0.0343254618074124,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"27",0.0253786945413433,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"28",0.0169162935128626,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"29",0.0265388474444156,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"30",-0.0183471833607318,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"31",0.0540906018556726,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"32",-0.0319556510922605,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"33",0.0258541508074063,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"34",-0.0417998619569113,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"35",0.0418235055312461,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"36",-0.0230594538940601,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"37",-0.0383283586899918,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"38",-0.0353018399697028,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"39",-0.00668507802567295,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"40",-0.0366928123781761,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"41",-0.0262783987810733,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
"42",0.0395854491014426,"wind_speed_10m_next","LMM RIFS dzien_roku","dzien_roku_f"
