"poziom","X.Intercept.","target","model","grupa"
"1",0.0203329418137735,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"2",-0.0502543260134204,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"3",-0.0223849778757537,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"4",0.0433490505683565,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"5",0.0198052451950812,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"6",0.0149852601963484,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"7",-0.0208318718499485,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"8",-0.0411744047107042,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"9",-0.0161332791939101,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"10",0.0657655379970831,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"11",-0.0149620142185088,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
"12",0.00150283831158805,"wind_gusts_10m_next","LMM RIFS miesiac","miesiac_f"
