"poziom","X.Intercept.","target","model","grupa"
"1",0.00291332172216116,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"2",-0.0134127355121166,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"3",0.00432885503823931,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"4",0.0087304644073699,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"5",0.00306236393406669,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"6",0.0175799835749316,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"7",-0.0221645800592499,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"8",-0.0224608529270392,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"9",0.0152526210615808,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"10",0.034435061273963,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"11",-0.0205734524709236,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
"12",-0.00769105016272304,"wind_speed_10m_next","LMM RIFS miesiac","miesiac_f"
