"poziom","X.Intercept.","target","model","grupa"
"1",-0.102432934360192,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"2",0.122993392766569,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"3",0.0619341828972371,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"4",0.0532092578420697,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"5",-0.0350233332309877,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"6",-0.0205464650442117,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"7",-0.100281570984397,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"8",-0.0612190372015904,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"9",0.0204236672576768,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"10",0.0354721320088685,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"11",0.0838522959105316,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"12",-0.0403891439650634,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"13",-0.159611842234653,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"14",0.155754483606128,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"15",0.0804440804521801,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"16",-0.0569250588443853,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"17",-0.0299918168516826,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"18",0.00409508368921686,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"19",0.00843833705901986,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"20",-0.00235205216367678,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"21",-0.0162166120792145,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"22",-0.119125797749237,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"23",-0.0543136026996158,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"24",0.0229077776945468,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"25",-0.0745970316926301,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"26",0.127309457780375,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"27",0.0675269462880854,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"28",0.03477136162163,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"29",0.0726299332250336,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"30",-0.0641170771131039,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
