"poziom","X.Intercept.","target","model","grupa"
"1",-0.0150920673013917,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"2",0.0637911125231951,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"3",0.0110298180774975,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"4",0.0185327630009126,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"5",-0.0393630544934476,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"6",-0.00275725583877754,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"7",-0.0347375953368363,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"8",-0.0216956771087871,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"9",-0.00213678916626302,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"10",0.0168306596292793,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"11",0.0351145371796309,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"12",0.00892915997091451,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"13",-0.0467950772483946,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"14",0.0409375057175209,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"15",0.00221919736378768,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"16",-0.0155405638364527,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"17",-0.0157778488406499,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"18",0.00911792526132793,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"19",0.00543641778479939,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"20",-0.00333437192891381,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"21",0.0028771470828146,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"22",-0.0376641489939431,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"23",-0.0481150060861255,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"24",0.0159082375211887,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"25",-0.048637222004123,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"26",0.029256899778775,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"27",0.0212216929073732,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"28",0.0136891929316524,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"29",0.0223898486935304,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"30",-0.0181686233439545,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"31",0.04738678805378,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"32",-0.0267976162557019,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"33",0.0255616783153017,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"34",-0.0355591676670943,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"35",0.0401249750118054,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"36",-0.0186389768877819,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"37",-0.0325119506796479,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"38",-0.0296950301960525,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"39",-0.00381223301090734,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"40",-0.0309677369225543,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"41",-0.0214128937917642,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"42",0.0381611611335783,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"43",-0.0462357257072753,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"44",-0.0332795724249765,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"45",-0.0134299526727528,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"46",0.043500623045636,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"47",0.0234715150660383,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"48",0.0261139778646059,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"49",-0.000831461456170327,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"50",-0.0335215006524103,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"51",0.0140511747594844,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"52",0.0213547968384789,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"53",0.0320505223496135,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"54",0.00387485450250445,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"55",0.0415213748841991,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"56",-0.0130886050912345,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"57",-0.0186189669535317,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"58",-0.0119101022812784,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"59",-0.0248314198751194,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"60",-0.00172325639835733,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"61",0.00829762925000644,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
"62",-0.037232232049889,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dzien_roku_f"
