"poziom","X.Intercept.","target","model","grupa"
"1",0.014288353648698,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"2",-0.0349835554111436,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"3",-0.0183202860962519,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"4",0.0284062362047064,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"5",0.0141142623429525,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"6",0.0132154292846099,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"7",-0.0131801964436604,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"8",-0.0310041036644735,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"9",-0.0115516274390304,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"10",0.0491141382140545,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"11",-0.0117974688545865,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"12",0.00169881863576431,"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
