"poziom","X.Intercept.","target","model","grupa"
"1",0.00271226650242566,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"2",-0.010747249350208,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"3",0.0029644101843426,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"4",0.00722125739748685,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"5",0.00272573377782868,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"6",0.0149428026928381,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"7",-0.0190978104757063,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"8",-0.0196121240649897,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"9",0.0138201407095177,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"10",0.0288246618995985,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"11",-0.0175967162623304,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
"12",-0.00615737302612016,"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","miesiac_f"
