"poziom","X.Intercept.","target","model","grupa"
"1",6.41233322657499,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"2",8.60766384837203,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"3",9.45510549878525,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"4",8.75272850774361,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"5",7.41351294706647,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"6",3.05355767553194,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"7",1.68055132204343,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"8",1.41116797842179,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"9",4.14193553701422,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"10",4.83173920980046,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"11",9.64889176639647,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"12",9.14030104296597,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"13",5.60436961659409,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"14",6.61699323558751,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"15",4.37108426221857,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"16",3.43814404766874,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"17",3.39476609968756,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"18",3.93133245623632,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"19",6.82005232541202,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"20",6.6224940623243,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"21",8.15188106161419,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"22",1.51458352107227,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"23",-1.63236087177343,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"24",-0.0517376005928108,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"25",0.834524169933962,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"26",1.88109574821689,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"27",5.48350859486414,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"28",6.38878750925222,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"29",7.98276993107914,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"30",7.69829860555097,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"31",8.80050711711406,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"32",6.15555245561471,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"33",6.06250990052477,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"34",4.88423281351668,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"35",6.50100437468154,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"36",6.330635912321,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"37",2.90047752577267,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"38",1.40252382212112,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"39",4.15246569105304,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"40",1.66687783844074,"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
