"poziom","X.Intercept.","target","model","grupa"
"1",4.65451394116108,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"2",5.87668560636627,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"3",6.05921470712355,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"4",5.75036788957917,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"5",4.68977276000581,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"6",2.37263214269301,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"7",1.51335587424901,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"8",1.44577589576791,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"9",2.97895718327096,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"10",3.4687541301128,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"11",6.41400959414926,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"12",6.10911020525448,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"13",3.85607582921113,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"14",4.45103227527821,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"15",2.86795548964432,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"16",2.5898986155668,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"17",2.54726638615114,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"18",3.06548481927011,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"19",4.6103504955759,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"20",4.45197965815414,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"21",5.45825816950908,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"22",1.41419646657117,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"23",-0.621255642306459,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"24",0.578131078586766,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"25",0.751975836314944,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"26",1.51667171431466,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"27",3.69312597455584,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"28",4.27829279757192,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"29",5.14199018610348,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"30",5.0224620465937,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"31",5.70741986587158,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"32",4.11107971997504,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"33",4.23297631667457,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"34",3.42943774076281,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"35",4.26250308297352,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"36",4.17218591547077,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"37",2.32431561602197,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"38",1.43851262705268,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"39",3.01874726405889,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"40",1.30761589303208,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"41",0.519709134572734,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"42",2.54584531183731,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"43",1.21224601685786,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"44",-0.359146379973264,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"45",-1.30668715302226,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"46",1.11703403782958,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"47",1.80088657708559,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"48",5.11641084845411,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"49",3.16496002123988,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"50",1.57130412682508,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"51",0.811029368912916,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"52",4.28397709482732,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"53",3.80396977103651,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"54",4.4210318175413,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"55",3.81391729123346,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"56",3.12059092321846,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"57",2.48568649921746,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"58",0.197125265327785,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"59",1.04803298503465,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"60",0.236599551823725,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"61",1.98278408925895,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"62",1.76757027928298,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"63",1.33319523068145,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"64",0.0733339028764375,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"65",0.104913332073213,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"66",2.17368173875339,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"67",0.505182597142247,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"68",-0.724204581487904,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"69",0.717396361344495,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"70",2.97643082893522,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"71",1.37140634000952,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"72",-0.443305558782664,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"73",0.965452777685111,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"74",1.47735532496469,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
"75",2.12678628639622,"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dzien_roku_f"
