"poziom","X.Intercept.","target","model","grupa"
"1",5.3383071367733,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"2",3.31749937605266,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"3",0.689417380134434,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"4",-2.21058169979044,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"5",-3.52891385373407,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"6",-3.01378720732182,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"7",-3.3026130320141,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"8",-3.72156315090261,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"9",-1.71243782136714,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"10",1.89469863985459,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"11",1.81107692011826,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"12",4.43889744556535,"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
