"poziom","X.Intercept.","target","model","grupa"
"1",3.6875797088916,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"2",2.4349424071063,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"3",0.591518835926629,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"4",-1.54585961718551,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"5",-2.64074830570729,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"6",-2.43638533749378,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"7",-2.61057349329541,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"8",-2.59413516884846,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"9",-0.942118794720845,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"10",1.36879253169715,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"11",1.52271998325005,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
"12",3.1642672107521,"wind_speed_10m_next","LMM RI miesiac bez predyktorow","miesiac_f"
