"poziom","X.Intercept.","wind_gusts_10m_z","target","model","grupa"
"1",-0.000154466412535691,0.182960031024487,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"2",-0.0504324970172355,0.168239048317582,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"3",-0.00308218087692364,0.0726957037821104,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"4",0.0696456603682045,0.0596358508153188,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"5",0.00360213315784534,-0.145923602409115,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"6",-0.00489073601109115,-0.244300179554603,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"7",-0.0218109585502117,-0.198123975265751,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"8",-0.0529776490231165,-0.218596826220082,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"9",0.00643155004562248,-0.0150703842740205,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"10",0.066244248485239,0.132379372381441,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"11",-0.0135735871569363,0.111129709842797,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
"12",0.000998482727739152,0.0949752515349454,"wind_gusts_10m_next","LMM RSI-i miesiac","miesiac_f"
