"poziom","X.Intercept.","wind_speed_10m_z","target","model","grupa"
"1",-0.0101254562450706,0.116425407899469,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"2",-0.00998377647572372,0.0896012521107139,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"3",0.0230517060548761,0.0454833404209672,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"4",0.0252918070109118,-0.00725396155528249,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"5",-0.0179362955201551,-0.144527746224757,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"6",0.0141503909619492,-0.119162950012237,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"7",-0.0350436632199644,-0.158389818451182,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"8",-0.0232530529221239,-0.102404705639872,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"9",0.0367908137198497,0.0148080314931438,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"10",0.0417299603349485,0.0764664793950959,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"11",-0.0246999816345931,0.0885732360002168,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
"12",-0.0199724522043722,0.100381434583581,"wind_speed_10m_next","LMM RSI-i miesiac","miesiac_f"
