"poziom","X.Intercept.","wind_gusts_10m_z","target","model","grupa"
"1",0,0.183760706887255,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"2",0,0.159944932543309,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"3",0,0.0731582575659245,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"4",0,0.0510299439688781,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"5",0,-0.144082960213883,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"6",0,-0.244164430138955,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"7",0,-0.200346440724268,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"8",0,-0.208599547923427,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"9",0,-0.0167065719981549,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"10",0,0.140372795087683,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"11",0,0.110102994204933,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
"12",0,0.0955303209257401,"wind_gusts_10m_next","LMM RSI miesiac","miesiac_f"
