"poziom","X.Intercept.","wind_speed_10m_z","target","model","grupa"
"1",0,0.11418159359844,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"2",0,0.0874437285429821,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"3",0,0.0467560034913782,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"4",0,-0.0115523670841319,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"5",0,-0.135933050477722,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"6",0,-0.124026740319801,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"7",0,-0.14884008277249,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"8",0,-0.0975224778073354,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"9",0,0.00914954154555607,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"10",0,0.0812509220213569,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"11",0,0.0840268824722442,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
"12",0,0.0950660469027171,"wind_speed_10m_next","LMM RSI miesiac","miesiac_f"
