"target","model","parametr","estimate"
"wind_gusts_10m_next","LMM FIRS miesiac","(Intercept)",31.9828297951262
"wind_gusts_10m_next","LMM FIRS miesiac","wind_speed_10m_z",4.99805535830554
"wind_gusts_10m_next","LMM FIRS miesiac","wind_speed_100m_z",1.18932921955614
"wind_gusts_10m_next","LMM FIRS miesiac","wind_gusts_10m_z",7.99114233668718
"wind_gusts_10m_next","LMM FIRS miesiac","wind_dir_sin_z",-0.01090350215835
"wind_gusts_10m_next","LMM FIRS miesiac","wind_dir_cos_z",-0.072620491446339
"wind_gusts_10m_next","LMM FIRS miesiac","temperature_2m_z",0.615253976138688
"wind_gusts_10m_next","LMM FIRS miesiac","relative_humidity_2m_z",0.542159763486445
"wind_gusts_10m_next","LMM FIRS miesiac","dew_point_2m_z",-1.85779771589804
"wind_gusts_10m_next","LMM FIRS miesiac","apparent_temperature_z",1.17614633920005
"wind_gusts_10m_next","LMM FIRS miesiac","precipitation_z",0.216180691250045
"wind_gusts_10m_next","LMM FIRS miesiac","cloud_cover_z",0.248115599017045
"wind_gusts_10m_next","LMM FIRS miesiac","pressure_msl_z",-0.0892866926992979
"wind_gusts_10m_next","LMM FIRS miesiac","shortwave_radiation_z",0.940556148062277
"wind_gusts_10m_next","LMM FIRS miesiac","is_day_z",-0.0804513022498032
"wind_gusts_10m_next","LMM FIRS miesiac","sin_dzien_z",-0.100950439868608
"wind_gusts_10m_next","LMM FIRS miesiac","cos_dzien_z",-0.104894312582718
"wind_gusts_10m_next","LMM FIRS miesiac","sin_godzina_z",0.543932792399734
"wind_gusts_10m_next","LMM FIRS miesiac","cos_godzina_z",-0.304159807577499
"wind_gusts_10m_next","LMM FIRS miesiac","polrocze_cieple_z",-0.0319193748363722
