"target","model","parametr","estimate"
"wind_speed_10m_next","LMM RIFS miesiac","(Intercept)",18.4810401901652
"wind_speed_10m_next","LMM RIFS miesiac","wind_speed_10m_z",8.84496496729444
"wind_speed_10m_next","LMM RIFS miesiac","wind_speed_100m_z",0.760970248830082
"wind_speed_10m_next","LMM RIFS miesiac","wind_gusts_10m_z",-0.930151274662429
"wind_speed_10m_next","LMM RIFS miesiac","wind_dir_sin_z",0.0542318184872454
"wind_speed_10m_next","LMM RIFS miesiac","wind_dir_cos_z",-0.0628195287753792
"wind_speed_10m_next","LMM RIFS miesiac","temperature_2m_z",-0.796780835415664
"wind_speed_10m_next","LMM RIFS miesiac","relative_humidity_2m_z",0.185630188346924
"wind_speed_10m_next","LMM RIFS miesiac","dew_point_2m_z",-0.564553062478872
"wind_speed_10m_next","LMM RIFS miesiac","apparent_temperature_z",1.33253804492769
"wind_speed_10m_next","LMM RIFS miesiac","precipitation_z",0.0640689841102715
"wind_speed_10m_next","LMM RIFS miesiac","cloud_cover_z",0.0744478277419904
"wind_speed_10m_next","LMM RIFS miesiac","pressure_msl_z",-0.0473115654626808
"wind_speed_10m_next","LMM RIFS miesiac","shortwave_radiation_z",0.206690726342458
"wind_speed_10m_next","LMM RIFS miesiac","is_day_z",-0.0805111193407172
"wind_speed_10m_next","LMM RIFS miesiac","sin_dzien_z",-0.0451183428754578
"wind_speed_10m_next","LMM RIFS miesiac","cos_dzien_z",-0.050803566565635
"wind_speed_10m_next","LMM RIFS miesiac","sin_godzina_z",0.178120777618674
"wind_speed_10m_next","LMM RIFS miesiac","cos_godzina_z",-0.153246106841063
"wind_speed_10m_next","LMM RIFS miesiac","polrocze_cieple_z",-0.00673039679045974
