"target","model","parametr","estimate"
"wind_gusts_10m_next","LMM RSI-i miesiac","(Intercept)",31.9825189195483
"wind_gusts_10m_next","LMM RSI-i miesiac","wind_speed_10m_z",5.05646124430951
"wind_gusts_10m_next","LMM RSI-i miesiac","wind_speed_100m_z",1.17418237334863
"wind_gusts_10m_next","LMM RSI-i miesiac","wind_gusts_10m_z",7.99028078606929
"wind_gusts_10m_next","LMM RSI-i miesiac","wind_dir_sin_z",-0.0146018409932935
"wind_gusts_10m_next","LMM RSI-i miesiac","wind_dir_cos_z",-0.0733423863930877
"wind_gusts_10m_next","LMM RSI-i miesiac","temperature_2m_z",0.425787882655613
"wind_gusts_10m_next","LMM RSI-i miesiac","relative_humidity_2m_z",0.557262941424917
"wind_gusts_10m_next","LMM RSI-i miesiac","dew_point_2m_z",-1.95188233348725
"wind_gusts_10m_next","LMM RSI-i miesiac","apparent_temperature_z",1.4821114600202
"wind_gusts_10m_next","LMM RSI-i miesiac","precipitation_z",0.215790561631203
"wind_gusts_10m_next","LMM RSI-i miesiac","cloud_cover_z",0.248605592077549
"wind_gusts_10m_next","LMM RSI-i miesiac","pressure_msl_z",-0.0900757782815726
"wind_gusts_10m_next","LMM RSI-i miesiac","shortwave_radiation_z",0.93195764086859
"wind_gusts_10m_next","LMM RSI-i miesiac","is_day_z",-0.0798164653579743
"wind_gusts_10m_next","LMM RSI-i miesiac","sin_dzien_z",-0.0967420535776905
"wind_gusts_10m_next","LMM RSI-i miesiac","cos_dzien_z",-0.104149784937278
"wind_gusts_10m_next","LMM RSI-i miesiac","sin_godzina_z",0.543889299069023
"wind_gusts_10m_next","LMM RSI-i miesiac","cos_godzina_z",-0.304809552486385
"wind_gusts_10m_next","LMM RSI-i miesiac","polrocze_cieple_z",-0.0374822929107465
