"target","model","parametr","estimate"
"wind_speed_10m_next","LMM RSI-i miesiac","(Intercept)",18.4563057639618
"wind_speed_10m_next","LMM RSI-i miesiac","wind_speed_10m_z",8.80389645308373
"wind_speed_10m_next","LMM RSI-i miesiac","wind_speed_100m_z",0.804870392666382
"wind_speed_10m_next","LMM RSI-i miesiac","wind_gusts_10m_z",-0.985785005196664
"wind_speed_10m_next","LMM RSI-i miesiac","wind_dir_sin_z",0.0470014057508498
"wind_speed_10m_next","LMM RSI-i miesiac","wind_dir_cos_z",-0.0651832864814326
"wind_speed_10m_next","LMM RSI-i miesiac","temperature_2m_z",-0.490089964033661
"wind_speed_10m_next","LMM RSI-i miesiac","relative_humidity_2m_z",0.232303475840203
"wind_speed_10m_next","LMM RSI-i miesiac","dew_point_2m_z",-0.695358752360177
"wind_speed_10m_next","LMM RSI-i miesiac","apparent_temperature_z",1.10860583982851
"wind_speed_10m_next","LMM RSI-i miesiac","precipitation_z",0.0665481468814277
"wind_speed_10m_next","LMM RSI-i miesiac","cloud_cover_z",0.0829471678873705
"wind_speed_10m_next","LMM RSI-i miesiac","pressure_msl_z",-0.0421879419246942
"wind_speed_10m_next","LMM RSI-i miesiac","shortwave_radiation_z",0.234654371858082
"wind_speed_10m_next","LMM RSI-i miesiac","is_day_z",-0.0788932827891765
"wind_speed_10m_next","LMM RSI-i miesiac","sin_dzien_z",-0.0671305975423023
"wind_speed_10m_next","LMM RSI-i miesiac","cos_dzien_z",-0.0777278135313887
"wind_speed_10m_next","LMM RSI-i miesiac","sin_godzina_z",0.173105240277324
"wind_speed_10m_next","LMM RSI-i miesiac","cos_godzina_z",-0.155643849161228
"wind_speed_10m_next","LMM RSI-i miesiac","polrocze_cieple_z",-0.00902379276081926
