"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,0.0183415744447524,-0.0137949788643191,0.00939543188842984,0.0182952624264205,0.00655623945968956,-0.0293368327969701,-0.0179927449628262,0.0167253442249971,0.023994680316459,-0.00990952049806282,-0.0218766361540884,-0.0136232514020161,-0.0390020414292353,2.6517003692644e-05,0.0360812689354646,0.0266693968415016,0.0139528885030236,0.00206105992791283,0.00910465740859979
"wind_speed_10m_z",0.0183415744447524,1,-0.685612503074828,-0.213591860720467,-0.17893175642724,-0.146011122961117,-0.246825968951951,-0.00059967647651206,-0.0814709980028147,0.431368070499637,0.0446497077187162,-0.125239066269689,-0.045074102924897,-0.28791274794772,-0.0239443077213147,0.314220633254605,0.193790114695742,-0.0177294028732247,0.034111512652378,0.0224951784107798
"wind_speed_100m_z",-0.0137949788643191,-0.685612503074828,1,-0.0551767352134989,0.0992244994865625,0.264025362985829,-0.00415050768053235,0.0738537313837331,-0.0708103123996367,0.0382321617290615,0.00432717140003801,0.227382832806264,0.0156199319533185,0.411854287236442,0.119252359290173,-0.392628144878095,-0.211897882413151,-0.0655931826948802,-0.0700073447437332,-0.01588245462565
"wind_gusts_10m_z",0.00939543188842984,-0.213591860720467,-0.0551767352134989,1,0.0528112993267544,-0.0546022768041309,-0.00945015411554311,0.00635087019204484,0.00591127149152572,0.00571790089755072,-0.0796656815573954,-0.0511115590590044,0.051523140331374,-0.113522755704903,-0.0327708279859428,0.0135857513663463,-0.0152734292325765,0.0439335837684771,0.00579443052956474,0.00726722093622248
"wind_dir_sin_z",0.0182952624264205,-0.17893175642724,0.0992244994865625,0.0528112993267544,1,0.09268601253084,0.135391343649038,0.0624707928130952,-0.0173180505413133,-0.151961528498754,-0.059140216114733,-0.0296482805585905,-0.0904383754783096,0.00629275255440491,-0.00372383412140514,-0.0473312283201829,-0.031224597478183,0.0561573098889154,-0.00657913987280192,-0.0304918673819287
"wind_dir_cos_z",0.00655623945968956,-0.146011122961117,0.264025362985829,-0.0546022768041309,0.09268601253084,1,0.0574160224527624,0.0605699922954202,-0.0711422552036245,0.00526693541808987,-0.0287319697892363,0.069589189435891,-0.147773994070963,0.0282462707601586,0.0166200192272508,-0.0965902496750779,0.0452484981140305,0.0989954150532194,-0.0222438152822572,-0.0309898892904294
"temperature_2m_z",-0.0293368327969701,-0.246825968951951,-0.00415050768053235,-0.00945015411554311,0.135391343649038,0.0574160224527624,1,0.740901758203508,-0.640045784262587,-0.5865163219228,0.0101671464617974,-0.0507824763423073,0.0378598075603914,0.054515424067194,-0.0181450248179387,-0.135331803546032,-0.142786132358941,-0.0227082232420194,-0.0290204540236459,-0.0430077693507927
"relative_humidity_2m_z",-0.0179927449628262,-0.00059967647651206,0.0738537313837331,0.00635087019204484,0.0624707928130952,0.0605699922954202,0.740901758203508,1,-0.974210108081504,0.0847546629429751,-0.0673461708520546,-0.0774547130289349,0.0397527121349386,-0.0402772154983909,0.0363274914538386,-0.194657796245234,-0.190016448733586,-0.0923784037562553,-0.0620356705808948,-0.0237010248514316
"dew_point_2m_z",0.0167253442249971,-0.0814709980028147,-0.0708103123996367,0.00591127149152572,-0.0173180505413133,-0.0711422552036245,-0.640045784262587,-0.974210108081504,1,-0.241183277023989,0.0505721115131626,0.0531878870944525,-0.010857830682473,0.113107083375679,-0.0428060086550023,0.170567354534196,0.166368476868667,0.0647559575589865,0.0689362104015945,0.0200032221692372
"apparent_temperature_z",0.023994680316459,0.431368070499637,0.0382321617290615,0.00571790089755072,-0.151961528498754,0.00526693541808987,-0.5865163219228,0.0847546629429751,-0.241183277023989,1,-0.0652585994171423,-0.00303499241463452,-0.025308467397362,-0.227063792213275,0.0615603180398467,0.0718338615890571,0.0711352173945906,-0.0186634112799634,-0.0331620096038128,0.0334345553813988
