"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,0.0134573977609878,-0.0211326199716734,0.0373911350477661,0.0189883031858249,0.00616971034336762,-0.0329151519096584,-0.0158625439843425,0.0134696547929991,0.0327506000150641,-0.00807532514077037,-0.0221947364786809,-0.0141050414810757,-0.0377659990894288,-0.0028733329539068,0.0437775932211991,0.0325897861619532,0.014166407653426,0.00380942163098061,0.00793867453649013
"wind_speed_10m_z",0.0134573977609878,1,-0.491496439731597,-0.32046955135897,-0.129908343291534,-0.105493281735995,-0.175628020113629,0.00191688548180146,-0.0610555738045351,0.30813401272225,0.0335212808874835,-0.0887513179813909,-0.0314111173910058,-0.204905504593076,-0.0179934508867401,0.223647368275532,0.139036145619659,-0.0135969022083053,0.0244246952201821,0.0160952393528538
"wind_speed_100m_z",-0.0211326199716734,-0.491496439731597,1,-0.121324392338489,0.0983953253185744,0.263842181019421,-0.00316555916959388,0.0738992711231125,-0.0707037240103672,0.0362570721940145,0.00376181216761561,0.227991729123866,0.0159381981999596,0.412298072928009,0.120232603469832,-0.393946370446904,-0.213990390223626,-0.0657832638619736,-0.0709134302588892,-0.0167323481690215
"wind_gusts_10m_z",0.0373911350477661,-0.32046955135897,-0.121324392338489,1,0.113970381708333,-0.114111261035733,-0.0275502109999167,0.0124063670630445,0.0121628066703005,0.0229565989226557,-0.168449901542199,-0.110411100874551,0.106256448761141,-0.245718690386439,-0.0701981552383562,0.0361400201195173,-0.028457117597383,0.0946035655019399,0.0133041873838616,0.0130672340152164
"wind_dir_sin_z",0.0189883031858249,-0.129908343291534,0.0983953253185743,0.113970381708333,1,0.0920728556967032,0.137713931719836,0.0642072803497451,-0.0189327965802469,-0.152290887805609,-0.057931879911366,-0.0277808199604928,-0.0893812203704787,0.0108394403751998,-0.00456091831576793,-0.0485088983196649,-0.0324010750151772,0.0551130659802828,-0.00605211216852997,-0.0317843620023816
"wind_dir_cos_z",0.00616971034336762,-0.105493281735995,0.263842181019421,-0.114111261035733,0.0920728556967032,1,0.0586605427988272,0.0620281374904607,-0.0726272192589963,0.00512874903314566,-0.0280841268022524,0.070503433775549,-0.147408350935662,0.029751383798947,0.0163418078529832,-0.0971257702478808,0.0445763590548765,0.0985828326390552,-0.0223885595395797,-0.031431627878046
"temperature_2m_z",-0.0329151519096584,-0.175628020113629,-0.00316555916959388,-0.0275502109999167,0.137713931719836,0.0586605427988272,1,0.737389984247449,-0.635081088993049,-0.587769927857948,0.00703823789747983,-0.0526890358373719,0.0366533844705579,0.052075501752711,-0.0166188816689647,-0.133586783380479,-0.140967383097792,-0.0213714773422614,-0.0284440087942054,-0.0401307988778564
"relative_humidity_2m_z",-0.0158625439843425,0.00191688548180146,0.0738992711231125,0.0124063670630445,0.0642072803497451,0.0620281374904607,0.737389984247449,1,-0.973980248444384,0.0884414758547376,-0.0701421003412514,-0.0797158011424016,0.0380394883462614,-0.0465869468097066,0.0374728555975288,-0.191751461253394,-0.187839415121953,-0.0906964536958648,-0.0620058901940288,-0.0233500212099879
"dew_point_2m_z",0.0134696547929991,-0.0610555738045351,-0.0707037240103672,0.0121628066703005,-0.0189327965802469,-0.0726272192589963,-0.635081088993049,-0.973980248444384,1,-0.245929968328522,0.0531467782251454,0.0555043349322395,-0.00888468682792869,0.120848727139765,-0.0438708841066027,0.167398676465267,0.1641645634943,0.0627722026875782,0.069057207828527,0.0202727815271872
"apparent_temperature_z",0.0327506000150641,0.30813401272225,0.0362570721940145,0.0229565989226557,-0.152290887805609,0.00512874903314566,-0.587769927857948,0.0884414758547376,-0.245929968328522,1,-0.0632704761041959,-0.00289751142361049,-0.0255892200178433,-0.230370392263707,0.0600855833610922,0.0725954534109801,0.070855322176364,-0.0181809645879144,-0.0337315541576531,0.0292045019847141
"precipitation_z",-0.00807532514077037,0.0335212808874835,0.00376181216761561,-0.168449901542199,-0.057931879911366,-0.0280841268022524,0.00703823789747983,-0.0701421003412514,0.0531467782251454,-0.0632704761041959,1,-0.0944025418555657,0.110477117540512,0.0925126613283278,0.016903453874206,0.0278780856186103,0.0694089415152335,0.0299184485616713,0.0643674278087535,-0.00137196358518783
"cloud_cover_z",-0.0221947364786809,-0.0887513179813909,0.227991729123866,-0.110411100874551,-0.0277808199604928,0.070503433775549,-0.0526890358373719,-0.0797158011424016,0.0555043349322396,-0.00289751142361049,-0.0944025418555657,1,0.13752978134505,0.218464681695066,0.0537533509767927,-0.0768932178275077,-0.0741058956122286,-0.0127898145369558,0.102723033224526,0.0136216067754091
"pressure_msl_z",-0.0141050414810757,-0.0314111173910058,0.0159381981999596,0.106256448761141,-0.0893812203704787,-0.147408350935662,0.0366533844705579,0.0380394883462614,-0.00888468682792869,-0.0255892200178433,0.110477117540512,0.13752978134505,1,-0.0272164070134009,-0.00571083225264409,0.0917894198212262,0.0112547486024969,-0.0177439565960638,-0.00867870281393276,0.00950671907428318
"shortwave_radiation_z",-0.0377659990894288,-0.204905504593076,0.412298072928009,-0.245718690386439,0.0108394403751998,0.029751383798947,0.052075501752711,-0.0465869468097066,0.120848727139765,-0.230370392263707,0.0925126613283278,0.218464681695066,-0.0272164070134009,1,0.154858443128002,-0.373168167729812,-0.0224578969861258,-0.0781717719676805,0.447639182349365,-0.0175092535435618
"is_day_z",-0.0028733329539068,-0.0179934508867401,0.120232603469832,-0.0701981552383562,-0.00456091831576793,0.0163418078529832,-0.0166188816689647,0.0374728555975288,-0.0438708841066027,0.0600855833610922,0.016903453874206,0.0537533509767927,-0.00571083225264409,0.154858443128002,1,-0.126762726515779,0.167911625692498,-0.0967158243408636,0.728446803820238,0.0140328456136839
"sin_dzien_z",0.0437775932211991,0.223647368275532,-0.393946370446904,0.0361400201195173,-0.0485088983196649,-0.0971257702478808,-0.133586783380479,-0.191751461253394,0.167398676465267,0.0725954534109801,0.0278780856186103,-0.0768932178275077,0.0917894198212262,-0.373168167729812,-0.126762726515779,1,0.428535011847374,0.139789198791104,-0.0621786515856899,0.010845917057148
"cos_dzien_z",0.0325897861619532,0.139036145619659,-0.213990390223626,-0.028457117597383,-0.0324010750151772,0.0445763590548765,-0.140967383097792,-0.187839415121954,0.1641645634943,0.070855322176364,0.0694089415152335,-0.0741058956122286,0.0112547486024969,-0.0224578969861258,0.167911625692498,0.428535011847374,1,0.125170717974869,0.271154963639486,0.646320995513329
"sin_godzina_z",0.014166407653426,-0.0135969022083053,-0.0657832638619736,0.0946035655019399,0.0551130659802828,0.0985828326390552,-0.0213714773422614,-0.0906964536958648,0.0627722026875782,-0.0181809645879144,0.0299184485616713,-0.0127898145369558,-0.0177439565960638,-0.0781717719676805,-0.0967158243408636,0.139789198791104,0.125170717974869,1,-0.01322969048248,-0.00676653429951931
