"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.000150013580114331,2.13237222162345e-05,4.36482601921864e-05,0.00017525495315834,-1.37017538906005e-05,0.000138447872101481,5.29741062833428e-05,-2.68240167704998e-06,-0.000202774637892897,-7.97670012871754e-05,0.000157486129050407,-0.000162177490405283,0.000244722747731096,-9.71541806210546e-06,-0.00172085186171715,0.00132441917370028,-6.4679598128287e-05,6.40043900019031e-05,0.000522710880869356
"wind_speed_10m_z",-0.000150013580114331,1,-0.682299838098383,-0.449884766061956,-0.206316275886143,-0.146842650927014,-0.271953269089001,0.0173495945547652,-0.109247721071911,0.468365667240624,0.0448204824742633,-0.113939287571441,-0.0441418950065201,-0.29963908473433,-0.022227702696068,0.272058234879532,0.162531141261294,-0.0215591946890968,0.0294310071056247,0.0172904987389188
"wind_speed_100m_z",2.13237222162345e-05,-0.682299838098383,1,-0.113123438683955,0.111827122610851,0.26517083824184,0.0054951737129832,0.0674821681222895,-0.0597121770271954,0.013826246902671,0.00421791372085323,0.219794924273616,0.0126789181280628,0.413791284508554,0.11964081162088,-0.327532346527059,-0.173141259309916,-0.0626652973058314,-0.0683460819421017,-0.0105860806495041
"wind_gusts_10m_z",4.36482601921864e-05,-0.449884766061956,-0.113123438683955,1,0.104288022174633,-0.11922705351221,-0.00839950975808316,0.0222704356375617,0.00476645966638409,0.00360132708914869,-0.165798251354132,-0.100210128034104,0.114235819035933,-0.227009948646033,-0.0700014271500836,0.0121516258547617,-0.0337086833119336,0.0875448243803344,0.0121588078624185,0.0101996796180789
"wind_dir_sin_z",0.00017525495315834,-0.206316275886143,0.111827122610851,0.104288022174633,1,0.0901745532396568,0.165628642020151,0.060740447820044,-0.00897575123774427,-0.191905657609306,-0.0545272715222328,-0.0235650345742507,-0.0839120422560571,0.0345759582709892,-0.00517297727362752,-0.0603435536097659,-0.0377870208921184,0.0519772816380631,-0.00569119695158575,-0.0244172906624132
"wind_dir_cos_z",-1.37017538906005e-05,-0.146842650927014,0.26517083824184,-0.11922705351221,0.0901745532396568,1,0.0636600738589982,0.0624187167875552,-0.0719277156822654,-0.00251372041993176,-0.0264019571290859,0.0706767114075062,-0.145142469202202,0.0334286246126491,0.0156917350616876,-0.084428023727116,0.0338595217661115,0.0984413430547199,-0.0230663805328513,-0.0228423558700079
"temperature_2m_z",0.000138447872101481,-0.271953269089001,0.0054951737129832,-0.00839950975808316,0.165628642020151,0.0636600738589982,1,0.713634914517667,-0.601559751732905,-0.597383751329771,0.00264244804480263,-0.0606619846217864,0.0355690266673658,0.0576036013032552,-0.0189706227319755,-0.120280706224122,-0.117587200676248,-0.0148144634991872,-0.0246542107516784,-0.0336001747647153
"relative_humidity_2m_z",5.29741062833428e-05,0.0173495945547652,0.0674821681222895,0.0222704356375617,0.060740447820044,0.0624187167875552,0.713634914517667,1,-0.972788629440105,0.111843041075763,-0.0740841149074348,-0.082319345128174,0.0337956530641054,-0.0591923844616958,0.0379051427472626,-0.150139009836778,-0.145334261000636,-0.0889509284269412,-0.0610171072214601,-0.0160156796865025
"dew_point_2m_z",-2.68240167704998e-06,-0.109247721071911,-0.0597121770271954,0.00476645966638409,-0.00897575123774427,-0.0719277156822654,-0.601559751732905,-0.972788629440105,1,-0.275986496622806,0.0564521242786265,0.0576117683298595,-0.00372271360413409,0.138658562023553,-0.0444367166164006,0.122860240130216,0.121731335977558,0.0609303818930502,0.068652179355366,0.0118650296850357
"apparent_temperature_z",-0.000202774637892897,0.468365667240624,0.013826246902671,0.00360132708914869,-0.191905657609306,-0.00251372041993176,-0.597383751329771,0.111843041075763,-0.275986496622806,1,-0.0578678024838049,0.00623895753378239,-0.0276452481426874,-0.243628558313448,0.0610333569053318,0.0845137378388166,0.0691041687450766,-0.0243174261197891,-0.036903648125301,0.0281818273518073
