"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.000288171610564945,0.000202600435763653,0.000119529735405675,-7.80371269908484e-06,8.34903648992037e-05,0.000264758241626904,0.00029324456260108,-0.000222017566727507,-0.000134825203337795,-1.91451668399625e-05,9.14621492859287e-05,-0.000166914033626301,0.000398043916338113,-4.0698818962845e-05,-0.00507604581741425,-0.000684322490300591,-8.69982875358653e-05,6.73398056754037e-05,-0.00184706597310815
"wind_speed_10m_z",-0.000288171610564945,1,-0.68098593570864,-0.446174402242807,-0.212522485825022,-0.145566709998679,-0.283966974072181,0.0205563390250311,-0.116079908815862,0.481586765097061,0.0436219341919343,-0.112828950626881,-0.0457221104275007,-0.305874932443126,-0.0210690965631552,0.239562663731071,0.144460841420828,-0.02106691207056,0.0283579783866872,0.0123160751409454
"wind_speed_100m_z",0.000202600435763653,-0.68098593570864,1,-0.11251885344021,0.113872068104131,0.265155685340831,0.0105051358700125,0.0666537776692123,-0.0573714058974751,0.00505937713899087,0.004296017032389,0.220245499107459,0.0136458776967934,0.414774082391118,0.11902699353998,-0.285403018479404,-0.1537563767663,-0.0627393728800507,-0.0681242587711676,-0.00801801419695569
"wind_gusts_10m_z",0.000119529735405675,-0.446174402242807,-0.11251885344021,1,0.103733807817508,-0.119227425724417,-0.00867509098513958,0.0226450884286057,0.00428816047262958,0.00439174411758253,-0.166015045420259,-0.100225184409066,0.114253697323145,-0.225866019587332,-0.0698267401631821,0.0111479376648413,-0.0287436360085028,0.0874495196423053,0.0123034367070582,0.00940242466115879
"wind_dir_sin_z",-7.80371269908484e-06,-0.212522485825022,0.113872068104131,0.103733807817508,1,0.0903161246609411,0.172132191203666,0.0585258224462023,-0.00462247998592149,-0.20121364166446,-0.0537885134423578,-0.0235875745915696,-0.0825534187863119,0.0388668143172273,-0.00558004286998945,-0.0540324903444935,-0.0300008628776659,0.0517386425687293,-0.00543858237785214,-0.0150129814673814
"wind_dir_cos_z",8.34903648992037e-05,-0.145566709998679,0.265155685340831,-0.119227425724417,0.0903161246609411,1,0.063236059340073,0.0624607235361562,-0.0719005328701534,-0.00243363346953202,-0.0263490124615933,0.0708803485654573,-0.145786040204072,0.0331814749307232,0.0160229525118853,-0.0746536823963423,0.0305109589681296,0.0981233889345703,-0.023000609348069,-0.0182539325514944
"temperature_2m_z",0.000264758241626904,-0.28396697407218,0.0105051358700125,-0.00867509098513958,0.172132191203666,0.063236059340073,1,0.704227316694139,-0.587818086245775,-0.605584522132388,0.00365076378090117,-0.060679828409969,0.0363417722596682,0.0668351425233915,-0.0195063516341673,-0.110735951803022,-0.10252121237118,-0.0149703726303196,-0.02351538402686,-0.0232167770911242
"relative_humidity_2m_z",0.00029324456260108,0.0205563390250311,0.0666537776692123,0.0226450884286057,0.0585258224462023,0.0624607235361562,0.704227316694139,1,-0.972235598906573,0.115360002965289,-0.0744175709088888,-0.0818940730247855,0.0329214800566618,-0.0603022212787238,0.0380735135245553,-0.130504212033705,-0.124183424664086,-0.0889369881049848,-0.0608194734905673,-0.00915772174679892
"dew_point_2m_z",-0.000222017566727507,-0.116079908815862,-0.0573714058974751,0.00428816047262958,-0.00462247998592149,-0.0719005328701534,-0.587818086245775,-0.972235598906573,1,-0.282648014013244,0.0569856890550117,0.057028785640646,-0.00255240881347754,0.142116197648848,-0.0447276073134873,0.105141491741553,0.103249362584994,0.0607476214598308,0.0686414897542885,0.00688910169020075
"apparent_temperature_z",-0.000134825203337795,0.481586765097061,0.00505937713899087,0.00439174411758253,-0.20121364166446,-0.00243363346953202,-0.605584522132388,0.115360002965289,-0.282648014013244,1,-0.058396207511701,0.00710974167942418,-0.0294775206190207,-0.253443378273346,0.0608822158704992,0.0813926324505842,0.0632184322614716,-0.0233677615866505,-0.0372967817769663,0.0204592381816025
