"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-0.000308753972562,0.000228790789666701,0.000111057570877027,-6.46235737485181e-05,0.000103261704015572,0.000308901841917154,0.000329325803879888,-0.000252209056229386,-0.000150208035096965,6.9579068239253e-06,5.36542929927209e-05,-0.000143533614918572,0.000393650920853957,-3.95515572485226e-05,-0.00637785892818041,-0.00121310208617777,-8.1238693591355e-05,6.02270626728793e-05,-0.0025665257825985
"wind_speed_10m_z",-0.000308753972562,1,-0.680428842603107,-0.444778768845507,-0.21535496298181,-0.144933569539092,-0.289690325248651,0.0219257080740394,-0.119174437855741,0.487650217770145,0.0432239920220566,-0.112606503237953,-0.0465762307432789,-0.308544485335586,-0.020441273615541,0.213018302087592,0.132553258361551,-0.0207981624248173,0.0279223456974755,0.00742065387189374
"wind_speed_100m_z",0.000228790789666701,-0.680428842603107,1,-0.111939048632334,0.114821486566837,0.265216980959308,0.0131082433142181,0.06640362529907,-0.0563447065085005,0.000795384974757458,0.00419672861959446,0.22091892260597,0.0143542353486567,0.415010082869032,0.118549745322152,-0.252571489450831,-0.143318526031819,-0.0627890992224448,-0.0681107359914235,-0.0061525645360723
"wind_gusts_10m_z",0.000111057570877027,-0.444778768845507,-0.111939048632334,1,0.103522598053214,-0.119201264758989,-0.00880061365235626,0.0228070016326552,0.00405467154180951,0.00477098577377204,-0.166197546244967,-0.100378534202287,0.114325156928783,-0.225185517397596,-0.069693630387636,0.0108254779330865,-0.0255685329294426,0.08745414307843,0.012385073024309,0.009403400549367
"wind_dir_sin_z",-6.46235737485181e-05,-0.21535496298181,0.114821486566837,0.103522598053214,1,0.0905315722072782,0.175278132104488,0.0576143666658666,-0.00266649447202266,-0.20548536282234,-0.0534463771234572,-0.0233674346358436,-0.0816996587665745,0.0407579481624383,-0.00573618856788295,-0.0479801068089693,-0.0233216249576353,0.0515165496950279,-0.00534587024418332,-0.00803807451628837
"wind_dir_cos_z",0.000103261704015572,-0.144933569539092,0.265216980959308,-0.119201264758989,0.0905315722072782,1,0.0631671738188075,0.0627094831235368,-0.0721085218178541,-0.00235206822310655,-0.0263345166667096,0.0711945751179743,-0.146474707345923,0.0330932726746156,0.0163748689190317,-0.0678850828326676,0.0291159778936923,0.0977406698766093,-0.022876255474031,-0.0154459908739315
"temperature_2m_z",0.000308901841917154,-0.289690325248651,0.0131082433142181,-0.00880061365235626,0.175278132104488,0.0631671738188075,1,0.699779046454491,-0.581311076216622,-0.609446516210296,0.00414605054569759,-0.0606736645357792,0.036406118144294,0.0712369264866848,-0.0196715510692596,-0.101930013479428,-0.0910573162070703,-0.0150408301477991,-0.0229440055792744,-0.0146489246066733
"relative_humidity_2m_z",0.000329325803879888,0.0219257080740394,0.06640362529907,0.0228070016326552,0.0576143666658666,0.0627094831235368,0.699779046454491,1,-0.971973300638204,0.116948634979073,-0.0745786043467554,-0.0817864566648985,0.0323576859029054,-0.0607739983320581,0.0381389767363423,-0.116356350119164,-0.112002473562297,-0.0887830093299667,-0.0606750048006065,-0.00440441244723956
"dew_point_2m_z",-0.000252209056229386,-0.119174437855741,-0.0563447065085005,0.00405467154180952,-0.00266649447202266,-0.0721085218178541,-0.581311076216622,-0.971973300638204,1,-0.285727652435371,0.0572521065929841,0.0568433550401589,-0.00191211594339419,0.143707069637287,-0.0448440652026057,0.0933635807976242,0.0934894973759751,0.0605327863048278,0.0685835534125829,0.00394666212158677
"apparent_temperature_z",-0.000150208035096965,0.487650217770145,0.000795384974757458,0.00477098577377204,-0.20548536282234,-0.00235206822310655,-0.609446516210296,0.116948634979073,-0.285727652435371,1,-0.0586751141006273,0.0073926067514253,-0.030061881030035,-0.25797813868671,0.0607349740659753,0.0756766074911768,0.0560279374734994,-0.0228296940261954,-0.0374367394865025,0.0130646863265032
