"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-2.83061712440233e-05,5.34501016385877e-06,-2.80767139738607e-06,1.67343660462963e-05,9.67893099121609e-07,2.82476907756068e-05,-8.5611462960264e-06,1.58691782153428e-05,-5.3845535290292e-05,2.2436648491825e-06,-3.5530486635879e-06,-3.26869384915472e-06,1.2918804578461e-05,-3.4319744176093e-06,-3.44489716578068e-05,-0.00013539733091229,7.64274933033472e-07,-1.39502328958166e-06,-5.69198209492374e-05
"wind_speed_10m_z",-2.83061712440233e-05,1,-0.686612335710363,-0.461537372461141,-0.18954231911491,-0.150258968958613,-0.239947749314842,0.00941376243795258,-0.0915237091518627,0.431201310588548,0.0493397735755316,-0.119062712341794,-0.0406210248943247,-0.280559804675676,-0.0246503476542543,0.305057488253163,0.188053132965799,-0.0229569425737949,0.0331628103353556,0.0232176743411621
"wind_speed_100m_z",5.34501016385877e-06,-0.686612335710363,1,-0.112694634863723,0.106664949094535,0.265903806178433,-0.00553576874768066,0.0702448403644753,-0.0659008334337847,0.0355811358213446,0.00295800018374379,0.222212083172434,0.0121155816913583,0.409621461213184,0.119673128006645,-0.379814317984191,-0.210295616149309,-0.0624596119191539,-0.0697723517199954,-0.0154788436119955
"wind_gusts_10m_z",-2.80767139738607e-06,-0.461537372461141,-0.112694634863723,1,0.105438165843931,-0.11897477590628,-0.00866466894870924,0.0212234000219444,0.00557443334779906,0.00327666109159422,-0.165867470619822,-0.101367702129935,0.114745114208027,-0.229869302132501,-0.0700420129398156,0.0153759253710266,-0.0404052006623827,0.0882902596701103,0.0117343078789035,0.0144890070327463
"wind_dir_sin_z",1.67343660462963e-05,-0.18954231911491,0.106664949094535,0.105438165843931,1,0.0912411746249879,0.14913675326938,0.0664547936758923,-0.0200721645433133,-0.16670372438339,-0.0564560718027308,-0.0217349345711678,-0.0861000833608361,0.0221886391595284,-0.0038983014147371,-0.0606684777060093,-0.0383864324510993,0.0519455242255804,-0.00678967498813334,-0.0331231781932218
"wind_dir_cos_z",9.67893099121609e-07,-0.150258968958613,0.265903806178433,-0.118974775906281,0.0912411746249879,1,0.0659659524504304,0.0639691658621042,-0.0734756732034266,-0.00271818252418723,-0.026646460922409,0.0720236411718489,-0.146729056139898,0.0346603420485411,0.0164307960938945,-0.0996874987567211,0.0414938827507404,0.0973437694914976,-0.0224046205106523,-0.0319228728308107
"temperature_2m_z",2.82476907756068e-05,-0.239947749314842,-0.00553576874768066,-0.00866466894870924,0.14913675326938,0.0659659524504304,1,0.737279823855488,-0.636694274565864,-0.574443810101423,0.00014670624133441,-0.0607623080961935,0.0305916286471953,0.0326099616654198,-0.0167245667983434,-0.12421359027484,-0.13142984704709,-0.0140289195309657,-0.0277962966975895,-0.0458321663575478
"relative_humidity_2m_z",-8.5611462960264e-06,0.00941376243795258,0.0702448403644753,0.0212234000219444,0.0664547936758923,0.0639691658621042,0.737279823855488,1,-0.974326795807817,0.104602313181688,-0.0731880067973116,-0.0840969445086889,0.0347496656057924,-0.0573267278109236,0.0373587698671794,-0.179979798616155,-0.182419938233678,-0.0877281052779235,-0.0614432189855608,-0.0234247944109777
"dew_point_2m_z",1.58691782153428e-05,-0.0915237091518627,-0.0659008334337847,0.00557443334779906,-0.0200721645433133,-0.0734756732034266,-0.636694274565864,-0.974326795807817,1,-0.259882304242656,0.0551151902805438,0.0596473727641286,-0.00600842655767446,0.130267856944495,-0.0434846933845226,0.154210316584226,0.158686294298652,0.0604284614528541,0.0683879331702548,0.0184205993230294
"apparent_temperature_z",-5.3845535290292e-05,0.431201310588548,0.0355811358213446,0.00327666109159422,-0.16670372438339,-0.00271818252418723,-0.574443810101423,0.104602313181688,-0.259882304242656,1,-0.0567005316580033,0.00325938353073023,-0.0196929506238327,-0.216001634830999,0.0606260229255597,0.0696564242510677,0.0605903938861585,-0.026680579866355,-0.0350929725222771,0.0373432551825476
"precipitation_z",2.2436648491825e-06,0.0493397735755316,0.00295800018374379,-0.165867470619822,-0.0564560718027308,-0.026646460922409,0.00014670624133441,-0.0731880067973116,0.0551151902805438,-0.0567005316580033,1,-0.0964845907588761,0.10913994658991,0.0885280973352718,0.0168765271237895,0.0328046810069827,0.074444355549748,0.0318381855093147,0.0646996185860512,-0.00130842995726882
"cloud_cover_z",-3.5530486635879e-06,-0.119062712341794,0.222212083172434,-0.101367702129935,-0.0217349345711678,0.0720236411718489,-0.0607623080961935,-0.0840969445086889,0.0596473727641286,0.00325938353073023,-0.0964845907588761,1,0.134229867313113,0.211365706644837,0.0529675654446371,-0.0651046867527139,-0.0663161922844457,-0.00895996958603671,0.104525762718312,0.0161919080643846
"pressure_msl_z",-3.26869384915472e-06,-0.0406210248943247,0.0121155816913583,0.114745114208027,-0.0861000833608361,-0.146729056139898,0.0305916286471953,0.0347496656057924,-0.00600842655767446,-0.0196929506238327,0.10913994658991,0.134229867313113,1,-0.0348068553884166,-0.00595103335542651,0.0989532797678238,0.0169223248450081,-0.0150786799377015,-0.00776353512811402,0.00944585163940053
"shortwave_radiation_z",1.2918804578461e-05,-0.280559804675676,0.409621461213184,-0.229869302132501,0.0221886391595284,0.0346603420485411,0.0326099616654198,-0.0573267278109236,0.130267856944495,-0.216001634830999,0.0885280973352718,0.211365706644837,-0.0348068553884166,1,0.155675952632627,-0.355267771614106,-0.0102249904894824,-0.0712797998119868,0.45398277549662,-0.0194305969757897
"is_day_z",-3.4319744176093e-06,-0.0246503476542543,0.119673128006645,-0.0700420129398156,-0.0038983014147371,0.0164307960938945,-0.0167245667983434,0.0373587698671794,-0.0434846933845226,0.0606260229255597,0.0168765271237895,0.0529675654446371,-0.00595103335542651,0.155675952632627,1,-0.123904775571457,0.172410694406306,-0.0964292122204966,0.72885459197046,0.0166740443229254
"sin_dzien_z",-3.44489716578068e-05,0.305057488253163,-0.379814317984191,0.0153759253710266,-0.0606684777060093,-0.0996874987567211,-0.12421359027484,-0.179979798616155,0.154210316584226,0.0696564242510677,0.0328046810069827,-0.0651046867527139,0.0989532797678238,-0.355267771614106,-0.123904775571457,1,0.411452397526533,0.130830613010472,-0.0643898319788575,0.0123636548064898
"cos_dzien_z",-0.00013539733091229,0.188053132965799,-0.210295616149309,-0.0404052006623827,-0.0383864324510993,0.0414938827507404,-0.13142984704709,-0.182419938233678,0.158686294298652,0.0605903938861585,0.0744443555497479,-0.0663161922844457,0.0169223248450081,-0.0102249904894824,0.172410694406306,0.411452397526533,1,0.120069912097207,0.271722932572395,0.643862161077447
"sin_godzina_z",7.64274933033472e-07,-0.0229569425737949,-0.0624596119191539,0.0882902596701103,0.0519455242255804,0.0973437694914976,-0.0140289195309657,-0.0877281052779235,0.0604284614528541,-0.026680579866355,0.0318381855093147,-0.00895996958603671,-0.0150786799377015,-0.0712797998119868,-0.0964292122204966,0.130830613010472,0.120069912097207,1,-0.013863988181057,-0.00758965084527163
"cos_godzina_z",-1.39502328958166e-06,0.0331628103353556,-0.0697723517199954,0.0117343078789035,-0.00678967498813334,-0.0224046205106523,-0.0277962966975895,-0.0614432189855608,0.0683879331702548,-0.0350929725222771,0.0646996185860512,0.104525762718312,-0.00776353512811402,0.45398277549662,0.72885459197046,-0.0643898319788575,0.271722932572395,-0.013863988181057,1,0.00742832210653192
"polrocze_cieple_z",-5.69198209492374e-05,0.0232176743411621,-0.0154788436119955,0.0144890070327463,-0.0331231781932218,-0.0319228728308107,-0.0458321663575478,-0.0234247944109777,0.0184205993230294,0.0373432551825476,-0.00130842995726882,0.0161919080643846,0.00944585163940053,-0.0194305969757897,0.0166740443229254,0.0123636548064898,0.643862161077447,-0.00758965084527163,0.00742832210653192,1
