"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-6.85882408457444e-05,1.02158608631653e-05,-7.97986786082315e-06,4.17845937230054e-05,2.19124833494828e-06,7.12318602803344e-05,-2.10730785377533e-05,3.93565185393141e-05,-0.000131370173679488,5.07721261809056e-06,-9.79325658157262e-06,-1.52442407710428e-05,3.05129194131093e-05,-1.07703352987298e-05,-0.000110860380827718,-0.000483250178055506,1.78065313053787e-06,-5.56553153493248e-06,-0.000213309801370929
"wind_speed_10m_z",-6.85882408457444e-05,1,-0.684308397643759,-0.454789230808147,-0.199416442277528,-0.149411269574324,-0.255615207223947,0.0160474066303658,-0.102441295763698,0.450491466039883,0.046767676465547,-0.11559702594144,-0.0420004441494209,-0.287566105653139,-0.0231081312796047,0.28341378653462,0.179039400806156,-0.023340127379612,0.0325704256187241,0.0226780857998763
"wind_speed_100m_z",1.02158608631653e-05,-0.684308397643759,1,-0.113002887775434,0.109559741589318,0.265919488283973,-2.21183668084721e-05,0.0683284528508253,-0.062385016017178,0.0240161264623301,0.00350169532728069,0.221441410704715,0.012643917421428,0.411100428813526,0.11924636146581,-0.344739791900852,-0.199180647700501,-0.0622304727994956,-0.0696450097809421,-0.0143080625834803
"wind_gusts_10m_z",-7.97986786082315e-06,-0.454789230808147,-0.113002887775434,1,0.104154254586964,-0.119023152710519,-0.0100451587415278,0.0216767257494122,0.00468932961034932,0.0059232566796709,-0.165982992086196,-0.101198010472377,0.11461454901371,-0.230005574125765,-0.0699374079179217,0.0148309005363599,-0.0377970301145651,0.0882397916251523,0.0117252140641301,0.0146020474817931
"wind_dir_sin_z",4.17845937230054e-05,-0.199416442277528,0.109559741589318,0.104154254586964,1,0.0913852452315097,0.158938085479149,0.0622983930038275,-0.0129477735644651,-0.182538012772484,-0.0550973687657857,-0.0228688984088936,-0.0847479421208407,0.028250845830641,-0.00461374036214181,-0.0603848690019601,-0.0379610284111882,0.0521221644030972,-0.00664602677936365,-0.0328163590436366
"wind_dir_cos_z",2.19124833494828e-06,-0.149411269574324,0.265919488283973,-0.119023152710519,0.0913852452315097,1,0.066090153311633,0.0636552860103618,-0.0727779627127076,-0.0040562096004205,-0.0265634618430538,0.0719267877411363,-0.146640633419009,0.0349733160381261,0.0163768085757443,-0.0894821818782505,0.039637457091951,0.0973697220400253,-0.0224009965659856,-0.0313105712923588
"temperature_2m_z",7.12318602803344e-05,-0.255615207223947,-2.21183668084721e-05,-0.0100451587415278,0.158938085479149,0.066090153311633,1,0.723138954442899,-0.617019012702638,-0.585341486187234,0.00200972232888594,-0.0621407822214482,0.0319523390419263,0.0423101781515802,-0.01775068241878,-0.122500799511653,-0.127232123106701,-0.013305577572805,-0.0273329584609118,-0.0457464791817641
"relative_humidity_2m_z",-2.10730785377533e-05,0.0160474066303658,0.0683284528508253,0.0216767257494122,0.0622983930038275,0.0636552860103618,0.723138954442899,1,-0.973754826827808,0.112707186831542,-0.0737155372943257,-0.083362171580719,0.0341431978918303,-0.0604213742195632,0.0376993355544361,-0.15917137175046,-0.173116450193934,-0.0878280436618059,-0.061450398678785,-0.0229731412592323
"dew_point_2m_z",3.93565185393141e-05,-0.102441295763698,-0.062385016017178,0.00468932961034932,-0.0129477735644651,-0.0727779627127076,-0.617019012702638,-0.973754826827808,1,-0.271496997414631,0.056028645765871,0.0582776789343041,-0.00497040904233564,0.135478996652358,-0.0440287922534384,0.132226463151189,0.149429731831998,0.0605692381933768,0.0682818825793723,0.0177506386646806
"apparent_temperature_z",-0.000131370173679488,0.450491466039883,0.0240161264623301,0.0059232566796709,-0.182538012772484,-0.0040562096004205,-0.585341486187234,0.112707186831542,-0.271496997414631,1,-0.0582392816957798,0.00685671946380614,-0.022172093488107,-0.226995495473198,0.0607430441456444,0.082342103039867,0.0611374999459981,-0.0268580762785707,-0.0342502798948576,0.0371608021173341
