"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,0.00499896858804897,-0.00906709236438463,0.015969701680334,0.00873244379938097,0.0029555420767139,-0.012869643856739,-0.00740640725115936,0.00650830732377621,0.0109973746900776,-0.00331794278242122,-0.0100626457775246,-0.0063246890840322,-0.0161274561384694,-0.00142671711292067,0.00534970386667815,0.00770616616477386,0.00634696286544209,0.00143558817235279,-0.0012905641124124
"wind_speed_10m_z",0.00499896858804897,1,-0.489619514634276,-0.309520776397722,-0.151551585137183,-0.102670999542649,-0.213436505164198,0.013067328382603,-0.0840038517110046,0.353235523665133,0.0294950531780883,-0.0842709998146105,-0.035826036886731,-0.226791479656768,-0.0147554956093796,0.150043556576761,0.095185167431999,-0.0125129270703344,0.0205013723445497,0.0050447687852164
"wind_speed_100m_z",-0.00906709236438463,-0.489619514634276,1,-0.120310166071597,0.107816598477611,0.263075595867383,0.0176629529197788,0.0695157612339713,-0.0597086804158226,-0.00240393173466412,0.00486824331867068,0.227170655578726,0.0187278899565071,0.419431741937625,0.118987340276488,-0.25021666314532,-0.14282906145389,-0.0662463333823033,-0.0688194245190858,-0.00659461061657884
"wind_gusts_10m_z",0.015969701680334,-0.309520776397722,-0.120310166071597,1,0.112214454549614,-0.114124689598009,-0.0264131849168106,0.0133462365693494,0.0112810809414161,0.0210204350032954,-0.168652768924627,-0.10969516744775,0.105911835135907,-0.240803536539444,-0.0699992240447368,0.0232847419108669,-0.0153155598156258,0.0939690741270205,0.0136148178250205,0.0102846605750635
"wind_dir_sin_z",0.00873244379938097,-0.151551585137183,0.107816598477611,0.112214454549614,1,0.0918526369303179,0.166134828799431,0.0527912498307394,0.0017464584281053,-0.196974484852841,-0.0548325262614028,-0.030023375674491,-0.0848327057476997,0.0303989236281444,-0.0066427181929171,-0.0386825434621372,-0.0172643613832351,0.0553027605176204,-0.00453023519910594,-0.00639014891211372
"wind_dir_cos_z",0.0029555420767139,-0.102670999542649,0.263075595867383,-0.114124689598009,0.0918526369303179,1,0.0570984956005675,0.0602347100631412,-0.0703699148325523,0.00282624240924801,-0.0276956090456153,0.0694365927485554,-0.147049196947277,0.0286241686169689,0.0162345918880382,-0.0633347429809401,0.0306706058464911,0.0990994075931872,-0.02277786724932,-0.0145417599976077
"temperature_2m_z",-0.012869643856739,-0.213436505164198,0.0176629529197788,-0.0264131849168106,0.166134828799431,0.0570984956005675,1,0.697782486997171,-0.576955491117551,-0.620382991763915,0.0101944671531142,-0.0524776016062288,0.0420630295696233,0.0901190115776144,-0.0197007350907688,-0.104443205308543,-0.0957891108897834,-0.0217104847136264,-0.0236082516326991,-0.0135249664345401
"relative_humidity_2m_z",-0.00740640725115936,0.013067328382603,0.0695157612339713,0.0133462365693494,0.0527912498307394,0.0602347100631412,0.697782486997171,1,-0.971599220528247,0.106307767084504,-0.0715638187949676,-0.0762523606141951,0.0358743780158931,-0.0503685748219179,0.0384984843484738,-0.118233771540735,-0.11372630473845,-0.0923071233040666,-0.0612940793560678,-0.00428380740971355
"dew_point_2m_z",0.00650830732377621,-0.0840038517110046,-0.0597086804158226,0.0112810809414161,0.0017464584281053,-0.0703699148325523,-0.576955491117551,-0.971599220528247,1,-0.277460474721289,0.0551796706541327,0.0516853352938815,-0.0049862249620936,0.134762949047883,-0.0455315000999275,0.096460732935862,0.0953300209045344,0.0635507422298951,0.0691937427626334,0.00419404164348894
"apparent_temperature_z",0.0109973746900776,0.353235523665133,-0.00240393173466412,0.0210204350032954,-0.196974484852841,0.00282624240924801,-0.620382991763915,0.106307767084504,-0.277460474721289,1,-0.0636299351835747,0.00209182783971327,-0.0347867834886953,-0.270707132942041,0.0605861478887335,0.0758868020162638,0.060712451366477,-0.0163736662814746,-0.0361452705748851,0.011708020556746
