"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,0.018341573226202,-0.0137949780054402,0.00939544572321331,0.018295261290879,0.00655623901991354,-0.0293368308331811,-0.0179927437854378,0.0167253431616442,0.0239946786680042,-0.00990951983687257,-0.0218766348161309,-0.0136232505249388,-0.0390020389464309,2.65169595887202e-05,0.0360812667965513,0.0266693954194728,0.0139528876315109,0.00206105980837528,0.00910465704436948
"wind_speed_10m_z",0.018341573226202,1,-0.68561250321588,-0.213592188979541,-0.178931756888723,-0.146011123288777,-0.246825968014434,-0.000599675945264293,-0.0814709984067255,0.431368069917957,0.0446497081286896,-0.125239065944888,-0.0450741025736656,-0.28791274723397,-0.0239443078284136,0.31422063300327,0.193790114442334,-0.0177294032232992,0.0341115126051064,0.0224951785265215
"wind_speed_100m_z",-0.0137949780054402,-0.68561250321588,1,-0.0551768197833806,0.099224499890868,0.264025363110339,-0.0041505079253943,0.0738537311888932,-0.070810312163883,0.0382321618815123,0.00432717129049908,0.227382832495932,0.0156199317091082,0.411854287064954,0.119252359338188,-0.392628144675202,-0.211897882491337,-0.0655931824997463,-0.0700073447315802,-0.0158824546512262
"wind_gusts_10m_z",0.00939544572321331,-0.213592188979541,-0.0551768197833806,1,0.0528113802168496,-0.0546023607265359,-0.00945016823693472,0.00635088018159792,0.00591128036130527,0.00571790934627578,-0.0796658037531386,-0.0511116373126698,0.0515232196045911,-0.113522929643683,-0.0327708783195205,0.0135857718391449,-0.0152734529104659,0.0439336510646344,0.0057944394069118,0.00726723209075939
"wind_dir_sin_z",0.018295261290879,-0.178931756888723,0.099224499890868,0.0528113802168496,1,0.0926860124287124,0.135391344341737,0.0624707931895213,-0.0173180509021819,-0.151961529106615,-0.0591402159612315,-0.0296482800372556,-0.0904383752198931,0.00629275343146733,-0.003723834125876,-0.0473312291294987,-0.0312245978637096,0.0561573096132766,-0.00657913989232328,-0.0304918675022854
"wind_dir_cos_z",0.00655623901991354,-0.146011123288777,0.264025363110339,-0.0546023607265359,0.0926860124287124,1,0.0574160230469106,0.0605699925360622,-0.0711422553763851,0.00526693489251125,-0.0287319696465794,0.0695891896022473,-0.147773993987953,0.0282462711883151,0.0166200192099091,-0.0965902500407974,0.0452484979085654,0.0989954149399289,-0.0222438152959913,-0.0309898893356278
"temperature_2m_z",-0.0293368308331811,-0.246825968014434,-0.0041505079253943,-0.00945016823693472,0.135391344341737,0.0574160230469106,1,0.740901758343287,-0.640045784580153,-0.58651632076725,0.0101671457117586,-0.0507824769954115,0.0378598070095151,0.0545154222894821,-0.0181450246725006,-0.135331802825778,-0.142786131679398,-0.022708222667932,-0.0290204539545102,-0.0430077696207523
"relative_humidity_2m_z",-0.0179927437854378,-0.000599675945264293,0.0738537311888932,0.00635088018159792,0.0624707931895213,0.0605699925360622,0.740901758343287,1,-0.974210108106272,0.0847546641140698,-0.0673461712335711,-0.077454713491954,0.0397527118108237,-0.0402772165678533,0.0363274915236247,-0.194657795735829,-0.190016448427496,-0.0923784034438437,-0.0620356705425474,-0.0237010248859428
"dew_point_2m_z",0.0167253431616442,-0.0814709984067255,-0.0708103121638831,0.00591128036130527,-0.0173180509021819,-0.0711422553763851,-0.640045784580153,-0.974210108106272,1,-0.241183278009434,0.050572111788468,0.0531878875497083,-0.0108578303896682,0.113107084372454,-0.042806008693322,0.17056735397274,0.166368476594781,0.0647559572748044,0.0689362103701823,0.0200032221253977
"apparent_temperature_z",0.0239946786680042,0.431368069917957,0.0382321618815123,0.00571790934627578,-0.151961529106615,0.00526693489251125,-0.58651632076725,0.0847546641140698,-0.241183278009434,1,-0.0652585987653079,-0.00303499205537499,-0.0253084669110207,-0.227063791101301,0.061560317953029,0.0718338610807513,0.0711352166281673,-0.018663411838952,-0.0331620097627848,0.0334345557231971
