"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,0.0134573752566881,-0.0211326231332866,0.0373911408188682,0.0189883060817484,0.006169711351127,-0.0329151572222539,-0.0158625464618608,0.0134696568081563,0.0327506053595856,-0.00807532643413742,-0.0221947397654881,-0.014105043686489,-0.03776600497436,-0.00287333330153491,0.0437775994837386,0.0325897902524166,0.0141664098082321,0.00380942217648672,0.00793867503828779
"wind_speed_10m_z",0.0134573752566881,1,-0.491495540126329,-0.320468962891031,-0.129908105046548,-0.105493088270033,-0.175627700148351,0.00191688145810872,-0.061055461844239,0.308133449699679,0.0335212191011314,-0.0887511559666306,-0.0314110603728598,-0.204905130639418,-0.0179934179154501,0.223646959175587,0.139035891596636,-0.013596876868944,0.02442465059863,0.0160952096266781
"wind_speed_100m_z",-0.0211326231332866,-0.491495540126329,1,-0.121324393717065,0.0983953241911696,0.263842180687304,-0.00316555843150337,0.0738992715902575,-0.0707037245524922,0.0362570715188011,0.00376181233634289,0.227991729960194,0.015938198840559,0.412298073413249,0.12023260351144,-0.393946371159865,-0.21399039029428,-0.0657832643647722,-0.0709134304246167,-0.0167323481822602
"wind_gusts_10m_z",0.0373911408188682,-0.320468962891031,-0.121324393717065,1,0.1139703829763,-0.114111260227234,-0.0275502143025929,0.0124063656468234,0.0121628076448117,0.0229566024833741,-0.168449901999257,-0.11041110228102,0.106256447337149,-0.245718692990792,-0.0701981552092388,0.0361400232408909,-0.0284571158921351,0.0946035665103797,0.0133041876340854,0.013067233522651
"wind_dir_sin_z",0.0189883060817484,-0.129908105046548,0.0983953241911696,0.1139703829763,1,0.0920728558427366,0.137713930428433,0.064207279729906,-0.0189327959679281,-0.152290886398117,-0.0579318800787128,-0.0277808209614196,-0.0893812208352793,0.0108394389342138,-0.00456091845275127,-0.0485088964904886,-0.0324010742116725,0.0551130664929734,-0.0060521120391543,-0.0317843618579725
"wind_dir_cos_z",0.006169711351127,-0.105493088270033,0.263842180687304,-0.114111260227234,0.0920728558427366,1,0.0586605415545582,0.0620281371498448,-0.0726272190887998,0.00512875028479013,-0.0280841270364194,0.0705034335144507,-0.147408351073651,0.0297513829949267,0.0163418078454787,-0.097125769461542,0.0445763594494138,0.0985828328469362,-0.0223885595294407,-0.0314316278469461
"temperature_2m_z",-0.0329151572222539,-0.175627700148351,-0.00316555843150337,-0.0275502143025929,0.137713930428433,0.0586605415545582,1,0.737389983291222,-0.635081087336986,-0.587769930898284,0.00703823919821534,-0.052689034573685,0.0366533856135269,0.0520755057186523,-0.0166188817676423,-0.133586784764369,-0.140967384355219,-0.0213714785233053,-0.0284440088674635,-0.0401307976174281
"relative_humidity_2m_z",-0.0158625464618608,0.00191688145810872,0.0738992715902575,0.0124063656468234,0.064207279729906,0.0620281371498448,0.737389983291222,1,-0.973980248341484,0.0884414736342499,-0.070142099875422,-0.0797158003983043,0.0380394888452067,-0.046586945235307,0.0374728556224722,-0.19175146204441,-0.187839415537448,-0.0906964541804212,-0.0620058902829755,-0.0233500210694883
"dew_point_2m_z",0.0134696568081563,-0.061055461844239,-0.0707037245524922,0.0121628076448117,-0.0189327959679281,-0.0726272190887998,-0.635081087336986,-0.973980248341484,1,-0.245929966759862,0.0531467779800074,0.0555043342082946,-0.00888468720779081,0.120848725977019,-0.043870884195682,0.167398677363336,0.164164563848308,0.0627722030553964,0.0690572079244895,0.0202727817140935
"apparent_temperature_z",0.0327506053595856,0.308133449699679,0.0362570715188011,0.0229566024833741,-0.152290886398117,0.00512875028479013,-0.587769930898284,0.0884414736342499,-0.245929966759862,1,-0.0632704773338999,-0.00289751224944011,-0.0255892212426404,-0.230370395494258,0.0600855833264259,0.0725954545902689,0.0708553237928046,-0.0181809631579768,-0.0337315538619995,0.0292045002560732
