"parametr","(Intercept)","wind_speed_10m_z","wind_speed_100m_z","wind_gusts_10m_z","wind_dir_sin_z","wind_dir_cos_z","temperature_2m_z","relative_humidity_2m_z","dew_point_2m_z","apparent_temperature_z","precipitation_z","cloud_cover_z","pressure_msl_z","shortwave_radiation_z","is_day_z","sin_dzien_z","cos_dzien_z","sin_godzina_z","cos_godzina_z","polrocze_cieple_z"
"(Intercept)",1,-2.13764520257242e-14,3.15014469661662e-14,-8.15761989800603e-15,-2.26253947264745e-16,-3.97830119894981e-15,-2.18509437773603e-14,-2.23722398173338e-14,2.69282794531029e-14,-4.42619941472303e-15,1.12392747523407e-14,1.18331693846525e-14,7.90264596831175e-16,6.38812485150716e-14,4.50566177886652e-14,-2.65408665921808e-14,4.47221415048193e-14,-9.76550004002863e-15,4.97085989530426e-14,6.36646523079848e-14
"wind_speed_10m_z",-2.13764520257242e-14,1,-0.687530113331264,-0.464165424846207,-0.185706936317843,-0.150589485876685,-0.233804715897648,0.00684902115773244,-0.0872882230438986,0.423435319392184,0.0503342959989072,-0.120413842546976,-0.0401291738420806,-0.277853949283867,-0.0252609608635643,0.311082370578656,0.189703006816208,-0.0228086583619258,0.0333798728215438,0.0230688737709291
"wind_speed_100m_z",3.15014469661662e-14,-0.687530113331264,1,-0.112574508481118,0.105560778914694,0.2658979973954,-0.00766195581309628,0.0709728810382287,-0.0672424540086559,0.0402153111420193,0.00275335338570596,0.222505291543664,0.0119322439260106,0.409060501436082,0.119839684652052,-0.390331000896909,-0.213076496039287,-0.0625454944162781,-0.0698154097501735,-0.0156918000137924
"wind_gusts_10m_z",-8.15761989800603e-15,-0.464165424846207,-0.112574508481118,1,0.105932623628878,-0.11895581875313,-0.00812837346019232,0.0210493022547364,0.00591520680944172,0.00221148347264487,-0.165822851362114,-0.101432918521756,0.114793927742885,-0.229814310628453,-0.0700820047077821,0.0154788390683561,-0.0411973650245531,0.0883097667590717,0.0117378486792839,0.014438403916647
"wind_dir_sin_z",-2.26253947264745e-16,-0.185706936317843,0.105560778914694,0.105932623628878,1,0.0911853873066154,0.145332659820333,0.0680469452488137,-0.0228107331026374,-0.160378039048056,-0.0569759003331538,-0.0212970249650591,-0.086596858471403,0.0198633017226546,-0.00361766907150912,-0.0602063964323568,-0.0378982139556924,0.0518776283882799,-0.00683834575325565,-0.0330353912839751
"wind_dir_cos_z",-3.97830119894981e-15,-0.150589485876685,0.2658979973954,-0.11895581875313,0.0911853873066154,1,0.0659162804979448,0.0640900242505528,-0.0737450333125397,-0.00217632473280501,-0.0266776001627719,0.0720599386338276,-0.146760001757457,0.034539810910871,0.0164513004085048,-0.102762629352449,0.0420524622046921,0.0973343709478998,-0.0224061462552646,-0.0320658510457603
"temperature_2m_z",-2.18509437773603e-14,-0.233804715897648,-0.00766195581309628,-0.00812837346019232,0.145332659820333,0.0659162804979448,1,0.742759089049286,-0.644327503197641,-0.570128179082858,-0.00057278750984575,-0.0602241948807395,0.0300976799176571,0.028857264829365,-0.0163176682161424,-0.123952370568662,-0.131734181566493,-0.014310327294237,-0.0279654126426317,-0.0456154760137316
"relative_humidity_2m_z",-2.23722398173338e-14,0.00684902115773244,0.0709728810382287,0.0210493022547364,0.0680469452488137,0.0640900242505528,0.742759089049286,1,-0.974547065850773,0.101395656233926,-0.0729870109575273,-0.0843797969724978,0.0349672722256808,-0.0561461633411239,0.0372244542497847,-0.18668607384695,-0.185342203497865,-0.0876892952943942,-0.0614446849025354,-0.0236387102446633
"dew_point_2m_z",2.69282794531029e-14,-0.0872882230438986,-0.0672424540086559,0.00591520680944172,-0.0228107331026374,-0.0737450333125397,-0.644327503197641,-0.974547065850773,1,-0.255296514986993,0.0547658999670955,0.0601764342420515,-0.00638286632259239,0.128272402739287,-0.0432687502282314,0.1615536129335,0.161908597589832,0.0603733773343366,0.0684360008786404,0.0187740857476495
"apparent_temperature_z",-4.42619941472303e-15,0.423435319392184,0.0402153111420193,0.00221148347264487,-0.160378039048056,-0.00217632473280501,-0.570128179082858,0.101395656233926,-0.255296514986993,1,-0.0561041240507716,0.0018052396424731,-0.0187727470137081,-0.211662889363063,0.0605769070474601,0.064043845671349,0.0587067103823364,-0.0266150729306921,-0.0354644207731745,0.0369973595535488
