"target","model","typ_modelu","efekty_losowe","liczba_predyktorow_stalych","AIC","BIC","logLik","singular","udzial_wariancji_losowej","R2_marginal_LMM","R2_conditional_LMM","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test"
"wind_gusts_10m_next","LMM RSI-i miesiac","RSI-i","(1 + wind_gusts_10m_z || miesiac)",19,"1060852.22980769","1061090.10376341","-530403.114903847","nie","0.004162","0.970258","0.970382",5.98963951724467,2.44737400436563,1.74314284406774,0.970498591729104,8.20177180553832,2.86387356661189,2.00398468109497,0.951312901338729
"wind_gusts_10m_next","LMM RSI miesiac","RSI","(1 + wind_gusts_10m_z | miesiac)",19,"1060882.6472193","1061130.86352092","-530417.323609649","tak","0.003830","0.970263","0.970377",5.99119253425245,2.44769126612252,1.74330173219807,0.970490942489335,8.20190155854925,2.86389621993347,2.00381774261473,0.951312131103005
"wind_gusts_10m_next","LMM FIRS miesiac","FIRS","(0 + wind_gusts_10m_z | miesiac)",19,"1060878.6472193","1061106.17882912","-530417.323609649","nie","0.003830","0.970263","0.970377",5.99119253421057,2.44769126611396,1.74330173227891,0.970490942489542,8.20190155956778,2.8638962201113,2.00381774264436,0.951312131096959
"wind_gusts_10m_next","LMM RIFS miesiac","RIFS","(1 | miesiac)",19,"1061502.27330625","1061729.80491607","-530729.136653126","nie","0.000221","0.970397","0.970403",6.00840075216381,2.45120393932529,1.74553396867411,0.970406185024257,8.20344127376543,2.86416502209028,2.00681599971895,0.951302991094185
"wind_gusts_10m_next","OLS full","LM","brak",19,"1061525.98138941","1061743.17065333","-530741.990694705","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",6.00984887814404,2.45149931228708,1.74568836925538,0.970399052415416,8.20575319306163,2.86456858759947,2.00689081479729,0.951289267151903
"wind_gusts_10m_next","LMM RIFS sezon","RIFS","(1 | sezon)",19,"1061527.95310764","1061755.48471745","-530741.976553818","nie","3e-06","0.970399","0.970399",6.00981527556138,2.45149245880165,1.74568936460725,0.970399217921789,8.20591688935979,2.86459716004882,2.00692411084078,0.95128829542311
"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","RIFS","(1 | miesiac) + (1 | dzien_roku)",19,"1061389.92992095","1061627.80387667","-530671.964960474","nie","0.001817","0.970388","0.970442",5.99407339298202,2.44827968030248,1.74345872555929,0.970476753089571,8.21160914122271,2.8655905397008,2.00848916780794,0.951254505257445
"wind_gusts_10m_next","LMM RIFS dzien_roku","RIFS","(1 | dzien_roku)",19,"1061393.72872904","1061621.26033886","-530674.86436452","nie","0.001810","0.970388","0.970442",5.99397140561024,2.44825885183945,1.74342543774707,0.970477255418816,8.21246415781135,2.8657397226216,2.00855105383764,0.951249429734985
"wind_gusts_10m_next","Model zerowy","bazowy","brak",0,"nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",203.028935508605,14.2488222498775,11.2556790603371,0,182.51287692064,13.5097326739147,11.0544830362897,-0.0834271735757455
"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","RI","(1 | miesiac)",0,"1856611.80120195","1856642.82823965","-928302.900600974","nie","0.049593","0.000000","0.049593",192.88975444696,13.8884755983859,10.9577354429731,0.0499395863759322,189.995212467833,13.7838750889521,11.2391772274993,-0.12784357745045
"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","RI","(1 | dzien_roku)",0,"1851784.03887902","1851815.06591672","-925889.019439508","nie","0.075369","0.000000","0.075369",187.465208547422,13.6917934744657,10.8047384064079,0.0766576789766167,191.675385709253,13.8446879960963,11.2719091815892,-0.137817368761954
