"target","model","typ_modelu","efekty_losowe","liczba_predyktorow_stalych","AIC","BIC","logLik","singular","udzial_wariancji_losowej","R2_marginal_LMM","R2_conditional_LMM","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test"
"wind_speed_10m_next","LMM RSI-i miesiac","RSI-i","(1 + wind_speed_10m_z || miesiac)",19,"915575.622133833","915813.496089552","-457764.811066917","nie","0.003399","0.957654","0.957798",3.17783653760906,1.78264874207149,1.27524211133504,0.957974550165137,3.85296101907162,1.96289607953952,1.39755515017168,0.925224388610576
"wind_speed_10m_next","LMM RSI miesiac","RSI","(1 + wind_speed_10m_z | miesiac)",19,"915607.269453563","915855.485755183","-457779.634726782","tak","0.002963","0.957667","0.957792",3.17867514387593,1.78288394010265,1.27538895836443,0.957963459976834,3.85581217815413,1.96362220861196,1.398051389623,0.925169055280572
"wind_speed_10m_next","LMM FIRS miesiac","FIRS","(0 + wind_speed_10m_z | miesiac)",19,"915603.269453568","915830.801063386","-457779.634726784","nie","0.002963","0.957667","0.957792",3.17867514392997,1.7828839401178,1.27538895831259,0.957963459976119,3.85581217892483,1.96362220880821,1.39805138972958,0.925169055265615
"wind_speed_10m_next","LMM RIFS miesiac","RIFS","(1 | miesiac)",19,"916087.84557126","916315.377181078","-458021.92278563","nie","0.000129","0.957860","0.957866",3.18591360811832,1.78491277325205,1.27691751915776,0.957867734563554,3.86615450630736,1.96625392721982,1.40044168620733,0.924968338505339
"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","RIFS","(1 | miesiac) + (1 | dzien_roku)",19,"916069.934667723","916307.808623442","-458011.967333861","nie","0.000710","0.957846","0.957876",3.18272069037166,1.78401813061742,1.27606806583416,0.957909959455552,3.86754364214109,1.96660713975646,1.40086436843254,0.924941379114689
"wind_speed_10m_next","LMM RIFS sezon","RIFS","(1 | sezon)",19,"916099.449004529","916326.980614347","-458027.724502265","nie","1.8e-05","0.957857","0.957858",3.18633390161862,1.78503050439443,1.27699852743767,0.957862176372248,3.86780374158392,1.96667326762325,1.40073511462764,0.924936331284004
"wind_speed_10m_next","OLS full","LM","brak",19,"916097.896268763","916315.08553268","-458027.948134382","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",3.18640666833226,1.78505088676269,1.27701129585986,0.957861214065397,3.86802042899473,1.96672835668649,1.40076525209371,0.92493212596411
"wind_speed_10m_next","LMM RIFS dzien_roku","RIFS","(1 | dzien_roku)",19,"916073.815795347","916301.347405165","-458014.907897674","nie","0.000691","0.957845","0.957875",3.18267985495606,1.78400668579354,1.27603275538888,0.95791049948544,3.86880305450998,1.96692731297066,1.40112422937394,0.92491693730762
"wind_speed_10m_next","Model zerowy","bazowy","brak",0,"nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy","nie dotyczy",75.6169547285335,8.69580098257392,6.91165054054196,0,65.008956470672,8.06281318589685,6.72373932865314,-0.261649012751811
"wind_speed_10m_next","LMM RI miesiac bez predyktorow","RI","(1 | miesiac)",0,"1625148.60613981","1625179.63317752","-812571.303069907","nie","0.070403","0.000000","0.070403",70.2612593453161,8.38219895643835,6.64669290697834,0.0708266473100445,68.3449484743403,8.26710036677554,6.88041919075438,-0.326391645866906
"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","RI","(1 | dzien_roku)",0,"1620128.52850186","1620159.55553956","-810061.26425093","nie","0.096865","0.000000","0.096865",68.1995072268375,8.25829929385206,6.54562660007385,0.0980923858719895,69.1835710582651,8.31766620262349,6.89648757668417,-0.342667054864704
