"target","model","status","komunikat"
"wind_speed_10m_next","LMM RI miesiac bez predyktorow","dopasowano","brak"
"wind_speed_10m_next","LMM RI dzien_roku bez predyktorow","dopasowano","brak"
"wind_speed_10m_next","LMM RIFS sezon","dopasowano","brak"
"wind_speed_10m_next","LMM RIFS miesiac","dopasowano","brak"
"wind_speed_10m_next","LMM RIFS dzien_roku","dopasowano","brak"
"wind_speed_10m_next","LMM RIFS miesiac plus dzien_roku","dopasowano","brak"
"wind_speed_10m_next","LMM FIRS miesiac","dopasowano","brak"
"wind_speed_10m_next","LMM RSI miesiac","dopasowano","model osobliwy"
"wind_speed_10m_next","LMM RSI-i miesiac","dopasowano","brak"
"wind_gusts_10m_next","LMM RI miesiac bez predyktorow","dopasowano","brak"
"wind_gusts_10m_next","LMM RI dzien_roku bez predyktorow","dopasowano","brak"
"wind_gusts_10m_next","LMM RIFS sezon","dopasowano","brak"
"wind_gusts_10m_next","LMM RIFS miesiac","dopasowano","brak"
"wind_gusts_10m_next","LMM RIFS dzien_roku","dopasowano","brak"
"wind_gusts_10m_next","LMM RIFS miesiac plus dzien_roku","dopasowano","brak"
"wind_gusts_10m_next","LMM FIRS miesiac","dopasowano","brak"
"wind_gusts_10m_next","LMM RSI miesiac","dopasowano","model osobliwy"
"wind_gusts_10m_next","LMM RSI-i miesiac","dopasowano","brak"
