"zmienna_1","zmienna_2","korelacja","abs_korelacja"
"temperature_2m","apparent_temperature",0.986610771340861,0.986610771340861
"wind_speed_10m","wind_speed_100m",0.968320727040032,0.968320727040032
"wind_speed_10m","wind_gusts_10m",0.964155327079371,0.964155327079371
"dew_point_2m","apparent_temperature",0.959655135458396,0.959655135458396
"temperature_2m","dew_point_2m",0.95118385562515,0.95118385562515
"wind_speed_100m","wind_gusts_10m",0.920157625334445,0.920157625334445
"cos_dzien","polrocze_cieple",-0.901076346869527,0.901076346869527
"is_day","cos_godzina",-0.810466884873764,0.810466884873764
"apparent_temperature","cos_dzien",-0.805426908607613,0.805426908607613
"temperature_2m","cos_dzien",-0.793624122488934,0.793624122488934
"dew_point_2m","cos_dzien",-0.745496157099267,0.745496157099267
"apparent_temperature","polrocze_cieple",0.726679592572901,0.726679592572901
"temperature_2m","polrocze_cieple",0.715796278021596,0.715796278021596
"shortwave_radiation","cos_godzina",-0.670714041505482,0.670714041505482
"dew_point_2m","polrocze_cieple",0.670712296063283,0.670712296063283
"shortwave_radiation","is_day",0.62714105943955,0.62714105943955
"relative_humidity_2m","shortwave_radiation",-0.498563501620727,0.498563501620727
"temperature_2m","shortwave_radiation",0.440096913264957,0.440096913264957
"shortwave_radiation","cos_dzien",-0.422969352806391,0.422969352806391
"apparent_temperature","shortwave_radiation",0.422391885013565,0.422391885013565
"dew_point_2m","sin_dzien",-0.416735531928582,0.416735531928582
"temperature_2m","sin_dzien",-0.396373487282809,0.396373487282809
"shortwave_radiation","polrocze_cieple",0.386563130975001,0.386563130975001
"apparent_temperature","sin_dzien",-0.386207458298683,0.386207458298683
"wind_speed_100m","apparent_temperature",-0.304277039805273,0.304277039805273
"temperature_2m","is_day",0.301010551757103,0.301010551757103
"relative_humidity_2m","cos_godzina",0.300839461429497,0.300839461429497
"wind_speed_100m","pressure_msl",-0.29769816544523,0.29769816544523
"wind_gusts_10m","pressure_msl",-0.294241562363681,0.294241562363681
"relative_humidity_2m","is_day",-0.293106651862399,0.293106651862399
"dew_point_2m","shortwave_radiation",0.291445433565918,0.291445433565918
"wind_speed_100m","cos_dzien",0.288606031714681,0.288606031714681
"wind_speed_10m","apparent_temperature",-0.284343179044149,0.284343179044149
"wind_speed_10m","pressure_msl",-0.282502277753006,0.282502277753006
"apparent_temperature","is_day",0.282183112665971,0.282183112665971
"is_day","cos_dzien",-0.280772808332739,0.280772808332739
"cloud_cover","cos_dzien",0.270971623710446,0.270971623710446
"wind_speed_100m","polrocze_cieple",-0.266399357243161,0.266399357243161
"relative_humidity_2m","cloud_cover",0.262971688479488,0.262971688479488
"wind_speed_10m","cos_dzien",0.254654757044152,0.254654757044152
"cloud_cover","polrocze_cieple",-0.253229919078987,0.253229919078987
"is_day","polrocze_cieple",0.248767772563875,0.248767772563875
"wind_speed_100m","wind_dir_sin",-0.23977708838148,0.23977708838148
"temperature_2m","relative_humidity_2m",-0.238839407661647,0.238839407661647
"wind_speed_10m","polrocze_cieple",-0.236077077799997,0.236077077799997
"relative_humidity_2m","cos_dzien",0.228593797475004,0.228593797475004
"cloud_cover","pressure_msl",-0.226165695281429,0.226165695281429
"wind_gusts_10m","apparent_temperature",-0.225073788444696,0.225073788444696
"wind_gusts_10m","relative_humidity_2m",-0.224208346614141,0.224208346614141
"dew_point_2m","is_day",0.217508713111216,0.217508713111216
"wind_gusts_10m","wind_dir_sin",-0.214555282469778,0.214555282469778
"relative_humidity_2m","polrocze_cieple",-0.209819790663232,0.209819790663232
"wind_gusts_10m","cos_dzien",0.209594824230534,0.209594824230534
"wind_speed_10m","wind_dir_sin",-0.20895687622219,0.20895687622219
"cloud_cover","shortwave_radiation",-0.208567901431462,0.208567901431462
"wind_dir_cos","shortwave_radiation",0.206193311182375,0.206193311182375
"precipitation","pressure_msl",-0.202544323681316,0.202544323681316
"wind_gusts_10m","cos_godzina",-0.197248106360458,0.197248106360458
"wind_gusts_10m","polrocze_cieple",-0.196021367227015,0.196021367227015
"wind_dir_cos","cos_dzien",-0.193773360457975,0.193773360457975
"wind_speed_100m","dew_point_2m",-0.191128497245229,0.191128497245229
"apparent_temperature","cloud_cover",-0.19028788996811,0.19028788996811
"temperature_2m","cloud_cover",-0.186153122143197,0.186153122143197
"wind_dir_cos","polrocze_cieple",0.184907484431696,0.184907484431696
"wind_speed_10m","dew_point_2m",-0.18390672503986,0.18390672503986
"precipitation","cloud_cover",0.182929102039344,0.182929102039344
"relative_humidity_2m","sin_godzina",0.182692942367174,0.182692942367174
"wind_speed_100m","shortwave_radiation",-0.180856864940363,0.180856864940363
"wind_dir_sin","pressure_msl",0.17397146661344,0.17397146661344
"relative_humidity_2m","apparent_temperature",-0.168297919685503,0.168297919685503
"wind_speed_100m","temperature_2m",-0.1620312054598,0.1620312054598
"relative_humidity_2m","precipitation",0.15628230511248,0.15628230511248
"relative_humidity_2m","pressure_msl",-0.150498661771207,0.150498661771207
"wind_speed_10m","relative_humidity_2m",-0.149811085311225,0.149811085311225
"wind_gusts_10m","dew_point_2m",-0.148315716424441,0.148315716424441
"wind_dir_cos","is_day",0.143984110582727,0.143984110582727
"wind_dir_cos","pressure_msl",0.140474605288723,0.140474605288723
"wind_speed_10m","temperature_2m",-0.136359579619205,0.136359579619205
"temperature_2m","cos_godzina",-0.125928204637472,0.125928204637472
"wind_speed_10m","cloud_cover",0.125259920470031,0.125259920470031
"wind_gusts_10m","cloud_cover",0.123485081219206,0.123485081219206
"wind_gusts_10m","precipitation",0.120280907437111,0.120280907437111
"wind_dir_cos","sin_dzien",0.117700138600144,0.117700138600144
"wind_speed_100m","is_day",-0.114145285721759,0.114145285721759
"wind_dir_sin","relative_humidity_2m",-0.11256455610632,0.11256455610632
"dew_point_2m","cloud_cover",-0.111425812678081,0.111425812678081
"wind_dir_sin","shortwave_radiation",0.108318473998235,0.108318473998235
"wind_speed_100m","cloud_cover",0.10493563021836,0.10493563021836
"wind_gusts_10m","is_day",0.103960940026778,0.103960940026778
"wind_dir_cos","cos_godzina",-0.103027642286362,0.103027642286362
"dew_point_2m","pressure_msl",-0.102425190431932,0.102425190431932
"dew_point_2m","precipitation",0.0996562199759811,0.0996562199759811
"apparent_temperature","cos_godzina",-0.0993072932740115,0.0993072932740115
"wind_speed_10m","cos_godzina",-0.0992673181076902,0.0992673181076902
"wind_dir_cos","sin_godzina",-0.0951462852789756,0.0951462852789756
"shortwave_radiation","sin_dzien",0.09244075758205,0.09244075758205
"wind_dir_cos","cloud_cover",-0.0900319481183801,0.0900319481183801
"wind_speed_100m","relative_humidity_2m",-0.0889206747572541,0.0889206747572541
"wind_speed_10m","precipitation",0.0881981749240768,0.0881981749240768
"wind_dir_cos","relative_humidity_2m",-0.0850780676068,0.0850780676068
"wind_dir_sin","polrocze_cieple",0.0842367824869957,0.0842367824869957
"wind_gusts_10m","shortwave_radiation",0.0826673152583019,0.0826673152583019
"wind_speed_100m","precipitation",0.0817830029585721,0.0817830029585721
"wind_speed_100m","wind_dir_cos",-0.0809287077088718,0.0809287077088718
"pressure_msl","shortwave_radiation",0.0791601643420501,0.0791601643420501
"wind_dir_sin","cos_dzien",-0.0788410562767663,0.0788410562767663
"wind_gusts_10m","temperature_2m",-0.0781084707977492,0.0781084707977492
"wind_dir_cos","temperature_2m",0.0747907912687219,0.0747907912687219
"temperature_2m","sin_godzina",-0.0747269234724664,0.0747269234724664
"wind_dir_cos","apparent_temperature",0.0734033858698164,0.0734033858698164
"relative_humidity_2m","dew_point_2m",0.0695562002416638,0.0695562002416638
"apparent_temperature","sin_godzina",-0.0625616515867113,0.0625616515867113
"wind_dir_sin","sin_godzina",-0.0583545795359495,0.0583545795359495
"wind_dir_sin","apparent_temperature",0.0557650534264867,0.0557650534264867
"temperature_2m","pressure_msl",-0.0550024530115505,0.0550024530115505
"wind_dir_sin","is_day",0.0548256411853665,0.0548256411853665
"wind_dir_cos","dew_point_2m",0.0533385102906793,0.0533385102906793
"temperature_2m","precipitation",0.0500310287801553,0.0500310287801553
"shortwave_radiation","sin_godzina",-0.0474049982343498,0.0474049982343498
"is_day","sin_dzien",0.0471410296549082,0.0471410296549082
"precipitation","shortwave_radiation",-0.0470531273065096,0.0470531273065096
"wind_dir_sin","cloud_cover",-0.0466401335176063,0.0466401335176063
"cloud_cover","sin_dzien",-0.0464020705136453,0.0464020705136453
"wind_dir_sin","cos_godzina",-0.045695030124564,0.045695030124564
"apparent_temperature","precipitation",0.0448665884301221,0.0448665884301221
"cloud_cover","cos_godzina",-0.0438797671238849,0.0438797671238849
"cloud_cover","is_day",-0.0438093544602807,0.0438093544602807
"is_day","sin_godzina",0.0437971793836387,0.0437971793836387
"wind_gusts_10m","sin_godzina",-0.0421125759686638,0.0421125759686638
"precipitation","sin_dzien",-0.0416908522712586,0.0416908522712586
"wind_speed_10m","shortwave_radiation",-0.0389801238875007,0.0389801238875007
"wind_dir_sin","sin_dzien",0.0385622419610695,0.0385622419610695
"wind_speed_100m","cos_godzina",0.0377973328823465,0.0377973328823465
"wind_gusts_10m","wind_dir_cos",0.0362909729080929,0.0362909729080929
"precipitation","cos_dzien",-0.0360933195107719,0.0360933195107719
"dew_point_2m","cos_godzina",-0.0337120805774279,0.0337120805774279
"precipitation","is_day",0.0329416248041291,0.0329416248041291
"precipitation","cos_godzina",-0.0325889333445735,0.0325889333445735
"pressure_msl","polrocze_cieple",0.0293110271645042,0.0293110271645042
"precipitation","polrocze_cieple",0.029035302258233,0.029035302258233
"cloud_cover","sin_godzina",0.0283136393532406,0.0283136393532406
"pressure_msl","cos_dzien",-0.0276833028070091,0.0276833028070091
"wind_dir_cos","precipitation",0.0269684441357492,0.0269684441357492
"wind_dir_sin","wind_dir_cos",-0.0236560962564302,0.0236560962564302
"wind_dir_sin","temperature_2m",0.0227480715681627,0.0227480715681627
"dew_point_2m","sin_godzina",-0.0199266458125654,0.0199266458125654
"relative_humidity_2m","sin_dzien",-0.0192609818504768,0.0192609818504768
"apparent_temperature","pressure_msl",-0.0168921419951434,0.0168921419951434
"wind_dir_sin","precipitation",-0.0130966600724364,0.0130966600724364
"wind_speed_10m","sin_dzien",-0.0127810301518778,0.0127810301518778
"precipitation","sin_godzina",-0.0113942521203537,0.0113942521203537
"wind_dir_sin","dew_point_2m",-0.01045585592497,0.01045585592497
"wind_speed_10m","is_day",0.0101129801907455,0.0101129801907455
"wind_speed_10m","sin_godzina",-0.00834708016065013,0.00834708016065013
"pressure_msl","is_day",0.00828093494810212,0.00828093494810212
"pressure_msl","sin_godzina",-0.00575869719451727,0.00575869719451727
"wind_gusts_10m","sin_dzien",-0.00546719393595481,0.00546719393595481
"pressure_msl","sin_dzien",0.00448916725338599,0.00448916725338599
"wind_speed_10m","wind_dir_cos",-0.00425136613086135,0.00425136613086135
"wind_speed_100m","sin_godzina",-0.00422063615823568,0.00422063615823568
"pressure_msl","cos_godzina",-0.00313260875335112,0.00313260875335112
"wind_speed_100m","sin_dzien",0.00281504070125188,0.00281504070125188
"sin_dzien","cos_dzien",0.00199700355742344,0.00199700355742344
"sin_dzien","cos_godzina",-0.000194173453779283,0.000194173453779283
"sin_dzien","polrocze_cieple",-0.000154921213124661,0.000154921213124661
"cos_godzina","polrocze_cieple",0.000136201726943263,0.000136201726943263
"sin_dzien","sin_godzina",-0.000112099788599322,0.000112099788599322
"sin_godzina","cos_godzina",-9.74497842814496e-05,9.74497842814496e-05
"sin_godzina","polrocze_cieple",7.86316795629422e-05,7.86316795629422e-05
"cos_dzien","cos_godzina",-1.13090627364244e-05,1.13090627364244e-05
"cos_dzien","sin_godzina",-6.52892307024984e-06,6.52892307024984e-06
