"","wind_speed_10m","wind_speed_100m","wind_gusts_10m","wind_dir_sin","wind_dir_cos","temperature_2m","relative_humidity_2m","dew_point_2m","apparent_temperature","precipitation","cloud_cover","pressure_msl","shortwave_radiation","is_day","sin_dzien","cos_dzien","sin_godzina","cos_godzina","polrocze_cieple"
"wind_speed_10m",1,0.968320727040032,0.964155327079371,-0.20895687622219,-0.00425136613086135,-0.136359579619205,-0.149811085311225,-0.18390672503986,-0.284343179044149,0.0881981749240768,0.125259920470031,-0.282502277753006,-0.0389801238875007,0.0101129801907455,-0.0127810301518778,0.254654757044152,-0.00834708016065013,-0.0992673181076902,-0.236077077799997
"wind_speed_100m",0.968320727040032,1,0.920157625334445,-0.23977708838148,-0.0809287077088718,-0.1620312054598,-0.0889206747572541,-0.191128497245229,-0.304277039805273,0.0817830029585721,0.10493563021836,-0.29769816544523,-0.180856864940363,-0.114145285721759,0.00281504070125188,0.288606031714681,-0.00422063615823568,0.0377973328823465,-0.266399357243161
"wind_gusts_10m",0.964155327079371,0.920157625334445,1,-0.214555282469778,0.0362909729080929,-0.0781084707977492,-0.224208346614141,-0.148315716424441,-0.225073788444696,0.120280907437111,0.123485081219206,-0.294241562363681,0.0826673152583019,0.103960940026778,-0.00546719393595481,0.209594824230534,-0.0421125759686638,-0.197248106360458,-0.196021367227015
"wind_dir_sin",-0.20895687622219,-0.23977708838148,-0.214555282469778,1,-0.0236560962564302,0.0227480715681627,-0.11256455610632,-0.01045585592497,0.0557650534264867,-0.0130966600724364,-0.0466401335176063,0.17397146661344,0.108318473998235,0.0548256411853665,0.0385622419610695,-0.0788410562767663,-0.0583545795359495,-0.045695030124564,0.0842367824869957
"wind_dir_cos",-0.00425136613086135,-0.0809287077088718,0.0362909729080929,-0.0236560962564302,1,0.0747907912687219,-0.0850780676068,0.0533385102906793,0.0734033858698164,0.0269684441357492,-0.0900319481183801,0.140474605288723,0.206193311182375,0.143984110582727,0.117700138600144,-0.193773360457975,-0.0951462852789756,-0.103027642286362,0.184907484431696
"temperature_2m",-0.136359579619205,-0.1620312054598,-0.0781084707977492,0.0227480715681627,0.0747907912687219,1,-0.238839407661647,0.95118385562515,0.986610771340861,0.0500310287801553,-0.186153122143197,-0.0550024530115505,0.440096913264957,0.301010551757103,-0.396373487282809,-0.793624122488934,-0.0747269234724664,-0.125928204637472,0.715796278021596
"relative_humidity_2m",-0.149811085311225,-0.0889206747572541,-0.224208346614141,-0.11256455610632,-0.0850780676068,-0.238839407661647,1,0.0695562002416638,-0.168297919685503,0.15628230511248,0.262971688479488,-0.150498661771207,-0.498563501620727,-0.293106651862399,-0.0192609818504768,0.228593797475004,0.182692942367174,0.300839461429497,-0.209819790663232
"dew_point_2m",-0.18390672503986,-0.191128497245229,-0.148315716424441,-0.01045585592497,0.0533385102906793,0.95118385562515,0.0695562002416638,1,0.959655135458396,0.0996562199759811,-0.111425812678081,-0.102425190431932,0.291445433565918,0.217508713111216,-0.416735531928582,-0.745496157099267,-0.0199266458125654,-0.0337120805774279,0.670712296063283
"apparent_temperature",-0.284343179044149,-0.304277039805273,-0.225073788444696,0.0557650534264867,0.0734033858698164,0.986610771340861,-0.168297919685503,0.959655135458396,1,0.0448665884301221,-0.19028788996811,-0.0168921419951434,0.422391885013565,0.282183112665971,-0.386207458298683,-0.805426908607613,-0.0625616515867113,-0.0993072932740115,0.726679592572901
"precipitation",0.0881981749240768,0.0817830029585721,0.120280907437111,-0.0130966600724364,0.0269684441357492,0.0500310287801553,0.15628230511248,0.0996562199759811,0.0448665884301221,1,0.182929102039344,-0.202544323681316,-0.0470531273065096,0.0329416248041291,-0.0416908522712586,-0.0360933195107719,-0.0113942521203537,-0.0325889333445735,0.029035302258233
