"target","model","typ_modelu","liczba_predyktorow","parametry","MSE_train","RMSE_train","MAE_train","R2_train","MSE_test","RMSE_test","MAE_test","R2_test","zmienne"
"wind_gusts_10m_next","Funkcje sklejane bs df=10","funkcje sklejane bs",19,"df = 10",5.84485866645632,2.41761425096237,1.72112945640705,0.971211696245097,8.02954908234356,2.83364589925127,1.98756018620106,0.952335244426869,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Funkcje sklejane bs df=8","funkcje sklejane bs",19,"df = 8",5.84539501714807,2.417725174032,1.72118131054758,0.971209054500016,8.02983930845336,2.83369710951142,1.98722884671278,0.952333521595806,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","GAM k=9","GAM",19,"k składników s() = 9",5.84844967328309,2.41835681264843,1.72201761453686,0.971194009077414,8.03095868273031,2.83389461390686,1.98780033998599,0.952326876801589,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Naturalne funkcje sklejane ns df=8","naturalne funkcje sklejane",19,"df = 8",5.84722218741658,2.41810301422759,1.72142858801845,0.971200054944046,8.03280547344297,2.83422043487146,1.98749673132744,0.952315913940909,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Naturalne funkcje sklejane ns df=10","naturalne funkcje sklejane",19,"df = 10",5.84621891853707,2.41789555575444,1.72127634689594,0.971204996450916,8.03281458721501,2.83422204268032,1.98770152013651,0.952315859840023,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Funkcje sklejane bs df=6","funkcje sklejane bs",19,"df = 6",5.84658854906541,2.41797199095966,1.72140034937391,0.971203175870379,8.03307752107157,2.83426842784369,1.98717248525019,0.952314299020371,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","GAM k=7","GAM",19,"k składników s() = 7",5.85177949431297,2.41904516169355,1.72260940301126,0.971177608355904,8.03342244620206,2.83432927624898,1.98891512724738,0.952312251486709,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Regresja wielomianowa st. 5","wielomianowy",19,"stopień = 5",5.84752117745658,2.41816483670088,1.72171614858443,0.971198582296617,8.03537674335107,2.83467401006731,1.98820982063447,0.952300650449718,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Naturalne funkcje sklejane ns df=6","naturalne funkcje sklejane",19,"df = 6",5.84844010176037,2.41835483371658,1.72170768468533,0.971194056221053,8.03547367511601,2.83469110753112,1.98797581901911,0.952300075046438,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
"wind_gusts_10m_next","Naturalne funkcje sklejane ns df=4","naturalne funkcje sklejane",19,"df = 4",5.85243602231202,2.41918085771032,1.72263456580238,0.971174374688755,8.03778552982454,2.83509885715199,1.98855621954962,0.952286351487559,"wind_speed_10m, wind_speed_100m, wind_gusts_10m, wind_dir_sin, wind_dir_cos, temperature_2m, relative_humidity_2m, dew_point_2m, apparent_temperature, precipitation, cloud_cover, pressure_msl, shortwave_radiation, is_day, sin_dzien, cos_dzien, sin_godzina, cos_godzina, polrocze_cieple"
